blocknumber,volume ZRX for 5% slippage
10030150,0
10030300,0
10030450,0
10030600,0
10030750,0
10030900,0
10031050,0
10031200,0
10031350,0
10031500,0
10031650,0
10031800,0
10031950,0
10032100,0
10032250,0
10032400,0
10032550,0
10032700,0
10032850,0
10033000,0
10033150,0
10033300,0
10033450,0
10033600,0
10033750,0
10033900,0
10034050,0
10034200,0
10034350,0
10034500,0
10034650,0
10034800,0
10034950,0
10035100,0
10035250,0
10035400,0
10035550,0
10035700,0
10035850,0
10036000,0
10036150,0
10036300,0
10036450,0
10036600,0
10036750,0
10036900,0
10037050,0
10037200,0
10037350,0
10037500,0
10037650,0
10037800,0
10037950,0
10038100,0
10038250,0
10038400,0
10038550,0
10038700,0
10038850,0
10039000,0
10039150,0
10039300,0
10039450,0
10039600,0
10039750,0
10039900,0
10040050,0
10040200,0
10040350,0
10040500,0
10040650,0
10040800,0
10040950,0
10041100,0
10041250,0
10041400,0
10041550,0
10041700,0
10041850,0
10042000,0
10042150,0
10042300,0
10042450,0
10042600,0
10042750,0
10042900,0
10043050,0
10043200,0
10043350,0
10043500,0
10043650,0
10043800,0
10043950,0
10044100,0
10044250,0
10044400,0
10044550,0
10044700,0
10044850,0
10045000,0
10045150,0
10045300,0
10045450,0
10045600,0
10045750,0
10045900,0
10046050,0
10046200,0
10046350,0
10046500,0
10046650,0
10046800,0
10046950,0
10047100,0
10047250,0
10047400,0
10047550,0
10047700,0
10047850,0
10048000,0
10048150,0
10048300,0
10048450,0
10048600,0
10048750,0
10048900,0
10049050,0
10049200,0
10049350,0
10049500,0
10049650,0
10049800,0
10049950,0
10050100,0
10050250,0
10050400,0
10050550,0
10050700,0
10050850,0
10051000,0
10051150,0
10051300,0
10051450,0
10051600,0
10051750,0
10051900,0
10052050,0
10052200,0
10052350,0
10052500,0
10052650,0
10052800,0
10052950,0
10053100,0
10053250,0
10053400,0
10053550,0
10053700,0
10053850,0
10054000,0
10054150,0
10054300,0
10054450,0
10054600,0
10054750,0
10054900,0
10055050,0
10055200,0
10055350,0
10055500,0
10055650,0
10055800,0
10055950,0
10056100,0
10056250,0
10056400,0
10056550,0
10056700,0
10056850,0
10057000,0
10057150,0
10057300,0
10057450,0
10057600,0
10057750,0
10057900,0
10058050,0
10058200,0
10058350,0
10058500,0
10058650,0
10058800,0
10058950,0
10059100,0
10059250,0
10059400,0
10059550,0
10059700,0
10059850,0
10060000,0
10060150,0
10060300,0
10060450,0
10060600,0
10060750,0
10060900,0
10061050,0
10061200,0
10061350,0
10061500,0
10061650,0
10061800,0
10061950,0
10062100,0
10062250,0
10062400,0
10062550,0
10062700,0
10062850,0
10063000,0
10063150,0
10063300,0
10063450,0
10063600,0
10063750,0
10063900,0
10064050,0
10064200,0
10064350,0
10064500,0
10064650,0
10064800,0
10064950,0
10065100,0
10065250,0
10065400,0
10065550,0
10065700,0
10065850,0
10066000,0
10066150,0
10066300,0
10066450,0
10066600,0
10066750,0
10066900,0
10067050,0
10067200,0
10067350,0
10067500,0
10067650,0
10067800,0
10067950,0
10068100,0
10068250,0
10068400,0
10068550,0
10068700,0
10068850,0
10069000,0
10069150,0
10069300,0
10069450,0
10069600,0
10069750,0
10069900,0
10070050,0
10070200,0
10070350,0
10070500,0
10070650,0
10070800,0
10070950,0
10071100,0
10071250,0
10071400,0
10071550,0
10071700,0
10071850,0
10072000,0
10072150,0
10072300,0
10072450,0
10072600,0
10072750,0
10072900,0
10073050,0
10073200,0
10073350,0
10073500,0
10073650,0
10073800,0
10073950,0
10074100,0
10074250,0
10074400,0
10074550,0
10074700,0
10074850,0
10075000,0
10075150,0
10075300,0
10075450,0
10075600,0
10075750,0
10075900,0
10076050,0
10076200,0
10076350,0
10076500,0
10076650,0
10076800,0
10076950,0
10077100,0
10077250,0
10077400,0
10077550,0
10077700,0
10077850,0
10078000,0
10078150,0
10078300,0
10078450,0
10078600,0
10078750,0
10078900,0
10079050,0
10079200,0
10079350,0
10079500,0
10079650,0
10079800,0
10079950,0
10080100,0
10080250,0
10080400,0
10080550,0
10080700,0
10080850,0
10081000,0
10081150,0
10081300,0
10081450,0
10081600,0
10081750,0
10081900,0
10082050,0
10082200,0
10082350,0
10082500,0
10082650,0
10082800,0
10082950,0
10083100,0
10083250,0
10083400,0
10083550,0
10083700,0
10083850,0
10084000,0
10084150,0
10084300,0
10084450,0
10084600,0
10084750,0
10084900,0
10085050,0
10085200,0
10085350,0
10085500,0
10085650,0
10085800,0
10085950,0
10086100,0
10086250,0
10086400,0
10086550,0
10086700,0
10086850,0
10087000,0
10087150,0
10087300,0
10087450,0
10087600,0
10087750,0
10087900,0
10088050,0
10088200,0
10088350,0
10088500,0
10088650,0
10088800,0
10088950,0
10089100,0
10089250,0
10089400,0
10089550,0
10089700,0
10089850,0
10090000,0
10090150,0
10090300,0
10090450,0
10090600,0
10090750,0
10090900,0
10091050,0
10091200,0
10091350,0
10091500,0
10091650,5.26315789473685
10091800,68.84344908685284
10091950,166.3126779334325
10092100,166.3126779334325
10092250,360.16801138358005
10092400,360.16801138358005
10092550,360.16801138358005
10092700,360.16801138358005
10092850,370.2109768677883
10093000,421.2873964736964
10093150,421.2873964736964
10093300,436.6107935572745
10093450,476.5047820990203
10093600,483.9690580129027
10093750,483.9414650565959
10093900,483.9414650565959
10094050,483.9414650565959
10094200,483.9414650565959
10094350,483.9414650565959
10094500,483.9414650565959
10094650,493.68908371064754
10094800,493.68908371064754
10094950,493.68908371064754
10095100,504.21539950012084
10095250,504.21539950012084
10095400,504.21539950012084
10095550,517.4600249553005
10095700,517.4600249553005
10095850,517.4600249553005
10096000,517.4600249553005
10096150,514.8252512034505
10096300,514.8252512034505
10096450,514.8252512034505
10096600,514.8252512034505
10096750,514.8252512034505
10096900,769.7680897087812
10097050,769.7680897087812
10097200,769.7680897087812
10097350,769.7680897087812
10097500,764.340531487278
10097650,765.2973299736368
10097800,765.2973299736368
10097950,2505.0719371001906
10098100,2505.0719371001906
10098250,2505.0719371001906
10098400,2505.0719371001906
10098550,2504.755479517313
10098700,2680.538419825687
10098850,2577.4646919443185
10099000,2673.3748868845287
10099150,2673.3748868845287
10099300,2658.5978873504864
10099450,2690.2008856155007
10099600,2692.832464562882
10099750,2686.922708266691
10099900,2660.048080838169
10100050,2660.048080838169
10100200,2660.048080838169
10100350,2662.153343996062
10100500,2662.153343996062
10100650,2662.153343996062
10100800,2662.153343996062
10100950,2674.571358014997
10101100,2659.8549387594467
10101250,2667.3876270812107
10101400,2683.7439256943107
10101550,2682.164978325898
10101700,2682.164978325898
10101850,1998.639971847806
10102000,1977.1111130326826
10102150,1977.1111130326826
10102300,1947.5232819595985
10102450,1947.5232819595985
10102600,1974.3906762952465
10102750,1974.3906762952465
10102900,1974.3906762952465
10103050,1974.3906762952465
10103200,961.5428756801521
10103350,961.5428756801521
10103500,961.5428756801521
10103650,961.5428756801521
10103800,978.5414250164649
10103950,978.5414250164649
10104100,978.5414250164649
10104250,980.3561606111871
10104400,980.3561606111871
10104550,990.350538922743
10104700,990.350538922743
10104850,990.350538922743
10105000,990.350538922743
10105150,990.350538922743
10105300,990.350538922743
10105450,990.350538922743
10105600,990.350538922743
10105750,990.350538922743
10105900,990.350538922743
10106050,990.350538922743
10106200,990.350538922743
10106350,990.350538922743
10106500,990.350538922743
10106650,990.350538922743
10106800,990.350538922743
10106950,950.7334615596737
10107100,950.7334615596737
10107250,950.7334615596737
10107400,950.7334615596737
10107550,950.7334615596737
10107700,950.7334615596737
10107850,950.7334615596737
10108000,950.7334615596737
10108150,962.2520996984167
10108300,962.2520996984167
10108450,962.2520996984167
10108600,962.2520996984167
10108750,962.2520996984167
10108900,962.2520996984167
10109050,962.2520996984167
10109200,962.2520996984167
10109350,962.2520996984167
10109500,962.2520996984167
10109650,956.9889418036801
10109800,979.0977560507126
10109950,979.0977560507126
10110100,1117.223620474062
10110250,1117.223620474062
10110400,1119.8553406588035
10110550,1119.8553406588035
10110700,1119.8553406588035
10110850,1119.8553406588035
10111000,1126.751998994223
10111150,1126.751998994223
10111300,1122.9153824212262
10111450,1122.9153824212262
10111600,1133.966232323237
10111750,1124.3872849548134
10111900,1124.3872849548134
10112050,1124.3872849548134
10112200,1126.7377060074468
10112350,1126.7377060074468
10112500,1147.8339832727397
10112650,1133.4331980004645
10112800,1133.4331980004645
10112950,1133.4331980004645
10113100,1131.8402639437481
10113250,1131.8402639437481
10113400,1131.8402639437481
10113550,1131.8402639437481
10113700,1131.8402639437481
10113850,1131.8402639437481
10114000,1131.8402639437481
10114150,1131.8402639437481
10114300,1132.8297118006885
10114450,1132.8297118006885
10114600,1132.8297118006885
10114750,1132.8297118006885
10114900,1132.8297118006885
10115050,1132.8297118006885
10115200,1145.0345506274534
10115350,1130.764153666918
10115500,1135.1349479917335
10115650,1135.1349479917335
10115800,1154.0949003604837
10115950,1154.0949003604837
10116100,1149.9127961866543
10116250,1149.9127961866543
10116400,1142.361949885748
10116550,1161.3474340147695
10116700,1161.3474340147695
10116850,1167.651226523125
10117000,1167.651226523125
10117150,1165.4072922085943
10117300,1165.4072922085943
10117450,1165.4072922085943
10117600,1165.4072922085943
10117750,1165.4072922085943
10117900,1158.9249778131198
10118050,1158.9249778131198
10118200,1168.56416216644
10118350,1168.56416216644
10118500,1159.3628935086163
10118650,1159.3628935086163
10118800,1159.3628935086163
10118950,1159.3628935086163
10119100,1159.3628935086163
10119250,1159.3628935086163
10119400,1159.3628935086163
10119550,1159.3628935086163
10119700,1159.3628935086163
10119850,1159.3628935086163
10120000,1182.1517692512498
10120150,1201.211165467419
10120300,1200.3178630284601
10120450,1200.3178630284601
10120600,1200.3178630284601
10120750,1200.3178630284601
10120900,1200.3178630284601
10121050,1193.7254589763397
10121200,1194.7753295026523
10121350,1194.7753295026523
10121500,1194.7753295026523
10121650,1195.564803186866
10121800,1195.564803186866
10121950,1195.564803186866
10122100,1195.564803186866
10122250,1195.564803186866
10122400,1195.564803186866
10122550,1198.7230653468941
10122700,1198.7230653468941
10122850,1198.7230653468941
10123000,1198.7230653468941
10123150,1203.3543668765524
10123300,1203.3543668765524
10123450,1207.5648931923388
10123600,1207.5648931923388
10123750,1207.5648931923388
10123900,1207.5648931923388
10124050,1202.6928444875302
10124200,1202.6928444875302
10124350,1202.9564017140583
10124500,1218.5353490824855
10124650,1218.5353490824855
10124800,1218.5353490824855
10124950,1203.2170074365313
10125100,1203.2170074365313
10125250,1203.2170074365313
10125400,1195.8461760045757
10125550,1195.8461760045757
10125700,1191.0852374698043
10125850,1191.0852374698043
10126000,1191.0852374698043
10126150,1191.0852374698043
10126300,1191.0852374698043
10126450,1191.0852374698043
10126600,1191.0852374698043
10126750,1191.0852374698043
10126900,1191.0852374698043
10127050,1191.0852374698043
10127200,1191.0852374698043
10127350,1191.0852374698043
10127500,1191.0852374698043
10127650,1191.0852374698043
10127800,1197.5832834272078
10127950,1197.5832834272078
10128100,1197.5832834272078
10128250,1191.747932486389
10128400,1197.0110903811292
10128550,1191.142797100496
10128700,1191.142797100496
10128850,1191.142797100496
10129000,1191.142797100496
10129150,1191.142797100496
10129300,1191.142797100496
10129450,1191.142797100496
10129600,1207.659327847843
10129750,1207.659327847843
10129900,1207.659327847843
10130050,1207.659327847843
10130200,1224.9670254886987
10130350,1224.9670254886987
10130500,1224.9670254886987
10130650,1224.9670254886987
10130800,1224.9670254886987
10130950,1224.9670254886987
10131100,1224.9670254886987
10131250,1224.9670254886987
10131400,1224.9670254886987
10131550,1224.9670254886987
10131700,1224.9670254886987
10131850,1224.9670254886987
10132000,1226.2608711077446
10132150,1226.2608711077446
10132300,1236.260871107741
10132450,1231.449577951469
10132600,1231.449577951469
10132750,1231.1043642326295
10132900,1231.1043642326295
10133050,1231.1043642326295
10133200,1231.1043642326295
10133350,1231.1043642326295
10133500,1231.1043642326295
10133650,1231.1043642326295
10133800,1300.8000904458459
10133950,1305.5369325511092
10134100,1305.5369325511092
10134250,1305.5369325511092
10134400,1299.81109371184
10134550,1281.4425895219465
10134700,1251.036084397696
10134850,1251.3812980819057
10135000,1271.421648010768
10135150,1271.421648010768
10135300,1271.421648010768
10135450,1271.421648010768
10135600,1271.421648010768
10135750,1271.421648010768
10135900,1271.421648010768
10136050,1277.7539094390704
10136200,1277.7539094390704
10136350,1277.7539094390704
10136500,1280.385488386437
10136650,1280.385488386437
10136800,1280.385488386437
10136950,1280.385488386437
10137100,2096.7617894613213
10137250,2096.7617894613213
10137400,2105.5081747524964
10137550,2105.5081747524964
10137700,2105.5081747524964
10137850,2105.5081747524964
10138000,2105.5081747524964
10138150,2097.8170749957353
10138300,2097.8170749957353
10138450,2097.8170749957353
10138600,2097.8170749957353
10138750,2097.8170749957353
10138900,2103.1007219786334
10139050,2103.1007219786334
10139200,2095.56030179558
10139350,2074.0960154237546
10139500,2013.9933683094932
10139650,2013.9933683094932
10139800,2045.9499557279705
10139950,2014.7385508647858
10140100,2014.7385508647858
10140250,2007.2122350753125
10140400,2028.264866654259
10140550,2028.264866654259
10140700,2042.1021547735363
10140850,2042.1021547735363
10141000,2042.1021547735363
10141150,2042.1021547735363
10141300,2042.1021547735363
10141450,2046.0919067350624
10141600,2033.444455047953
10141750,2002.5000344901273
10141900,2002.5000344901273
10142050,2002.5000344901273
10142200,2003.7026844915454
10142350,2003.7026844915454
10142500,2012.2958291962568
10142650,2012.2958291962568
10142800,2012.2958291962568
10142950,1988.7580361397195
10143100,1967.252089204274
10143250,1985.5770000835473
10143400,1960.3741631027078
10143550,1966.3719287001077
10143700,1966.3719287001077
10143850,1966.3719287001077
10144000,1966.3719287001077
10144150,1966.3719287001077
10144300,1984.6893344375858
10144450,1984.6893344375858
10144600,1992.092567346539
10144750,1992.092567346539
10144900,1992.092567346539
10145050,1992.092567346539
10145200,1983.247545070073
10145350,1983.247545070073
10145500,1983.247545070073
10145650,1983.247545070073
10145800,1961.2291524720058
10145950,1961.2291524720058
10146100,1961.2291524720058
10146250,1961.2291524720058
10146400,1961.2291524720058
10146550,1966.4871524720002
10146700,1966.4871524720002
10146850,1991.3922536150858
10147000,2005.5777135793614
10147150,2008.209292526728
10147300,2008.209292526728
10147450,2027.7641159244595
10147600,2027.7641159244595
10147750,2027.7641159244595
10147900,2022.5009580297265
10148050,2022.5009580297265
10148200,2022.5009580297265
10148350,2022.5009580297265
10148500,2022.5009580297265
10148650,2022.5009580297265
10148800,2022.5009580297265
10148950,2056.5177038331094
10149100,2061.7808617278424
10149250,2077.0593224167897
10149400,2084.3977434694243
10149550,2084.3977434694243
10149700,2089.013527984658
10149850,2089.013527984658
10150000,2089.013527984658
10150150,2053.714116934665
10150300,2053.714116934665
10150450,2053.714116934665
10150600,2044.235259384077
10150750,2054.76157517355
10150900,2054.76157517355
10151050,2054.76157517355
10151200,2054.76157517355
10151350,2054.76157517355
10151500,2054.76157517355
10151650,2054.76157517355
10151800,2051.2869651292713
10151950,2051.2869651292713
10152100,2079.047130331979
10152250,2079.047130331979
10152400,2079.047130331979
10152550,2079.047130331979
10152700,2079.047130331979
10152850,2044.0997619109257
10153000,2044.0997619109257
10153150,2044.0997619109257
10153300,2044.0997619109257
10153450,2044.0997619109257
10153600,2044.0997619109257
10153750,2044.0997619109257
10153900,2044.0997619109257
10154050,2059.726867174082
10154200,2059.726867174082
10154350,2079.492846943831
10154500,2073.301464316435
10154650,2079.500587953662
10154800,2079.500587953662
10154950,2079.500587953662
10155100,2079.500587953662
10155250,2099.6912807022018
10155400,2099.6912807022018
10155550,2100.8923102252083
10155700,2100.8923102252083
10155850,2100.8923102252083
10156000,2100.8923102252083
10156150,2099.7256788418163
10156300,2099.7256788418163
10156450,2099.7256788418163
10156600,2098.409889368122
10156750,2110.6204227145354
10156900,2110.6204227145354
10157050,2110.6204227145354
10157200,2131.453079972838
10157350,2131.453079972838
10157500,2131.453079972838
10157650,2131.453079972838
10157800,2131.453079972838
10157950,2131.453079972838
10158100,2123.4860057826663
10158250,2123.4860057826663
10158400,2123.4860057826663
10158550,2144.550381533183
10158700,2144.550381533183
10158850,2130.87290588452
10159000,2130.87290588452
10159150,2130.87290588452
10159300,2130.87290588452
10159450,2130.87290588452
10159600,2130.87290588452
10159750,2130.87290588452
10159900,2130.87290588452
10160050,2131.136063779246
10160200,2131.136063779246
10160350,2145.39996887069
10160500,2145.39996887069
10160650,2145.39996887069
10160800,2145.39996887069
10160950,2145.39996887069
10161100,2152.7116867945224
10161250,2152.7116867945224
10161400,2105.4884466123767
10161550,2083.5840587049024
10161700,2083.5840587049024
10161850,2111.272458708634
10162000,2111.272458708634
10162150,2111.272458708634
10162300,2111.272458708634
10162450,2111.272458708634
10162600,2111.272458708634
10162750,2100.6184368564354
10162900,2100.6184368564354
10163050,2100.6184368564354
10163200,2100.6184368564354
10163350,2114.577591932364
10163500,2114.577591932364
10163650,2114.577591932364
10163800,2114.577591932364
10163950,2114.577591932364
10164100,2114.577591932364
10164250,2100.367065616585
10164400,2114.34002199956
10164550,2114.34002199956
10164700,2114.34002199956
10164850,2135.6459846357902
10165000,2135.6459846357902
10165150,2135.6459846357902
10165300,2135.6459846357902
10165450,2147.6245315107735
10165600,2169.4655281117957
10165750,2169.4655281117957
10165900,2155.7921922206515
10166050,2155.7921922206515
10166200,2182.623618438629
10166350,2182.623618438629
10166500,2186.6701157908974
10166650,2186.6701157908974
10166800,2191.9332736856304
10166950,2191.9332736856304
10167100,2213.4668261716943
10167250,2213.4668261716943
10167400,2213.4668261716943
10167550,2213.4668261716943
10167700,2213.4668261716943
10167850,2213.4668261716943
10168000,2213.4668261716943
10168150,2204.161531740603
10168300,2222.4486771370503
10168450,2222.4486771370503
10168600,2222.4486771370503
10168750,2222.4486771370503
10168900,2223.6333967299215
10169050,2223.6333967299215
10169200,2223.6333967299215
10169350,2223.6333967299215
10169500,2223.6333967299215
10169650,2223.6333967299215
10169800,2241.0412954918647
10169950,2266.3786586931965
10170100,2266.3786586931965
10170250,2266.3786586931965
10170400,2266.3786586931965
10170550,2260.330333387654
10170700,2260.330333387654
10170850,2260.330333387654
10171000,2260.330333387654
10171150,2260.330333387654
10171300,2260.330333387654
10171450,2260.330333387654
10171600,2260.330333387654
10171750,2258.7294271584906
10171900,2258.7294271584906
10172050,2258.7294271584906
10172200,2258.7294271584906
10172350,2250.30396050922
10172500,2250.30396050922
10172650,2250.30396050922
10172800,2250.30396050922
10172950,2250.30396050922
10173100,2250.30396050922
10173250,2250.30396050922
10173400,2250.30396050922
10173550,2249.5427920290967
10173700,2249.5427920290967
10173850,2249.162401243222
10174000,2249.162401243222
10174150,2539.7286785226243
10174300,2507.608134481583
10174450,2518.13448154425
10174600,2513.0818499653033
10174750,2513.0818499653033
10174900,2554.770503352942
10175050,2530.433607735773
10175200,2530.433607735773
10175350,2530.433607735773
10175500,2546.66925211162
10175650,2546.66925211162
10175800,2546.66925211162
10175950,2577.7991709435373
10176100,2580.365014174473
10176250,2580.365014174473
10176400,2580.365014174473
10176550,2580.365014174473
10176700,2580.365014174473
10176850,2580.365014174473
10177000,2580.307859722765
10177150,2580.307859722765
10177300,2580.307859722765
10177450,2580.307859722765
10177600,2580.307859722765
10177750,2580.307859722765
10177900,2580.307859722765
10178050,2580.307859722765
10178200,2580.307859722765
10178350,2580.307859722765
10178500,2580.307859722765
10178650,2580.307859722765
10178800,2572.392868209252
10178950,2572.392868209252
10179100,2572.392868209252
10179250,2572.392868209252
10179400,2575.7140665069164
10179550,2583.608803349023
10179700,2582.0298559806033
10179850,2583.603639136556
10180000,2588.8667970312963
10180150,2588.8667970312963
10180300,2588.8667970312963
10180450,2588.8667970312963
10180600,2588.8667970312963
10180750,2581.5090632059946
10180900,2555.8448498190774
10181050,2555.8448498190774
10181200,2557.2517578264087
10181350,2557.2517578264087
10181500,2557.2517578264087
10181650,2752.7274875464936
10181800,2752.7274875464936
10181950,2752.7274875464936
10182100,2752.7274875464936
10182250,2785.2810158852226
10182400,2785.2810158852226
10182550,2766.4107099831963
10182700,2806.302836263938
10182850,2806.302836263938
10183000,2806.302836263938
10183150,2806.302836263938
10183300,2806.302836263938
10183450,2827.362823401192
10183600,2820.7232815306706
10183750,2837.7181713345053
10183900,2837.7181713345053
10184050,2798.591638014761
10184200,2798.591638014761
10184350,2761.2982486549663
10184500,2761.2982486549663
10184650,2761.2982486549663
10184800,2761.2982486549663
10184950,2761.2982486549663
10185100,2792.0349388430623
10185250,2792.0349388430623
10185400,2792.0349388430623
10185550,2792.0349388430623
10185700,2792.0349388430623
10185850,2792.0349388430623
10186000,2792.0349388430623
10186150,2792.0349388430623
10186300,2794.666517790436
10186450,2794.666517790436
10186600,2794.666517790436
10186750,2794.666517790436
10186900,2799.4035404855676
10187050,2799.4035404855676
10187200,2812.5614352224147
10187350,2645.9573454912606
10187500,2624.5502598791354
10187650,2624.5502598791354
10187800,2579.4177092196114
10187950,2579.4177092196114
10188100,2579.4177092196114
10188250,2579.4177092196114
10188400,2594.7091550588084
10188550,2594.7091550588084
10188700,2594.7091550588084
10188850,2594.7091550588084
10189000,2529.5836944522816
10189150,2529.5836944522816
10189300,2539.353177866855
10189450,2539.353177866855
10189600,2539.353177866855
10189750,2539.353177866855
10189900,2539.353177866855
10190050,2539.353177866855
10190200,2539.353177866855
10190350,2539.353177866855
10190500,2539.353177866855
10190650,2539.353177866855
10190800,2539.353177866855
10190950,2539.353177866855
10191100,2539.353177866855
10191250,2539.353177866855
10191400,2539.353177866855
10191550,2539.353177866855
10191700,2539.353177866855
10191850,2539.353177866855
10192000,2539.353177866855
10192150,2539.353177866855
10192300,2539.353177866855
10192450,2539.353177866855
10192600,2539.353177866855
10192750,2539.353177866855
10192900,2539.353177866855
10193050,2539.353177866855
10193200,2539.2017577669903
10193350,2539.2017577669903
10193500,2539.2017577669903
10193650,2539.2017577669903
10193800,2539.2017577669903
10193950,2539.2017577669903
10194100,2539.2017577669903
10194250,2539.2017577669903
10194400,2539.2017577669903
10194550,2539.2017577669903
10194700,2539.2017577669903
10194850,2539.2017577669903
10195000,2539.2017577669903
10195150,2551.2457371529745
10195300,2551.2457371529745
10195450,2551.2457371529745
10195600,2551.2457371529745
10195750,2551.2457371529745
10195900,2564.0983687319167
10196050,2564.0983687319167
10196200,2564.0983687319167
10196350,2564.0983687319167
10196500,2564.0983687319167
10196650,2564.0983687319167
10196800,2564.0983687319167
10196950,2564.0983687319167
10197100,2564.0983687319167
10197250,2564.0983687319167
10197400,2564.0983687319167
10197550,2564.0983687319167
10197700,2564.0983687319167
10197850,2564.0983687319167
10198000,2564.0983687319167
10198150,2563.5292595354986
10198300,2563.5292595354986
10198450,2563.5292595354986
10198600,2563.5292595354986
10198750,2560.0096496126935
10198900,2557.182787681464
10199050,2556.132847600362
10199200,2588.17864666901
10199350,2588.926969623353
10199500,2588.926969623353
10199650,2588.926969623353
10199800,2584.998471880921
10199950,2584.998471880921
10200100,2584.998471880921
10200250,2584.998471880921
10200400,2584.998471880921
10200550,2584.998471880921
10200700,2584.998471880921
10200850,2584.998471880921
10201000,2584.998471880921
10201150,2584.998471880921
10201300,2584.998471880921
10201450,2584.998471880921
10201600,2584.9676423449127
10201750,2584.9676423449127
10201900,2584.9676423449127
10202050,2572.4340065222714
10202200,2572.4340065222714
10202350,2572.4340065222714
10202500,2572.4340065222714
10202650,2572.4340065222714
10202800,2572.4340065222714
10202950,2572.4340065222714
10203100,2572.4340065222714
10203250,2572.4340065222714
10203400,2572.4340065222714
10203550,2572.4340065222714
10203700,2572.4340065222714
10203850,2572.4340065222714
10204000,2572.4340065222714
10204150,2572.4340065222714
10204300,2572.4340065222714
10204450,2572.4340065222714
10204600,2572.4340065222714
10204750,2572.4340065222714
10204900,2572.4340065222714
10205050,2572.2761117854316
10205200,2572.2761117854316
10205350,2568.1977564336557
10205500,2568.1977564336557
10205650,2568.1977564336557
10205800,2568.1977564336557
10205950,2568.1977564336557
10206100,2568.1977564336557
10206250,2568.1977564336557
10206400,2566.6946249411485
10206550,2566.6946249411485
10206700,2566.6946249411485
10206850,2562.833358814394
10207000,2562.833358814394
10207150,2562.593071777097
10207300,2560.6671623389993
10207450,2560.6671623389993
10207600,2560.6671623389993
10207750,2560.6671623389993
10207900,2560.6671623389993
10208050,2555.4165220901923
10208200,2579.090466380003
10208350,2579.616782169476
10208500,2579.616782169476
10208650,2579.616782169476
10208800,2579.616782169476
10208950,2579.616782169476
10209100,2579.616782169476
10209250,2581.4588874326437
10209400,2581.4588874326437
10209550,2581.4588874326437
10209700,2569.1379039201056
10209850,2569.1379039201056
10210000,2569.1379039201056
10210150,2581.4536933937925
10210300,2581.4536933937925
10210450,2581.4536933937925
10210600,2581.4536933937925
10210750,2581.4536933937925
10210900,2581.4536933937925
10211050,2581.4536933937925
10211200,2581.4536933937925
10211350,2581.4536933937925
10211500,2581.4536933937925
10211650,2581.4536933937925
10211800,2581.4536933937925
10211950,2581.4536933937925
10212100,2579.499472761672
10212250,2579.499472761672
10212400,2579.499472761672
10212550,2579.499472761672
10212700,2579.499472761672
10212850,2579.499472761672
10213000,2579.499472761672
10213150,2579.499472761672
10213300,2579.499472761672
10213450,2579.499472761672
10213600,2547.532094140828
10213750,2547.4794625618815
10213900,2547.4794625618815
10214050,2547.4794625618815
10214200,2565.6431467724033
10214350,2565.6431467724033
10214500,2575.231673088201
10214650,2575.231673088201
