blocknumber,reserve DAI,reserve WETH,volume DAI for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,10.5263157894737
10061050,0,0,10.882610648497206
10061200,0,0,10.882610648497206
10061350,0,0,10.882610648497206
10061500,0,0,10.882610648497206
10061650,0,0,10.882610648497206
10061800,0,0,10.882610648497206
10061950,0,0,10.882610648497206
10062100,0,0,10.882610648497206
10062250,0,0,10.882610648497206
10062400,0,0,10.882610648497206
10062550,0,0,11.11418959586564
10062700,0,0,11.11418959586564
10062850,0,0,11.11418959586564
10063000,0,0,11.11418959586564
10063150,0,0,11.11418959586564
10063300,0,0,11.11418959586564
10063450,0,0,11.11418959586564
10063600,0,0,11.11418959586564
10063750,0,0,11.11418959586564
10063900,0,0,11.11418959586564
10064050,0,0,11.11418959586564
10064200,0,0,11.114242227444578
10064350,0,0,11.114242227444578
10064500,0,0,11.114242227444578
10064650,0,0,11.114242227444578
10064800,0,0,11.114242227444606
10064950,0,0,11.114242227444606
10065100,0,0,11.114242227444606
10065250,0,0,16.404010020426142
10065400,0,0,16.404010020426142
10065550,0,0,16.404010020426142
10065700,0,0,13.772431073057703
10065850,0,0,13.772431073057703
10066000,0,0,13.772431073057703
10066150,0,0,13.405608919500963
10066300,0,0,13.405608919500963
10066450,0,0,13.405608919500963
10066600,0,0,13.405608919500963
10066750,0,0,13.405608919500963
10066900,0,0,13.405608919500963
10067050,0,0,13.405608919500963
10067200,0,0,13.405608919500963
10067350,0,0,13.405608919500963
10067500,0,0,13.405608919500963
10067650,0,0,13.405608919500963
10067800,0,0,13.405608919500963
10067950,0,0,13.405608919500963
10068100,0,0,13.405608919500963
10068250,0,0,13.405608919500963
10068400,0,0,13.405608919500963
10068550,0,0,13.405608919500963
10068700,0,0,13.405608919500963
10068850,0,0,13.405608919500963
10069000,0,0,13.405608919500963
10069150,0,0,13.405608919500963
10069300,0,0,13.405608919500963
10069450,0,0,13.405608919500963
10069600,0,0,13.405608919500963
10069750,0,0,13.405608919500963
10069900,0,0,13.405608919500963
10070050,0,0,13.405608919500963
10070200,0,0,13.405608919500963
10070350,0,0,13.405608919500963
10070500,0,0,13.405608919500963
10070650,0,0,13.405608919500963
10070800,0,0,13.405608919500963
10070950,0,0,13.405608919500963
10071100,0,0,13.405608919500963
10071250,0,0,13.405608919500963
10071400,0,0,13.405608919500963
10071550,0,0,13.405608919500963
10071700,0,0,13.405608919500963
10071850,0,0,13.405608919500963
10072000,0,0,13.405608919500963
10072150,0,0,13.395363311828334
10072300,0,0,13.395363311828334
10072450,0,0,15.516728546679417
10072600,0,0,14.85989768186937
10072750,0,0,13.950250260224095
10072900,0,0,13.338733597247767
10073050,0,0,13.338733597247767
10073200,0,0,13.338733597247767
10073350,0,0,13.338733597247767
10073500,0,0,13.338733597247767
10073650,0,0,13.338733597247767
10073800,0,0,17.73720868597951
10073950,0,0,17.73720868597951
10074100,0,0,17.73720868597951
10074250,0,0,17.73720868597951
10074400,0,0,17.73720868597951
10074550,0,0,17.73720868597951
10074700,0,0,17.73720868597951
10074850,0,0,17.73720868597951
10075000,0,0,17.73720868597951
10075150,0,0,17.73720868597951
10075300,0,0,17.73720868597951
10075450,0,0,17.73720868597951
10075600,0,0,17.73720868597951
10075750,0,0,17.73720868597951
10075900,0,0,17.73720868597951
10076050,0,0,17.73720868597951
10076200,0,0,17.73720868597951
10076350,0,0,17.73720868597951
10076500,0,0,17.73720868597951
10076650,0,0,17.73720868597951
10076800,0,0,17.73720868597951
10076950,0,0,17.73720868597951
10077100,0,0,17.73720868597951
10077250,0,0,17.73720868597951
10077400,0,0,17.73720868597951
10077550,0,0,17.73720868597951
10077700,0,0,18.845239989171205
10077850,0,0,18.845239989171205
10078000,0,0,18.845239989171205
10078150,0,0,18.845239989171205
10078300,0,0,18.845239989171205
10078450,0,0,18.845239989171205
10078600,0,0,18.845239989171205
10078750,0,0,18.845239989171205
10078900,0,0,18.845239989171205
10079050,0,0,18.845239989171205
10079200,0,0,18.82762791511874
10079350,0,0,18.82762791511874
10079500,0,0,18.82762791511874
10079650,0,0,18.82762791511874
10079800,0,0,18.82762791511874
10079950,0,0,18.82762791511874
10080100,0,0,18.82762791511874
10080250,0,0,18.82762791511874
10080400,0,0,19.35394370459244
10080550,0,0,19.35394370459244
10080700,0,0,19.35394370459244
10080850,0,0,19.35394370459244
10081000,0,0,19.35394370459244
10081150,0,0,19.35394370459244
10081300,0,0,19.35394370459244
10081450,0,0,19.35394370459244
10081600,0,0,19.35394370459244
10081750,0,0,19.35394370459244
10081900,0,0,19.35394370459244
10082050,0,0,19.35394370459244
10082200,0,0,19.35394370459244
10082350,0,0,19.35394370459244
10082500,0,0,19.35394370459244
10082650,0,0,19.35394370459244
10082800,0,0,19.35394370459244
10082950,0,0,19.35394370459244
10083100,0,0,19.35394370459244
10083250,0,0,19.35394370459244
10083400,0,0,19.35394370459244
10083550,0,0,19.35394370459244
10083700,0,0,18.71617934518406
10083850,0,0,18.71617934518406
10084000,0,0,18.71617934518406
10084150,0,0,18.71617934518406
10084300,0,0,18.71617934518406
10084450,0,0,18.71617934518406
10084600,0,0,18.71617934518406
10084750,0,0,18.71617934518406
10084900,0,0,18.71617934518406
10085050,0,0,19.65053286239305
10085200,0,0,19.65053286239305
10085350,0,0,19.65053286239305
10085500,0,0,19.65053286239305
10085650,0,0,19.65053286239305
10085800,0,0,19.65053286239305
10085950,0,0,19.65053286239305
10086100,0,0,19.65053286239305
10086250,0,0,19.65053286239305
10086400,0,0,19.65053286239305
10086550,0,0,19.65053286239305
10086700,0,0,19.65053286239305
10086850,0,0,19.65053286239305
10087000,0,0,19.65053286239305
10087150,0,0,19.65053286239305
10087300,0,0,19.65053286239305
10087450,0,0,19.65053286239305
10087600,0,0,19.65053286239305
10087750,0,0,19.65053286239305
10087900,0,0,19.65053286239305
10088050,0,0,19.65053286239305
10088200,0,0,19.65053286239305
10088350,0,0,19.65053286239305
10088500,0,0,19.65053286239305
10088650,0,0,19.65053286239305
10088800,0,0,19.65053286239305
10088950,0,0,19.65053286239305
10089100,0,0,19.65053286239305
10089250,0,0,19.65053286239305
10089400,0,0,19.65053286239305
10089550,0,0,19.65053286239305
10089700,0,0,19.65053286239305
10089850,0,0,19.65053286239305
10090000,0,0,19.65053286239305
10090150,0,0,19.65053286239305
10090300,0,0,19.65053286239305
10090450,0,0,19.65053286239305
10090600,0,0,19.65053286239305
10090750,0,0,19.65053286239305
10090900,0,0,19.65053286239305
10091050,0,0,19.65053286239305
10091200,0,0,19.65053286239305
10091350,0,0,19.65053286239305
10091500,0,0,228.26647356480134
10091650,0,0,466.5539166148865
10091800,0,0,506.6661980019744
10091950,0,0,507.7378649721668
10092100,0,0,522.2571779564678
10092250,0,0,1130.4661737158494
10092400,0,0,1287.5452177616862
10092550,0,0,1502.3502856913765
10092700,0,0,1506.3893114081948
10092850,0,0,1505.06578894821
10093000,0,0,1524.9887318230867
10093150,0,0,1525.507273436815
10093300,0,0,1538.0966732138695
10093450,0,0,1688.8872303540666
10093600,0,0,1702.6662754707795
10093750,0,0,1702.929467029222
10093900,0,0,1693.1553637083161
10094050,0,0,1698.4760540589778
10094200,0,0,1810.8741354326485
10094350,0,0,1814.745392751065
10094500,0,0,1849.2379002944072
10094650,0,0,2044.0829286169828
10094800,0,0,2079.649251723422
10094950,0,0,3321.34665486178
10095100,0,0,3342.300394685226
10095250,0,0,3334.829286074826
10095400,0,0,4243.7147604221245
10095550,0,0,4269.353167927053
10095700,0,0,3941.1751346456876
10095850,0,0,3905.283126799084
10096000,0,0,3913.340613752298
10096150,0,0,3929.2293855203316
10096300,0,0,3938.624763506479
10096450,0,0,4171.45884080854
10096600,0,0,4173.039668157275
10096750,0,0,4676.375831673868
10096900,0,0,4675.631752459798
10097050,0,0,4671.103403966787
10097200,0,0,4695.753133003294
10097350,0,0,4693.193201520349
10097500,0,0,4745.213330251354
10097650,0,0,4734.413121183534
10097800,0,0,4876.093681808605
10097950,0,0,20227.095709984773
10098100,0,0,20344.567187820736
10098250,0,0,20326.939564562635
10098400,0,0,20352.242462717928
10098550,0,0,20313.122518408694
10098700,0,0,20440.47774769069
10098850,0,0,20501.131845535303
10099000,0,0,20498.608659043035
10099150,0,0,21602.252618841536
10099300,0,0,21896.76751757186
10099450,0,0,21930.010306828946
10099600,0,0,22008.77438525518
10099750,0,0,21436.07678988774
10099900,0,0,27841.146368924878
10100050,0,0,27912.995175192715
10100200,0,0,27911.711283503566
10100350,0,0,27842.15376622288
10100500,0,0,27854.191819861648
10100650,0,0,27706.641592519474
10100800,0,0,27750.245902756345
10100950,0,0,27817.1633139489
10101100,0,0,27831.307143702637
10101250,0,0,27874.68484428234
10101400,0,0,27880.086834593676
10101550,0,0,27882.70345661405
10101700,0,0,28931.211489810143
10101850,0,0,28977.343174103065
10102000,0,0,29006.59010970837
10102150,0,0,29031.099518666626
10102300,0,0,28923.426283296663
10102450,0,0,29134.495759523357
10102600,0,0,29090.22110370896
10102750,0,0,28961.922252953635
10102900,0,0,28980.03129415447
10103050,0,0,28998.61648799281
10103200,0,0,28998.505055788206
10103350,0,0,29104.27069308702
10103500,0,0,28867.515250583994
10103650,0,0,28530.705258605303
10103800,0,0,28363.171755626798
10103950,0,0,28412.610365466797
10104100,0,0,28474.701067667687
10104250,0,0,28710.450906917686
10104400,0,0,28738.730733191012
10104550,0,0,28792.744452685467
10104700,0,0,28732.691449765814
10104850,0,0,28726.635190734873
10105000,0,0,28867.213700489257
10105150,0,0,28948.179636917077
10105300,0,0,28825.111204731278
10105450,0,0,28927.996749964892
10105600,0,0,30082.5226739333
10105750,0,0,30093.479851552518
10105900,0,0,30077.235777253052
10106050,0,0,30077.23577725282
10106200,0,0,30082.509783650516
10106350,0,0,30072.378293196904
10106500,0,0,30124.73385426856
10106650,0,0,30142.30495169328
10106800,0,0,30007.5166448846
10106950,0,0,30022.817720631487
10107100,0,0,30007.204309076886
10107250,0,0,30028.4220236229
10107400,0,0,30148.308307763655
10107550,0,0,30122.994297183235
10107700,0,0,30122.994297183235
10107850,0,0,30193.408564655343
10108000,0,0,30176.038587661693
10108150,0,0,30179.09500124422
10108300,0,0,29977.944877168164
10108450,0,0,29991.78809870116
10108600,0,0,30006.79601671896
10108750,0,0,29951.57800201152
10108900,0,0,30023.485493060085
10109050,0,0,29963.48582779558
10109200,0,0,30026.01821251551
10109350,0,0,29958.87742373522
10109500,0,0,30002.15191565838
10109650,0,0,30004.994020921644
10109800,0,0,29793.65528855112
10109950,0,0,29583.45105292392
10110100,0,0,29541.031469345675
10110250,0,0,29600.862436094554
10110400,0,0,29616.02810093388
10110550,0,0,29627.030948667205
10110700,0,0,29504.46488092211
10110850,0,0,29325.49729306216
10111000,0,0,29188.89674714778
10111150,0,0,29726.48309843964
10111300,0,0,29930.284929339075
10111450,0,0,29902.28662943421
10111600,0,0,29973.7212287304
10111750,0,0,29967.555669249734
10111900,0,0,30007.02354551223
10112050,0,0,30011.255822739797
10112200,0,0,30029.63960394822
10112350,0,0,29989.46493063215
10112500,0,0,29866.19122219854
10112650,0,0,29873.451297193067
10112800,0,0,29923.790223077405
10112950,0,0,29911.9486742249
10113100,0,0,29964.166788357077
10113250,0,0,29968.759137314744
10113400,0,0,29963.157820222783
10113550,0,0,29871.449723956524
10113700,0,0,29874.714563712245
10113850,0,0,29892.405614641146
10114000,0,0,29934.756630378542
10114150,0,0,30031.127855858882
10114300,0,0,30121.221825279878
10114450,0,0,30144.47936234821
10114600,0,0,30146.576640039682
10114750,0,0,30121.52963936457
10114900,0,0,30090.141114743776
10115050,0,0,32881.680483312346
10115200,0,0,32936.99124385952
10115350,0,0,33097.39210297668
10115500,0,0,32967.72643826273
10115650,0,0,33129.42457437259
10115800,0,0,33231.04673322395
10115950,0,0,33179.38966306369
10116100,0,0,33186.60620902339
10116250,0,0,33241.09628340835
10116400,0,0,33335.935642938945
10116550,0,0,33429.641837740666
10116700,0,0,33493.28730216797
10116850,0,0,33559.94806722039
10117000,0,0,33948.28476713807
10117150,0,0,33689.67912658851
10117300,0,0,33742.06511690351
10117450,0,0,33789.223531826516
10117600,0,0,99445.80903844652
10117750,0,0,99458.61775296624
10117900,0,0,99468.33034970472
10118050,0,0,99628.19288185751
10118200,0,0,99623.84441030119
10118350,0,0,99612.26290251431
10118500,0,0,99559.98355278769
10118650,0,0,99370.49672851362
10118800,0,0,99494.11024603806
10118950,0,0,99514.18231926463
10119100,0,0,99821.66550253099
10119250,0,0,99855.16773923067
10119400,0,0,99805.23674833821
10119550,0,0,99780.80112980027
10119700,0,0,99785.78231231612
10119850,0,0,99681.90205229563
10120000,0,0,99737.91289640171
10120150,0,0,99644.77276135422
10120300,0,0,99531.61583397142
10120450,0,0,99584.27611398557
10120600,0,0,99591.49115543277
10120750,0,0,99503.31506984401
10120900,0,0,99507.48832007986
10121050,0,0,99333.34009513748
10121200,0,0,99599.66587743396
10121350,0,0,99448.27399770077
10121500,0,0,99369.00803157128
10121650,0,0,99386.01029752893
10121800,0,0,99336.84919247194
10121950,0,0,99361.50323029468
10122100,0,0,99127.92857599072
10122250,0,0,99182.33696046774
10122400,0,0,99203.22457709
10122550,0,0,99202.70213275286
10122700,0,0,100016.08140567434
10122850,0,0,100216.63955357904
10123000,0,0,100244.11546173831
10123150,0,0,100229.89230224327
10123300,0,0,100255.59805302066
10123450,0,0,100307.74651773483
10123600,0,0,100600.61872061086
10123750,0,0,100385.85162252723
10123900,0,0,100386.38978540804
10124050,0,0,100450.46931076539
10124200,0,0,100515.2566960128
10124350,0,0,100582.1756115011
10124500,0,0,101044.09092709143
10124650,0,0,101041.74130115355
10124800,0,0,101070.36125987372
10124950,0,0,101051.75126861501
10125100,0,0,101050.50560526736
10125250,0,0,100829.1322591845
10125400,0,0,100819.81509461766
10125550,0,0,100820.66615141346
10125700,0,0,100856.81326775067
10125850,0,0,100956.32104864623
10126000,0,0,101103.04750351585
10126150,0,0,101328.44595846138
10126300,0,0,101292.70914678485
10126450,0,0,101278.31832677801
10126600,0,0,101266.82797079999
10126750,0,0,101296.94604841387
10126900,0,0,101403.5750476697
10127050,0,0,101372.04710238473
10127200,0,0,101766.40895890049
10127350,0,0,101715.87328818906
10127500,0,0,101263.941505695
10127650,0,0,101267.73732846952
10127800,0,0,101297.66450700723
10127950,0,0,101077.98964028759
10128100,0,0,101102.27936428506
10128250,0,0,100815.876332836
10128400,0,0,100537.61967336829
10128550,0,0,100542.00290877558
10128700,0,0,100537.93281829078
10128850,0,0,100483.7572238082
10129000,0,0,100011.62779728347
10129150,0,0,99945.87457369477
10129300,0,0,100291.09316756809
10129450,0,0,100822.52752452297
10129600,0,0,100465.82985437638
10129750,0,0,99969.40173125896
10129900,0,0,100028.46237878618
10130050,0,0,100135.68255395861
10130200,0,0,100568.94808923383
10130350,0,0,100525.11471375055
10130500,0,0,100764.7499307245
10130650,0,0,101055.3260971976
10130800,0,0,101054.5695392834
10130950,0,0,101166.70966674294
10131100,0,0,101270.17342148791
10131250,0,0,101284.57253862987
10131400,0,0,101108.88295274437
10131550,0,0,100161.19096005405
10131700,0,0,99735.03677440155
10131850,0,0,100038.48298003478
10132000,0,0,100137.42498581554
10132150,0,0,100188.64438204374
10132300,0,0,100199.48648607591
10132450,0,0,100231.6667724885
10132600,0,0,100136.23958808626
10132750,0,0,100207.74672032404
10132900,0,0,100117.93149136729
10133050,0,0,100122.00442370377
10133200,0,0,100181.25782547868
10133350,0,0,100191.91673558764
10133500,0,0,100184.29481871566
10133650,0,0,100395.44930055691
10133800,0,0,100545.9394002452
10133950,0,0,100540.43560245377
10134100,0,0,100538.30528517044
10134250,0,0,100411.11870265589
10134400,0,0,100420.52859476767
10134550,0,0,100399.42756569013
10134700,0,0,100341.29270327254
10134850,0,0,100289.14111638861
10135000,0,0,100230.71524542198
10135150,0,0,100244.15286995983
10135300,0,0,100557.45634224289
10135450,0,0,100572.60905526183
10135600,0,0,100345.41073765256
10135750,0,0,100367.2081766203
10135900,0,0,100382.2790888953
10136050,0,0,100380.86796736927
10136200,0,0,100460.497033488
10136350,0,0,100443.53344299644
10136500,0,0,100630.29417624138
10136650,0,0,100679.33643831825
10136800,0,0,100785.5600441075
10136950,0,0,100812.03620238951
10137100,0,0,101117.64435379673
10137250,0,0,101088.05489503685
10137400,0,0,101012.45001086034
10137550,0,0,101004.32156100217
10137700,0,0,100873.38194857445
10137850,0,0,100842.76387930778
10138000,0,0,100913.79723277944
10138150,0,0,101058.71309124213
10138300,0,0,101039.63395238784
10138450,0,0,101029.21061280463
10138600,0,0,101030.54386390466
10138750,0,0,101034.64967593295
10138900,0,0,100995.55331530469
10139050,0,0,100998.9087095221
10139200,0,0,100998.80344636412
10139350,0,0,101049.9160075828
10139500,0,0,101080.31998196547
10139650,0,0,101080.3199819657
10139800,0,0,100939.39154272876
10139950,0,0,100974.1807387562
10140100,0,0,100941.25031371578
10140250,0,0,100920.75831000507
10140400,0,0,100936.83980097785
10140550,0,0,100696.402222028
10140700,0,0,100715.87851102161
10140850,0,0,100839.34386100108
10141000,0,0,100828.42702369276
10141150,0,0,100821.4625635834
10141300,0,0,100746.99081265205
10141450,0,0,100603.51040616608
10141600,0,0,100583.28870768915
10141750,0,0,100581.70199902449
10141900,0,0,100378.5325442052
10142050,0,0,100492.41413702304
10142200,0,0,100207.14647050132
10142350,0,0,99860.51406684099
10142500,0,0,99875.01466715941
10142650,0,0,100090.87293232512
10142800,0,0,100161.68030585442
10142950,0,0,100174.51934985165
10143100,0,0,100145.50605532737
10143250,0,0,100098.8439892768
10143400,0,0,99877.36805004906
10143550,0,0,99942.89777982584
10143700,0,0,100460.76165791857
10143850,0,0,100487.03116032993
10144000,0,0,100517.78370966157
10144150,0,0,100433.11357136071
10144300,0,0,100422.75542017608
10144450,0,0,100470.34221502044
10144600,0,0,100447.46927792276
10144750,0,0,100566.69282711647
10144900,0,0,100560.6345794436
10145050,0,0,100573.07939592446
10145200,0,0,100594.86126798112
10145350,0,0,100591.87448991579
10145500,0,0,100854.01408103993
10145650,0,0,100828.68520928104
10145800,0,0,100826.88618909358
10145950,0,0,100828.83910060581
10146100,0,0,101011.27879197802
10146250,0,0,101011.20588535978
10146400,0,0,101033.379239514
10146550,0,0,101074.04752673884
10146700,0,0,101114.99618236674
10146850,0,0,101124.37363721197
10147000,0,0,101124.68942668545
10147150,0,0,101064.25485441368
10147300,0,0,101606.03312999173
10147450,0,0,101911.7273782792
10147600,0,0,101959.00215742784
10147750,0,0,101920.14612355805
10147900,0,0,101955.87662782893
10148050,0,0,102117.70597240888
10148200,0,0,102121.15161232348
10148350,0,0,102011.12554191239
10148500,0,0,101946.51607540948
10148650,0,0,101828.00001082476
10148800,0,0,101776.71232500346
10148950,0,0,101956.01840477413
10149100,0,0,102020.32704401133
10149250,0,0,102263.4086634107
10149400,0,0,102211.27640097565
10149550,0,0,102215.50128381304
10149700,0,0,102336.82267057779
10149850,0,0,102204.05218959902
10150000,0,0,102097.2720562534
10150150,0,0,102125.68726526224
10150300,0,0,101575.16895641247
10150450,0,0,101508.13994876016
10150600,0,0,101488.63233629614
10150750,0,0,101487.95195411379
10150900,0,0,101787.68820076133
10151050,0,0,102009.68217538996
10151200,0,0,102246.44498470449
10151350,0,0,102141.12809737097
10151500,0,0,102300.0742294062
10151650,0,0,101755.74618482357
10151800,0,0,102202.54107890115
10151950,0,0,102039.45659897104
10152100,0,0,101923.93360502622
10152250,0,0,101934.98895266512
10152400,0,0,101924.3953893669
10152550,0,0,101916.60513494955
10152700,0,0,101913.83756555477
10152850,0,0,101900.46759700705
10153000,0,0,101704.61040893174
10153150,0,0,101677.55086705042
