blocknumber,reserve WETH,reserve WBTC,volume WETH for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,0
10061050,0,0,0
10061200,0,0,0
10061350,0,0,0
10061500,0,0,0
10061650,0,0,0
10061800,0,0,0
10061950,0,0,0
10062100,0,0,0
10062250,0,0,0
10062400,0,0,0
10062550,0,0,0
10062700,0,0,0
10062850,0,0,0
10063000,0,0,0
10063150,0,0,0
10063300,0,0,0
10063450,0,0,0
10063600,0,0,0
10063750,0,0,0
10063900,0,0,0
10064050,0,0,0
10064200,0,0,0
10064350,0,0,0
10064500,0,0,0
10064650,0,0,0
10064800,0,0,0
10064950,0,0,0
10065100,0,0,0
10065250,0,0,0
10065400,0,0,0
10065550,0,0,0
10065700,0,0,0
10065850,0,0,0
10066000,0,0,0
10066150,0,0,0
10066300,0,0,0
10066450,0,0,0
10066600,0,0,0
10066750,0,0,0
10066900,0,0,0
10067050,0,0,0
10067200,0,0,0
10067350,0,0,0
10067500,0,0,0
10067650,0,0,0
10067800,0,0,0
10067950,0,0,0
10068100,0,0,0
10068250,0,0,0
10068400,0,0,0
10068550,0,0,0
10068700,0,0,0
10068850,0,0,0
10069000,0,0,0
10069150,0,0,0
10069300,0,0,0
10069450,0,0,0
10069600,0,0,0
10069750,0,0,0
10069900,0,0,0
10070050,0,0,0
10070200,0,0,0
10070350,0,0,0
10070500,0,0,0
10070650,0,0,0
10070800,0,0,0
10070950,0,0,0
10071100,0,0,0
10071250,0,0,0
10071400,0,0,0
10071550,0,0,0
10071700,0,0,0
10071850,0,0,0
10072000,0,0,0
10072150,0,0,0
10072300,0,0,0
10072450,0,0,0
10072600,0,0,0
10072750,0,0,0
10072900,0,0,0
10073050,0,0,0
10073200,0,0,0
10073350,0,0,0
10073500,0,0,0
10073650,0,0,0
10073800,0,0,0
10073950,0,0,0
10074100,0,0,0
10074250,0,0,0
10074400,0,0,0
10074550,0,0,0
10074700,0,0,0
10074850,0,0,0
10075000,0,0,0
10075150,0,0,0
10075300,0,0,0
10075450,0,0,0
10075600,0,0,0
10075750,0,0,0
10075900,0,0,0
10076050,0,0,0
10076200,0,0,0
10076350,0,0,0
10076500,0,0,0
10076650,0,0,0
10076800,0,0,0
10076950,0,0,0
10077100,0,0,0
10077250,0,0,0
10077400,0,0,0
10077550,0,0,0
10077700,0,0,0
10077850,0,0,0
10078000,0,0,0
10078150,0,0,0
10078300,0,0,0
10078450,0,0,0
10078600,0,0,0
10078750,0,0,0
10078900,0,0,0
10079050,0,0,0
10079200,0,0,0
10079350,0,0,0
10079500,0,0,0
10079650,0,0,0
10079800,0,0,0
10079950,0,0,0
10080100,0,0,0
10080250,0,0,0
10080400,0,0,0
10080550,0,0,0
10080700,0,0,0
10080850,0,0,0
10081000,0,0,0
10081150,0,0,0
10081300,0,0,0
10081450,0,0,0
10081600,0,0,0
10081750,0,0,0
10081900,0,0,0
10082050,0,0,0
10082200,0,0,0
10082350,0,0,0
10082500,0,0,0
10082650,0,0,0
10082800,0,0,0
10082950,0,0,0
10083100,0,0,0
10083250,0,0,0
10083400,0,0,0
10083550,0,0,0
10083700,0,0,0
10083850,0,0,0
10084000,0,0,0
10084150,0,0,0
10084300,0,0,0
10084450,0,0,0
10084600,0,0,0
10084750,0,0,0
10084900,0,0,0
10085050,0,0,0
10085200,0,0,0
10085350,0,0,0
10085500,0,0,0
10085650,0,0,0
10085800,0,0,0
10085950,0,0,0
10086100,0,0,0
10086250,0,0,0
10086400,0,0,0
10086550,0,0,0
10086700,0,0,0
10086850,0,0,0
10087000,0,0,0
10087150,0,0,0
10087300,0,0,0
10087450,0,0,0
10087600,0,0,0
10087750,0,0,0
10087900,0,0,0
10088050,0,0,0
10088200,0,0,0
10088350,0,0,0
10088500,0,0,0
10088650,0,0,0
10088800,0,0,0
10088950,0,0,0
10089100,0,0,0
10089250,0,0,0
10089400,0,0,0
10089550,0,0,0
10089700,0,0,0
10089850,0,0,0
10090000,0,0,0
10090150,0,0,0
10090300,0,0,0
10090450,0,0,0
10090600,0,0,0
10090750,0,0,0
10090900,0,0,0
10091050,0,0,0
10091200,0,0,0.22631628113600843
10091350,0,0,0.22631628113600843
10091500,0,0,0.24364110287276652
10091650,0,0,0.24366313646912285
10091800,0,0,0.26816062320257306
10091950,0,0,0.26816062320257306
10092100,0,0,10.785469263235854
10092250,0,0,10.785469263235854
10092400,0,0,10.79280473976442
10092550,0,0,10.809901339293788
10092700,0,0,10.809901339293788
10092850,0,0,11.232028006902027
10093000,0,0,13.813228777889663
10093150,0,0,13.742659219351196
10093300,0,0,13.713555477251532
10093450,0,0,13.774081793041034
10093600,0,0,13.78210629866794
10093750,0,0,13.799610281014054
10093900,0,0,13.799610281014054
10094050,0,0,13.799610281014054
10094200,0,0,13.805278047471859
10094350,0,0,13.805278047471859
10094500,0,0,13.805278047471859
10094650,0,0,13.805278047471859
10094800,0,0,19.592002990233198
10094950,0,0,19.663649695200547
10095100,0,0,19.706913884761946
10095250,0,0,19.71643816043695
10095400,0,0,19.71643816043695
10095550,0,0,19.716596055173795
10095700,0,0,19.929454885372706
10095850,0,0,20.05704456559471
10096000,0,0,20.038519464748276
10096150,0,0,20.038519464748276
10096300,0,0,20.038519464748276
10096450,0,0,20.084131779680774
10096600,0,0,20.10277194921281
10096750,0,0,20.62182223719884
10096900,0,0,20.446118586760008
10097050,0,0,20.446118586760008
10097200,0,0,20.709276481496886
10097350,0,0,20.86717121833891
10097500,0,0,20.80869142342442
10097650,0,0,20.78766685778635
10097800,0,0,20.785857859243663
10097950,0,0,21.38051001751319
10098100,0,0,21.864848663918735
10098250,0,0,21.86764967696695
10098400,0,0,24.314936225727593
10098550,0,0,24.314936225727593
10098700,0,0,24.371197946670748
10098850,0,0,25.75177901370097
10099000,0,0,26.00415062453459
10099150,0,0,57.38776659329301
10099300,0,0,57.38776659329301
10099450,0,0,57.419345540661425
10099600,0,0,57.42846146060833
10099750,0,0,57.376310974397484
10099900,0,0,57.07475865669289
10100050,0,0,57.04706407319986
10100200,0,0,57.09969565214715
10100350,0,0,57.12215578611449
10100500,0,0,57.10015341989015
10100650,0,0,57.10015341989015
10100800,0,0,57.363311314627026
10100950,0,0,57.363311314627026
10101100,0,0,57.363311314627026
10101250,0,0,57.39860344182648
10101400,0,0,57.41937373459177
10101550,0,0,57.41565735145605
10101700,0,0,57.41565735145605
10101850,0,0,57.57355208829813
10102000,0,0,57.46740627767031
10102150,0,0,57.73056417240741
10102300,0,0,57.76307481038975
10102450,0,0,57.76307481038975
10102600,0,0,57.76439059986319
10102750,0,0,58.09384755447741
10102900,0,0,57.88312295582591
10103050,0,0,57.88312295582591
10103200,0,0,57.77987280748721
10103350,0,0,57.83250438643449
10103500,0,0,57.78003063914912
10103650,0,0,58.64662355249675
10103800,0,0,58.28582339539685
10103950,0,0,58.12934635459601
10104100,0,0,58.13987267038533
10104250,0,0,58.29763742620867
10104400,0,0,58.29763742620867
10104550,0,0,58.066642521706626
10104700,0,0,58.1203267322328
10104850,0,0,58.48515186615214
10105000,0,0,58.20936369058359
10105150,0,0,58.20936369058359
10105300,0,0,58.18094564562057
10105450,0,0,58.18094564562057
10105600,0,0,58.36131809761514
10105750,0,0,58.36131809761514
10105900,0,0,58.32137661668844
10106050,0,0,58.06189177528586
10106200,0,0,58.06189177528586
10106350,0,0,58.06189177528586
10106500,0,0,58.06189177528586
10106650,0,0,58.06189177528586
10106800,0,0,58.06189177528586
10106950,0,0,58.06189177528586
10107100,0,0,58.06189177528586
10107250,0,0,58.06189177528586
10107400,0,0,58.36500123912788
10107550,0,0,58.36500123912788
10107700,0,0,58.07343997359453
10107850,0,0,58.07343997359453
10108000,0,0,58.07343997359453
10108150,0,0,58.07343997359453
10108300,0,0,58.33659786833141
10108450,0,0,58.33659786833141
10108600,0,0,58.09870271663863
10108750,0,0,58.09870271663863
10108900,0,0,58.10396587453329
10109050,0,0,58.02544079164022
10109200,0,0,58.092092329589605
10109350,0,0,58.183671276958194
10109500,0,0,58.285829165776704
10109650,0,0,58.285829165776704
10109800,0,0,58.56907349400058
10109950,0,0,58.56817994943867
10110100,0,0,58.56817994943867
10110250,0,0,58.58141545975286
10110400,0,0,58.59450580288899
10110550,0,0,58.683979487099805
10110700,0,0,58.44578905517619
10110850,0,0,58.44578905517619
10111000,0,0,58.56690390927679
10111150,0,0,58.56690390927679
10111300,0,0,58.56690390927679
10111450,0,0,58.616018528369295
10111600,0,0,58.65521538287817
10111750,0,0,58.65533419137432
10111900,0,0,58.933792436111844
10112050,0,0,58.933792436111844
10112200,0,0,58.959884816305475
10112350,0,0,58.959884816305475
10112500,0,0,58.841453672142734
10112650,0,0,58.84189411172997
10112800,0,0,58.96813054188351
10112950,0,0,59.007550308164355
10113100,0,0,59.007550308164355
10113250,0,0,59.007550308164355
10113400,0,0,59.007550308164355
10113550,0,0,58.84465539673806
10113700,0,0,58.818339607264306
10113850,0,0,58.87029136741717
10114000,0,0,58.87029136741717
10114150,0,0,58.87029136741717
10114300,0,0,58.8438270126187
10114450,0,0,58.89989648071764
10114600,0,0,58.80099065526747
10114750,0,0,58.80099065526747
10114900,0,0,58.88219516158688
10115050,0,0,58.88219516158688
10115200,0,0,58.88219516158688
10115350,0,0,58.88745831948154
10115500,0,0,58.88745831948154
10115650,0,0,58.9043854781155
10115800,0,0,58.74167146161608
10115950,0,0,60.115946486928124
10116100,0,0,60.06750010508199
10116250,0,0,60.0757422103452
10116400,0,0,59.939567414807925
10116550,0,0,60.19979158872661
10116700,0,0,59.62517721847985
10116850,0,0,59.59794620200478
10117000,0,0,59.64159531185214
10117150,0,0,59.64159531185214
10117300,0,0,59.63450470565658
10117450,0,0,59.57432433769304
10117600,0,0,59.63748223242965
10117750,0,0,59.43623965466213
10117900,0,0,59.43623965466213
10118050,0,0,59.43623965466213
10118200,0,0,59.43623965466213
10118350,0,0,59.51174926412091
10118500,0,0,59.374349300269614
10118650,0,0,59.374349300269614
10118800,0,0,59.374349300269614
10118950,0,0,59.47961245816441
10119100,0,0,59.62954198560578
10119250,0,0,59.86638407267378
10119400,0,0,59.960392016819924
10119550,0,0,59.68786602530008
10119700,0,0,59.63565933332461
10119850,0,0,59.899765305525534
10120000,0,0,59.92608109499906
10120150,0,0,60.06124094125562
10120300,0,0,60.06124094125562
10120450,0,0,60.117561159996285
10120600,0,0,60.117561159996285
10120750,0,0,62.46734821323048
10120900,0,0,62.50491309472568
10121050,0,0,62.50491309472568
10121200,0,0,62.50491309472568
10121350,0,0,62.50491309472568
10121500,0,0,62.50491309472568
10121650,0,0,62.50491309472568
10121800,0,0,62.50491309472568
10121950,0,0,62.50491309472568
10122100,0,0,62.483989629109374
10122250,0,0,62.34625459294648
10122400,0,0,62.486040245200684
10122550,0,0,62.486040245200684
10122700,0,0,62.49114550835861
10122850,0,0,62.54464065650791
10123000,0,0,62.53475774083927
10123150,0,0,62.66632027063292
10123300,0,0,62.59030951899604
10123450,0,0,62.59030951899604
10123600,0,0,62.66095290480621
10123750,0,0,62.66095290480621
10123900,0,0,62.66095290480621
10124050,0,0,62.66095290480621
10124200,0,0,62.4863431411261
10124350,0,0,63.21598290201882
10124500,0,0,64.65741721219865
10124650,0,0,64.6136209751362
10124800,0,0,64.79705307611357
10124950,0,0,64.86406841075222
10125100,0,0,64.78573065585715
10125250,0,0,64.84362539269932
10125400,0,0,64.8023582574051
10125550,0,0,64.8023582574051
10125700,0,0,64.8023582574051
10125850,0,0,64.708050375737
10126000,0,0,64.708050375737
10126150,0,0,64.62783374707578
10126300,0,0,64.62783374707578
10126450,0,0,64.62783374707578
10126600,0,0,64.62783374707578
10126750,0,0,64.62783374707578
10126900,0,0,64.59068094779877
10127050,0,0,64.69594410569357
10127200,0,0,64.69594410569357
10127350,0,0,64.69594410569357
10127500,0,0,64.69594410569357
10127650,0,0,64.46073283037504
10127800,0,0,64.5267095248771
10127950,0,0,64.5267095248771
10128100,0,0,64.5267095248771
10128250,0,0,64.6319726827719
10128400,0,0,64.64044743623344
10128550,0,0,64.58393089400693
10128700,0,0,64.58393089400693
10128850,0,0,64.58393089400693
10129000,0,0,64.58393089400693
10129150,0,0,64.58393089400693
10129300,0,0,64.58393089400693
10129450,0,0,64.58393089400693
10129600,0,0,64.58393089400693
10129750,0,0,64.58393089400693
10129900,0,0,64.58393089400693
10130050,0,0,64.67577884993443
10130200,0,0,64.69036143559492
10130350,0,0,64.69036143559492
10130500,0,0,60.25409342556509
10130650,0,0,60.138007183316404
10130800,0,0,60.13995708603761
10130950,0,0,60.13995708603761
10131100,0,0,60.06954181760079
10131250,0,0,60.09241927143103
10131400,0,0,60.0708573862637
10131550,0,0,59.94016518809917
10131700,0,0,60.15041436654769
10131850,0,0,60.3885765457992
10132000,0,0,60.334135273046286
10132150,0,0,60.35887211515137
10132300,0,0,60.35887211515137
10132450,0,0,60.27228636361701
10132600,0,0,60.25369747993409
10132750,0,0,60.25369747993409
10132900,0,0,60.071718182721725
10133050,0,0,60.071718182721725
10133200,0,0,60.071718182721725
10133350,0,0,60.071718182721725
10133500,0,0,60.123522730985314
10133650,0,0,59.96836741148218
10133800,0,0,59.96836741148218
10133950,0,0,59.981577937797965
10134100,0,0,60.139788464113735
10134250,0,0,60.139788464113735
10134400,0,0,60.139788464113735
10134550,0,0,60.139788464113735
10134700,0,0,60.144297289564065
10134850,0,0,60.06975972989153
10135000,0,0,60.06975972989153
10135150,0,0,60.06975972989153
10135300,0,0,60.06975972989153
10135450,0,0,59.89507845301364
10135600,0,0,59.89507845301364
10135750,0,0,59.86413235491864
10135900,0,0,59.86413235491864
10136050,0,0,59.95465340594728
10136200,0,0,60.02476040559554
10136350,0,0,59.91619859838579
10136500,0,0,60.02146175628059
10136650,0,0,60.02146175628059
10136800,0,0,60.02146175628059
10136950,0,0,60.02146175628059
10137100,0,0,60.13627025526739
10137250,0,0,60.13627025526739
10137400,0,0,59.989513941989344
10137550,0,0,60.01070945181277
10137700,0,0,60.5370252412863
10137850,0,0,60.5370252412863
10138000,0,0,60.5370252412863
10138150,0,0,60.5370252412863
10138300,0,0,60.5370252412863
10138450,0,0,60.562627441320956
10138600,0,0,60.562627441320956
10138750,0,0,60.562627441320956
10138900,0,0,60.562627441320956
10139050,0,0,60.562627441320956
10139200,0,0,60.52203460247483
10139350,0,0,60.781874112922424
10139500,0,0,60.73969764109802
10139650,0,0,60.72549590559902
10139800,0,0,60.714613497493474
10139950,0,0,60.58301233346083
10140100,0,0,60.537119376155715
10140250,0,0,60.638928210274344
10140400,0,0,60.638928210274344
10140550,0,0,60.638928210274344
10140700,0,0,60.638928210274344
10140850,0,0,60.796822947116425
10141000,0,0,60.796822947116425
10141150,0,0,60.796822947116425
10141300,0,0,60.796822947116425
10141450,0,0,60.796822947116425
10141600,0,0,60.786296631327104
10141750,0,0,60.96302390384881
10141900,0,0,60.93668715542822
10142050,0,0,60.997617582253724
10142200,0,0,60.9933204341894
10142350,0,0,61.04977511686752
10142500,0,0,61.061880380025514
10142650,0,0,61.03570730021147
10142800,0,0,61.03570730021147
10142950,0,0,61.01308177039641
10143100,0,0,60.93799098222553
10143250,0,0,60.93799098222553
10143400,0,0,60.93799098222553
10143550,0,0,60.93799098222553
10143700,0,0,60.93746693707112
10143850,0,0,60.94709410438759
10144000,0,0,60.94709410438759
10144150,0,0,61.12312603387704
10144300,0,0,61.06563072395829
10144450,0,0,61.078703939761226
10144600,0,0,61.124586361725505
10144750,0,0,61.124586361725505
10144900,0,0,61.124586361725505
10145050,0,0,61.13767004025431
10145200,0,0,61.13767004025431
10145350,0,0,61.13767004025431
10145500,0,0,61.11160702042457
10145650,0,0,61.11160702042457
10145800,0,0,61.11160702042457
10145950,0,0,61.3746526231123
10146100,0,0,61.387810517849175
10146250,0,0,61.15803261233896
10146400,0,0,61.10135065121972
10146550,0,0,61.10135065121972
10146700,0,0,61.09169030810108
10146850,0,0,61.09169030810108
10147000,0,0,61.09169030810108
10147150,0,0,61.09169030810108
10147300,0,0,61.27887455844143
10147450,0,0,61.27887455844143
10147600,0,0,61.336272667949515
10147750,0,0,61.336272667949515
10147900,0,0,61.05011951761958
10148050,0,0,61.192615113592865
10148200,0,0,61.192615113592865
10148350,0,0,61.215773008329734
10148500,0,0,61.12727856968445
10148650,0,0,61.12727856968445
10148800,0,0,61.12780488547378
10148950,0,0,61.12780488547378
10149100,0,0,61.11498881210355
10149250,0,0,61.33391724115904
10149400,0,0,61.236221831297144
10149550,0,0,62.4104560662181
10149700,0,0,62.296723607509875
10149850,0,0,62.2535490743096
10150000,0,0,62.23374012081035
10150150,0,0,62.19501802222521
10150300,0,0,62.28529711234387
10150450,0,0,62.215702436793435
10150600,0,0,62.2390230368685
10150750,0,0,62.2390230368685
10150900,0,0,62.17712130743121
10151050,0,0,62.17712130743121
10151200,0,0,62.17712130743121
10151350,0,0,62.24671239280519
10151500,0,0,62.24671239280519
10151650,0,0,62.24671239280519
10151800,0,0,62.189526920732305
10151950,0,0,62.189526920732305
10152100,0,0,62.189526920732305
10152250,0,0,62.26339406924194
10152400,0,0,62.11108664528115
10152550,0,0,62.11108664528115
10152700,0,0,62.11108664528115
10152850,0,0,62.18861269453464
10153000,0,0,62.34131879601841
10153150,0,0,62.35361277363745
10153300,0,0,62.35361277363745
10153450,0,0,62.35173076947808
10153600,0,0,62.35173076947808
10153750,0,0,62.37804655895184
10153900,0,0,62.43067813789912
10154050,0,0,62.45699392737288
10154200,0,0,62.427271149362014
10154350,0,0,62.397462664165914
10154500,0,0,62.44559389998494
10154650,0,0,62.44559389998494
10154800,0,0,62.44559389998494
10154950,0,0,62.44559389998494
10155100,0,0,62.44559389998494
10155250,0,0,62.41121483691427
10155400,0,0,62.41121483691427
10155550,0,0,62.33380871120926
10155700,0,0,62.31509990546351
10155850,0,0,62.042675977415
10156000,0,0,62.042675977415
10156150,0,0,62.02847161458453
10156300,0,0,62.14024424967147
10156450,0,0,62.14024424967147
10156600,0,0,62.16694480405954
10156750,0,0,62.16694480405954
10156900,0,0,62.188054421489824
10157050,0,0,62.28944171370699
10157200,0,0,62.01075685649789
10157350,0,0,61.764032072255304
10157500,0,0,61.58734011571596
10157650,0,0,61.42163969089984
10157800,0,0,61.21761268926912
10157950,0,0,61.31030231552745
10158100,0,0,61.31030231552745
10158250,0,0,61.3363243323372
10158400,0,0,61.346912408688695
10158550,0,0,61.346912408688695
10158700,0,0,61.533011783798656
10158850,0,0,61.533011783798656
10159000,0,0,61.533011783798656
10159150,0,0,61.54441705488557
10159300,0,0,61.53156592062419
10159450,0,0,61.47941169345199
10159600,0,0,61.47941169345199
10159750,0,0,61.47941169345199
10159900,0,0,61.47941169345199
10160050,0,0,61.47941169345199
10160200,0,0,61.42476320814512
10160350,0,0,61.42476320814512
10160500,0,0,61.483902133839365
10160650,0,0,61.28108664309093
10160800,0,0,61.28108664309093
10160950,0,0,61.28108664309093
10161100,0,0,61.252829736154126
10161250,0,0,61.290113262903105
10161400,0,0,61.33417965006652
10161550,0,0,61.387667644870135
10161700,0,0,61.410825539606776
10161850,0,0,61.20708022653071
10162000,0,0,61.173221474747834
10162150,0,0,61.14351082209396
10162300,0,0,61.09857279572361
10162450,0,0,61.08221559327512
10162600,0,0,60.96262917338777
10162750,0,0,61.048799076960904
10162900,0,0,61.048799076960904
10163050,0,0,61.048799076960904
10163200,0,0,61.003329664541525
10163350,0,0,61.108545349119595
10163500,0,0,61.09903939532046
10163650,0,0,61.09903939532046
10163800,0,0,61.36478968611573
10163950,0,0,61.36478968611573
10164100,0,0,61.36069195193909
10164250,0,0,61.34420532443323
10164400,0,0,59.96405442731589
10164550,0,0,59.985293369729334
