blocknumber,volume USDT for 5% slippage
10030150,0
10030300,0
10030450,0
10030600,0
10030750,0
10030900,0
10031050,0
10031200,0
10031350,0
10031500,0
10031650,0
10031800,0
10031950,0
10032100,0
10032250,0
10032400,0
10032550,0
10032700,0
10032850,0
10033000,0
10033150,0
10033300,0
10033450,0
10033600,0
10033750,0
10033900,0
10034050,0
10034200,0
10034350,0
10034500,0
10034650,0
10034800,0
10034950,0
10035100,0
10035250,0
10035400,0
10035550,0
10035700,0
10035850,0
10036000,0
10036150,0
10036300,0
10036450,0
10036600,0
10036750,0
10036900,0
10037050,0
10037200,0
10037350,0
10037500,0
10037650,0
10037800,0
10037950,0
10038100,0
10038250,0
10038400,0
10038550,0
10038700,0
10038850,0
10039000,0
10039150,0
10039300,0
10039450,0
10039600,0
10039750,0
10039900,0
10040050,0
10040200,0
10040350,0
10040500,0
10040650,0
10040800,0
10040950,0
10041100,0
10041250,0
10041400,0
10041550,0
10041700,0
10041850,0
10042000,0
10042150,0
10042300,0
10042450,0
10042600,0
10042750,0
10042900,0
10043050,0
10043200,0
10043350,0
10043500,0
10043650,0
10043800,0
10043950,0
10044100,0
10044250,0
10044400,0
10044550,0
10044700,0
10044850,0
10045000,0
10045150,0
10045300,0
10045450,0
10045600,0
10045750,0
10045900,0
10046050,0
10046200,0
10046350,0
10046500,0
10046650,0
10046800,0
10046950,0
10047100,0
10047250,0
10047400,0
10047550,0
10047700,0
10047850,0
10048000,0
10048150,0
10048300,0
10048450,0
10048600,0
10048750,0
10048900,0
10049050,0
10049200,0
10049350,0
10049500,0
10049650,0
10049800,0
10049950,0
10050100,0
10050250,0
10050400,0
10050550,0
10050700,0
10050850,0
10051000,0
10051150,0
10051300,0
10051450,0
10051600,0
10051750,0
10051900,0
10052050,0
10052200,0
10052350,0
10052500,0
10052650,0
10052800,0
10052950,0
10053100,0
10053250,0
10053400,0
10053550,0
10053700,0
10053850,0
10054000,0
10054150,0
10054300,0
10054450,0
10054600,0
10054750,0
10054900,0
10055050,0
10055200,0
10055350,0
10055500,0
10055650,0
10055800,0
10055950,0
10056100,0
10056250,0
10056400,0
10056550,0
10056700,0
10056850,0
10057000,0
10057150,0
10057300,0
10057450,0
10057600,0
10057750,0
10057900,0
10058050,0
10058200,0
10058350,0
10058500,0
10058650,0
10058800,0
10058950,0
10059100,0
10059250,0
10059400,0
10059550,0
10059700,0
10059850,0
10060000,0
10060150,0
10060300,0
10060450,0
10060600,0
10060750,0
10060900,0
10061050,0
10061200,0
10061350,0
10061500,0
10061650,0
10061800,0
10061950,0
10062100,0
10062250,0
10062400,0
10062550,0
10062700,0
10062850,0
10063000,0
10063150,0
10063300,0
10063450,0
10063600,0
10063750,0
10063900,0
10064050,0
10064200,0
10064350,0
10064500,0
10064650,0
10064800,0
10064950,0
10065100,0
10065250,0
10065400,0
10065550,0
10065700,0
10065850,0
10066000,0
10066150,0
10066300,0
10066450,0
10066600,0
10066750,0
10066900,0
10067050,0
10067200,0
10067350,0
10067500,0
10067650,0
10067800,0
10067950,0
10068100,0
10068250,0
10068400,0
10068550,0
10068700,0
10068850,0
10069000,0
10069150,0
10069300,0
10069450,0
10069600,0
10069750,0
10069900,0
10070050,0
10070200,0
10070350,0
10070500,0
10070650,0
10070800,0
10070950,0
10071100,0
10071250,0
10071400,0
10071550,0
10071700,0
10071850,0
10072000,0
10072150,0
10072300,0
10072450,0
10072600,0
10072750,0
10072900,0
10073050,0
10073200,0
10073350,0
10073500,0
10073650,0
10073800,0
10073950,0
10074100,0
10074250,0
10074400,0
10074550,0
10074700,0
10074850,0
10075000,0
10075150,0
10075300,0
10075450,0
10075600,0
10075750,0
10075900,0
10076050,0
10076200,0
10076350,0
10076500,0
10076650,0
10076800,0
10076950,0
10077100,0
10077250,0
10077400,0
10077550,0
10077700,0
10077850,0
10078000,0
10078150,0
10078300,0
10078450,0
10078600,0
10078750,0
10078900,0
10079050,0
10079200,0
10079350,0
10079500,0
10079650,0
10079800,0
10079950,0
10080100,0
10080250,0
10080400,0
10080550,0
10080700,0
10080850,0
10081000,0
10081150,0
10081300,0
10081450,0
10081600,0
10081750,0
10081900,0
10082050,0
10082200,0
10082350,0
10082500,0
10082650,0
10082800,0
10082950,0
10083100,0
10083250,0
10083400,0
10083550,0
10083700,0
10083850,0
10084000,0
10084150,0
10084300,0
10084450,0
10084600,0
10084750,0
10084900,0
10085050,0
10085200,0
10085350,0
10085500,0
10085650,0
10085800,0
10085950,0
10086100,0
10086250,0
10086400,0
10086550,0
10086700,0
10086850,0
10087000,0
10087150,0
10087300,0
10087450,0
10087600,0
10087750,0
10087900,0
10088050,0
10088200,0
10088350,0
10088500,0
10088650,0
10088800,0
10088950,0
10089100,0
10089250,0
10089400,0
10089550,0
10089700,0
10089850,0
10090000,0
10090150,0
10090300,0
10090450,0
10090600,0
10090750,0
10090900,0
10091050,0
10091200,0
10091350,0
10091500,0
10091650,0
10091800,0
10091950,0
10092100,0
10092250,0
10092400,884.21052631579
10092550,884.21052631579
10092700,884.21052631579
10092850,884.21052631579
10093000,884.21052631579
10093150,884.0998154736844
10093300,884.152447052631
10093450,884.1869172105252
10093600,884.1869172105252
10093750,884.1869172105252
10093900,884.1869172105252
10094050,884.0760079473692
10094200,884.0760079473692
10094350,884.0760079473692
10094500,884.0760079473692
10094650,885.2339026842127
10094800,885.2339026842127
10094950,885.2339026842127
10095100,885.2339026842127
10095250,885.2339026842127
10095400,885.2339026842127
10095550,885.2327596842127
10095700,885.2327596842127
10095850,885.2327596842127
10096000,885.2327596842127
10096150,887.8643386315812
10096300,887.7243881052632
10096450,887.7243881052632
10096600,887.7243881052632
10096750,887.7243881052632
10096900,887.7243881052632
10097050,887.7243881052632
10097200,887.7243881052632
10097350,887.7243881052632
10097500,887.7243881052632
10097650,887.7243881052632
10097800,887.7243881052632
10097950,887.7243881052632
10098100,887.7243881052632
10098250,923.194936631579
10098400,923.194936631579
10098550,930.6178112631575
10098700,927.5182935789459
10098850,927.5498725263143
10099000,927.5498725263143
10099150,927.5498725263143
10099300,927.5498725263143
10099450,927.5498725263143
10099600,927.5498725263143
10099750,927.5498725263143
10099900,927.5498725263143
10100050,927.5498725263143
10100200,927.5498725263143
10100350,927.5498725263143
10100500,927.5498725263143
10100650,927.5498725263143
10100800,927.5498725263143
10100950,927.5498725263143
10101100,927.5498725263143
10101250,927.5498725263143
10101400,927.5498725263143
10101550,927.5498725263143
10101700,925.0350275263164
10101850,922.1125831052642
10102000,922.1125831052642
10102150,922.1125831052642
10102300,922.1125831052642
10102450,922.1125831052642
10102600,922.1125831052642
10102750,922.1125831052642
10102900,922.1125831052642
10103050,949.2178462631584
10103200,1005.4660363157896
10103350,1005.4660363157896
10103500,1005.4660363157896
10103650,1005.4660363157896
10103800,1005.4660363157896
10103950,1005.4660363157896
10104100,1005.4660363157896
10104250,1005.4660363157896
10104400,1005.4660363157896
10104550,1005.4660363157896
10104700,1005.4660363157896
10104850,1005.4660363157896
10105000,1005.4660363157896
10105150,1005.4660363157896
10105300,1005.4660363157896
10105450,1005.4660363157896
10105600,1002.7008374736849
10105750,1002.7008374736849
10105900,1004.9237844210527
10106050,1004.9237844210527
10106200,1004.9237844210527
10106350,1005.2338778947358
10106500,1004.6767845263146
10106650,1004.6767845263146
10106800,1004.6767845263146
10106950,1104.8673857368428
10107100,1104.7569046842111
10107250,1104.7569046842111
10107400,1104.7569046842111
10107550,1104.7569046842111
10107700,1114.1491445789472
10107850,1112.3750344736816
10108000,1108.3396054736857
10108150,1108.3396054736857
10108300,1113.7815680526344
10108450,1113.7815680526344
10108600,1113.7815680526344
10108750,1117.9025964736845
10108900,1117.9025964736845
10109050,1117.9025964736845
10109200,1117.9025964736845
10109350,1117.9025964736845
10109500,1117.9025964736845
10109650,1117.9025964736845
10109800,1116.7854822631582
10109950,1110.3482853684222
10110100,1109.3045933684193
10110250,1131.8215579473658
10110400,1113.397319421049
10110550,1113.397319421049
10110700,1113.397319421049
10110850,1112.3762561578956
10111000,1112.3762561578956
10111150,1112.3762561578956
10111300,1111.7696915789481
10111450,1111.7696915789481
10111600,1108.0593135263148
10111750,1107.6524990526304
10111900,1109.0735446842082
10112050,1109.0735446842082
10112200,1110.127766578945
10112350,1110.127766578945
10112500,1110.127766578945
10112650,1110.127766578945
10112800,1110.127766578945
10112950,1114.3382928947387
10113100,1114.3382928947387
10113250,1114.3382928947387
10113400,1114.3382928947387
10113550,1122.4554402631613
10113700,1116.412782684208
10113850,1115.735710315787
10114000,1168.2942092631552
10114150,1168.2942092631552
10114300,1162.7083802631591
10114450,1191.7988197368381
10114600,1191.7988197368381
10114750,1191.4830302631585
10114900,1196.7985499999982
10115050,1198.118359315788
10115200,1209.2116288947368
10115350,1209.2116288947368
10115500,1194.1218578947378
10115650,1194.1218578947378
10115800,1194.1218578947378
10115950,1194.1218578947378
10116100,1194.1218578947378
10116250,1201.757045894738
10116400,1201.2136391052632
10116550,1191.6071184736847
10116700,1202.414156263159
10116850,1195.939913421054
10117000,1195.939913421054
10117150,1193.988326789476
10117300,1191.4839057368404
10117450,1189.2568684736862
10117600,1194.5744583157862
10117750,1202.5972314736823
10117900,1214.7688104210529
10118050,1214.7688104210529
10118200,1213.0900595789458
10118350,1213.0900595789458
10118500,1213.0900595789458
10118650,1218.3532174736824
10118800,1212.1958511578955
10118950,1212.1958511578955
10119100,1212.333457421053
10119250,1212.333457421053
10119400,1205.749620894734
10119550,1205.749620894734
10119700,1205.749620894734
10119850,1215.5669769999986
10120000,1220.3802740000028
10120150,1242.1708930526347
10120300,1242.1708930526347
10120450,1242.3814193684238
10120600,2016.936589684216
10120750,2024.8313265263155
10120900,2024.8775002631573
10121050,2024.9336256315764
10121200,2021.4355842105251
10121350,2009.9092684210518
10121500,2009.9092684210518
10121650,2009.9092684210518
10121800,2015.172426315792
10121950,2002.533729894738
10122100,2006.7654082105291
10122250,2011.3222810526277
10122400,2014.198909263163
10122550,2012.9012250526293
10122700,2004.6410846842055
10122850,2008.991084684209
10123000,2002.3504282631607
10123150,2013.03889963158
10123300,2002.6748181052594
10123450,2004.204342052632
10123600,2012.043740526315
10123750,2014.0963721052617
10123900,2015.1518929473682
10124050,2016.9939982105284
10124200,2016.9939982105284
10124350,2016.3652035789464
10124500,2016.3652035789464
10124650,2015.8231114210548
10124800,2015.8231114210548
10124950,2015.8231114210548
10125100,2015.8231114210548
10125250,2031.1665291052623
10125400,2025.4534834736833
10125550,2025.9369494210518
10125700,2020.7576776315732
10125850,2020.7576776315732
10126000,2020.7576776315732
10126150,2020.7576776315732
10126300,2020.7576776315732
10126450,2019.6676801578883
10126600,2019.6676801578883
10126750,2019.6676801578883
10126900,2019.6676801578883
10127050,2024.9198707368428
10127200,2024.9198707368428
10127350,2022.6983271578952
10127500,2016.357983999997
10127650,2036.833894894737
10127800,2036.833894894737
10127950,2036.833894894737
10128100,2038.756606894738
10128250,2017.5682063684203
10128400,2043.194909894743
10128550,2053.492708210527
10128700,2051.141141210523
10128850,2045.6274350000008
10129000,2023.0820838947388
10129150,2023.0820838947388
10129300,2023.0820838947388
10129450,2025.6647030526278
10129600,2025.6647030526278
10129750,2025.559387263154
10129900,2025.5594398947392
10130050,2033.358264578946
10130200,2040.677567526317
10130350,2034.4323738947323
10130500,2034.4323738947323
10130650,2033.032292631583
10130800,2033.032292631583
10130950,2033.0396610000014
10131100,2033.0396610000014
10131250,2019.2851052105314
10131400,2049.8764591578984
10131550,2060.1943616315803
10131700,2060.1943616315803
10131850,2060.6866791578905
10132000,2071.7393107368443
10132150,2073.107731789475
10132300,2051.9713393684224
10132450,2050.9195875789487
10132600,2050.9195875789487
10132750,2050.9195875789487
10132900,2049.837161842107
10133050,2049.837161842107
10133200,2049.837161842107
10133350,2049.8371618421093
10133500,2049.8371618421093
10133650,2049.8371618421093
10133800,2049.8897934210563
10133950,1276.7297282105264
10134100,1276.7297282105264
10134250,1276.5835189473637
10134400,1276.5835189473637
10134550,1276.8631739473644
10134700,1275.81071768421
10134850,1290.3783655789452
10135000,1290.3783655789452
10135150,1269.1490439473669
10135300,1271.6616755789469
10135450,1266.5328915789464
10135600,1274.4276284210532
10135750,1274.4276284210532
10135900,1274.0034500526326
10136050,1275.1613447894724
10136200,1269.9200807894758
10136350,1273.6557430000012
10136500,1283.8832867368405
10136650,1283.1701890000008
10136800,1301.9916680000028
10136950,1281.0808597894725
10137100,1274.3357774210535
10137250,1273.747140631579
10137400,2574.053660473689
10137550,2579.7284803157936
10137700,2571.0894485263175
10137850,2611.628647473682
10138000,2611.628647473682
10138150,2611.992059315787
10138300,2613.330886736835
10138450,2601.993606000004
10138600,2601.7638344736847
10138750,2594.4201103157907
10138900,2580.2108628421124
10139050,2605.7321079473654
10139200,2600.3536255789472
10139350,2533.4995622105303
10139500,2552.8057903684194
10139650,2552.0478582105293
10139800,2572.1926235789447
10139950,2566.0583844736843
10140100,2599.006319789472
10140250,2588.833935473683
10140400,2590.276083263155
10140550,2606.1094154210527
10140700,2611.8813885789523
10140850,2603.7172446842114
10141000,2603.7172446842114
10141150,2611.535735894732
10141300,2608.8762866315838
10141450,2614.436341894735
10141600,2614.436341894735
10141750,2605.6039932631556
10141900,2594.700205999997
10142050,2604.189293
10142200,2601.2074448421026
10142350,2590.377767052638
10142500,2604.0652567894695
10142650,2612.6434863684162
10142800,2618.9906519999977
10142950,2620.1597238421064
10143100,2620.1597238421064
10143250,2614.1435835263155
10143400,2624.5151624736873
10143550,2603.1558712631568
10143700,2604.2671248421034
10143850,2616.1068730526317
10144000,2623.139528473684
10144150,2598.584895684207
10144300,2595.734481263155
10144450,3240.1807977894773
10144600,3236.678589210524
10144750,3241.9925495789416
10144900,3246.826578736835
10145050,3243.35330236842
10145200,3243.35330236842
10145350,3261.16406136842
10145500,3267.063061052634
10145650,3274.46498442105
10145800,3282.6422617894677
10145950,3280.5331704210594
10146100,3265.0094394736852
10146250,3263.7506425789443
10146400,3263.7506425789443
10146550,3271.4310997894763
10146700,3271.4310997894763
10146850,3273.420542421055
10147000,3262.3626206842046
10147150,3265.037463789474
10147300,3265.037463789474
10147450,3271.58030878947
10147600,3271.58030878947
10147750,3271.58030878947
10147900,3266.008959736845
10148050,3266.008959736845
10148200,3266.008959736845
10148350,3262.453855999999
10148500,3261.8076089473607
10148650,3224.4391878947345
10148800,3255.8131294210525
10148950,3277.44141073684
10149100,3277.44141073684
10149250,4521.446519105271
10149400,4521.000541105253
10149550,4521.000541105253
10149700,4521.000541105253
10149850,4501.225053789483
10150000,4500.173167263167
10150150,4503.491509736845
10150300,4501.674499736831
10150450,4495.279320368407
10150600,4495.279320368407
10150750,4510.936421315776
10150900,4523.616999526315
10151050,4528.015437842107
10151200,4528.373332578949
10151350,4528.008393052643
10151500,4526.859003736854
10151650,4635.848156157894
10151800,4635.848156157894
10151950,4651.701813736827
10152100,4651.701813736827
10152250,4651.701813736827
10152400,4651.701813736827
10152550,4653.007404684218
10152700,4686.696718526318
10152850,4699.854613263158
10153000,4692.183255105263
10153150,4692.183255105263
10153300,4687.7799836842005
10153450,4687.7799836842005
10153600,4687.7799836842005
10153750,4687.7799836842005
10153900,4687.7799836842005
10154050,4637.869299368422
10154200,4634.6638644736795
10154350,4632.017520578955
10154500,4654.906338947378
10154650,4661.290174894742
10154800,4661.290174894742
10154950,4674.184911736853
10155100,4671.705660263162
10155250,4671.705660263162
10155400,4674.337239210531
10155550,4660.078203105274
10155700,4660.078203105274
10155850,4667.327597421049
10156000,4664.123665210523
10156150,4690.3847178421065
10156300,4662.753138894747
10156450,4639.966379631573
10156600,4630.878401736831
10156750,4633.690020052643
10156900,4655.426862157881
10157050,4655.426862157881
10157200,4699.5340239473735
10157350,4679.547164368412
10157500,4667.691124315794
10157650,4679.1384906842
10157800,4696.097567315782
10157950,4719.665278315792
10158100,4666.953263263161
10158250,4666.913876052635
10158400,4667.278815526306
10158550,4667.278815526306
10158700,4653.032855263164
10158850,4653.032855263164
10159000,4730.342240421058
10159150,4739.328073526311
10159300,4816.0664507368365
10159450,4840.82689231579
10159600,4839.046772578951
10159750,4812.288971736842
10159900,4829.696900631576
10160050,4832.328479578944
10160200,4830.005716842102
10160350,4827.268874736835
10160500,4827.268874736835
10160650,4819.432403000011
10160800,4820.74819247369
10160950,4820.861684
10161100,4817.960436842096
10161250,4816.558881052636
10161400,4819.213244736847
10161550,4817.063666526323
10161700,4816.379456000007
10161850,4819.832660789468
10162000,4846.148450263147
10162150,4846.032024789468
10162300,4846.032024789468
10162450,4832.908838684217
10162600,4832.908838684217
10162750,4836.17199657895
10162900,4836.17199657895
10163050,4830.466919263167
10163200,4814.736127894733
10163350,4805.521758684202
10163500,4812.641482315775
10163650,4812.442967421038
10163800,4809.328797526315
10163950,4821.230083157897
10164100,4821.230083157897
10164250,4821.31442394737
10164400,4830.44404021054
10164550,4830.44404021054
10164700,4824.177642578944
10164850,4824.177642578944
10165000,4827.140925000001
10165150,4832.244678157895
10165300,4832.244678157895
10165450,4832.244678157895
10165600,4822.808896684208
10165750,4821.08308742107
10165900,4813.602715578964
10166050,4813.602715578964
10166200,4820.623328052622
10166350,4822.349932263164
10166500,4797.456655368408
10166650,4783.783540105268
10166800,4820.759855894732
10166950,4814.20443652631
10167100,4826.663932578955
10167250,4825.926692263161
10167400,4824.260297736831
10167550,4824.260297736831
10167700,4824.260297736831
10167850,4834.430371157901
10168000,4834.430371157901
10168150,4835.48318815789
10168300,4799.317778368417
10168450,4799.791462578944
10168600,4799.8015050526365
10168750,4798.341082368424
10168900,4771.0834764210595
10169050,4775.339930684204
10169200,4780.114502999999
10169350,4794.955499210524
10169500,4798.113393947378
10169650,4811.797604473678
10169800,4802.916451315792
10169950,4806.479550421052
10170100,4804.496268315797
10170250,4820.784329473685
10170400,4821.2935680526325
10170550,4706.597613263152
10170700,4708.469002894732
10170850,4675.792770473695
10171000,4688.591632315799
10171150,4685.170579684212
10171300,4714.844901000001
10171450,4733.6310207894685
10171600,4733.6310207894685
10171750,4732.873725421055
10171900,4739.368872947367
10172050,4733.652957263157
10172200,4707.624730368422
10172350,4706.382294263151
10172500,4714.203000052642
10172650,4705.535037052642
10172800,4688.066665473684
10172950,4691.569798631593
10173100,4691.569798631593
10173250,4724.037925105273
10173400,4707.477061999998
10173550,4698.809606526316
10173700,4686.321604315781
10173850,4717.328215842113
10174000,4711.684004947361
10174150,4713.294309684214
10174300,4748.644474894743
10174450,4740.106479421058
10174600,4740.106479421058
10174750,4740.369637315791
10174900,4750.217105421048
10175050,4744.027555578955
10175200,4739.489086263151
10175350,4737.910075105268
10175500,4749.0153382631615
10175650,4741.120601421069
10175800,4751.646917210521
10175950,4769.7745949999935
10176100,4765.464955999994
10176250,4765.464955999994
10176400,4821.539313105268
10176550,4861.391580684211
10176700,4797.2008214210655
10176850,4797.2008214210655
10177000,4814.754060789477
10177150,4814.754060789477
10177300,4814.754060789477
10177450,4815.280950315792
10177600,4796.6509656842
10177750,4786.174144578957
10177900,4822.322629157895
10178050,4822.09693931579
10178200,4822.09693931579
10178350,4822.09693931579
10178500,4825.254728789472
10178650,4827.113653894745
10178800,4827.113653894745
10178950,4831.061022315784
10179100,4812.351993315779
10179250,4816.048392052627
10179400,4811.085625315779
10179550,4811.919358842099
10179700,4808.245891473688
10179850,4808.601986000012
10180000,4816.56412657896
10180150,4818.15705521054
10180300,4805.387246947372
10180450,4805.387246947372
10180600,4809.554151157889
10180750,4808.052785578951
10180900,4808.05335484211
10181050,4798.877803368408
10181200,4830.720054263153
10181350,4845.322175105259
10181500,4830.965610473693
10181650,4866.051539157894
10181800,4859.492482684216
10181950,4879.974375578946
10182100,4847.687355684211
10182250,4863.107534578945
10182400,4878.99396321052
10182550,4879.420183421062
10182700,4939.917060789472
10182850,4939.917060789472
10183000,4939.917060789472
10183150,4929.275946842108
10183300,4928.38459421052
10183450,4963.047642631582
10183600,4961.4404190000005
10183750,4960.831502000001
10183900,4944.233299842112
10184050,4943.969762052637
10184200,4891.208262052629
10184350,4939.397520052642
10184500,4903.118336578944
10184650,4911.627053736851
10184800,4910.363895842114
10184950,4928.794506421058
10185100,4956.077584578952
10185250,4955.680610631578
10185400,4955.769257526306
10185550,4936.11848163158
10185700,4936.11848163158
10185850,4936.11848163158
10186000,4935.1385765789455
10186150,4979.099373210527
10186300,4959.060816736849
10186450,5474.145033052639
10186600,5489.560822526308
10186750,5506.139769894742
10186900,5475.568824894732
10187050,5447.930116789463
10187200,5416.035503210533
10187350,5420.380063736848
10187500,5428.678953105256
10187650,5429.994742578965
10187800,5434.980523789491
10187950,5434.980523789491
10188100,5434.980523789491
10188250,5430.420880789468
10188400,5436.013517421046
10188550,5436.013517421046
10188700,5435.284213263154
10188850,5435.284213263154
10189000,5446.342749105266
10189150,5453.172064894732
10189300,5411.281459526306
10189450,5408.138932473676
10189600,5422.85750678948
10189750,5442.682117210524
10189900,5423.904033368422
10190050,5420.203884052636
10190200,5423.09862089475
10190350,5423.09862089475
10190500,5423.09862089475
10190650,5427.045989315781
10190800,5427.045989315781
10190950,5427.473726157884
10191100,5451.165708052628
10191250,5463.892499157891
10191400,5478.202855894747
10191550,5492.322232789474
10191700,5492.322232789474
10191850,5480.821802631571
10192000,5480.821802631571
10192150,5480.769171052626
10192300,5478.137592105267
10192450,5481.4745640526335
10192600,5479.784993368429
10192750,5444.154637789466
10192900,5446.732511631571
10193050,5460.720041368412
10193200,5463.4153045263165
10193350,5445.576902789478
10193500,5461.460891526315
10193650,5425.998261157895
10193800,5435.951142684205
10193950,5435.951142684205
10194100,5434.620977947364
10194250,5437.387489421052
10194400,5447.913805210533
10194550,5441.455722368414
10194700,5488.167717421047
10194850,5486.683185631578
10195000,5482.839847105259
10195150,5484.479514947365
10195300,6306.425177684214
10195450,6311.688335578947
10195600,6316.8888618947385
10195750,6316.8888618947385
10195900,6317.410656736834
10196050,6312.147498842116
10196200,7630.070911631576
10196350,7630.070911631576
10196500,7622.422866684197
10196650,7618.11233331579
10196800,7622.310754368424
10196950,7591.784438578958
10197100,7590.417241684236
10197250,7591.47355842103
10197400,7593.0525057894865
10197550,7590.136549631594
10197700,7590.136549631594
10197850,7593.576536473696
10198000,7593.576536473696
10198150,7593.470737894749
10198300,7594.786413157867
10198450,7594.786413157867
10198600,7595.099506631609
10198750,7595.099506631609
10198900,7649.931804210529
10199050,7683.298173473685
10199200,7675.024790684188
10199350,7690.511403210529
10199500,7670.676664947366
10199650,7660.820812947372
10199800,7681.500456421057
10199950,7694.527045947371
10200100,7705.205137315806
10200250,7663.956122263146
10200400,7663.264529999989
10200550,7655.657076789475
10200700,7655.657076789475
10200850,7673.746098473713
10201000,7696.123228894735
10201150,7711.46056089473
10201300,7699.967025578938
10201450,7699.8685901052495
10201600,7699.19752463157
10201750,7697.461587736853
10201900,7697.461587736853
10202050,7702.724745631572
10202200,7684.3623687894915
10202350,7686.99394773686
10202500,7688.889357999999
10202650,7712.843460421033
10202800,7712.790825947349
10202950,7667.647281736829
10203100,7675.514818263157
10203250,7669.177596000013
10203400,7670.756543368435
10203550,7670.756543368435
10203700,7670.628237052645
10203850,7679.026052842105
10204000,7681.4803585263135
10204150,7700.792508157899
10204300,7694.396923789461
10204450,7739.671059947365
10204600,7793.626296736845
10204750,7793.626296736845
10204900,7793.984191473696
10205050,7791.7289333684375
10205200,7791.7289333684375
10205350,7790.057319631597
10205500,7791.272669263163
10205650,7791.143648684213
10205800,7791.143648684213
10205950,7785.024752052647
10206100,7779.829289789491
10206250,7779.829289789491
10206400,7780.055547631554
10206550,7780.055547631554
10206700,7784.893932421056
10206850,7747.824236894737
10207000,7763.126317736857
10207150,7772.302302473684
10207300,7777.07899373684
10207450,7765.667961736831
10207600,7765.667961736831
10207750,7762.980583947364
10207900,7761.668538105273
10208050,7772.081631157874
10208200,7772.081631157874
10208350,7785.493516947376
10208500,7796.248634578968
10208650,7796.248634578968
10208800,7782.375537052622
10208950,7787.1969681579
10209100,7776.704450684213
10209250,7823.108227368436
10209400,7818.270598526308
10209550,7807.7750932631625
10209700,7807.7750932631625
10209850,7809.56848152631
10210000,7837.347045368415
10210150,7833.834298842108
10210300,7816.773509052628
10210450,7884.153122263173
10210600,7878.740153684201
10210750,7906.270553315793
10210900,7909.486201526313
10211050,7883.546817526316
10211200,7883.993133315795
10211350,7909.00643710529
10211500,7909.264528368432
10211650,7929.254572526315
10211800,7945.944576368422
10211950,7945.944576368422
10212100,7932.582122052658
10212250,7910.130096526316
10212400,7910.130096526316
10212550,7907.015919315789
10212700,7853.930836210537
10212850,7917.108518421077
10213000,7889.108518421077
10213150,7888.411777578969
10213300,7911.375842842075
10213450,7911.375842842075
10213600,7887.691632315755
10213750,7870.214909052625
10213900,7885.719735578958
10214050,7903.351314526317
10214200,7914.770857105268
10214350,7902.211068263165
10214500,7902.232568368438
10214650,7902.477899947364
10214800,7898.303101526308
10214950,7902.067682157922
10215100,7902.593997947397
10215250,7911.015050578941
10215400,7885.054912368409
10215550,7946.910922105266
10215700,7942.141007315804
10215850,7941.561331894753
10216000,7941.561331894753
10216150,7943.035016105281
10216300,7953.581272789455
10216450,7928.203689578962
10216600,7928.075531894751
10216750,7929.654479263149
10216900,7930.372312684202
10217050,7931.675253736833
10217200,7930.330890894743
10217350,7905.004048789465
10217500,7948.497903263172
