blocknumber,reserve USDC,reserve DAI,volume USDC for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,1.05263157894737
10061050,0,0,1.05263157894737
10061200,0,0,1.05263157894737
10061350,0,0,1.05263157894737
10061500,0,0,1.05263157894737
10061650,0,0,1.05263157894737
10061800,0,0,1.05263157894737
10061950,0,0,1.05263157894737
10062100,0,0,1.05263157894737
10062250,0,0,1.05263157894737
10062400,0,0,1.05263157894737
10062550,0,0,1.05263157894737
10062700,0,0,1.05263157894737
10062850,0,0,1.05263157894737
10063000,0,0,1.05263157894737
10063150,0,0,1.05263157894737
10063300,0,0,1.05263157894737
10063450,0,0,1.05263157894737
10063600,0,0,1.05263157894737
10063750,0,0,1.05263157894737
10063900,0,0,1.05263157894737
10064050,0,0,1.05263157894737
10064200,0,0,1.05263157894737
10064350,0,0,1.05263157894737
10064500,0,0,1.05263157894737
10064650,0,0,1.05263157894737
10064800,0,0,1.05263157894737
10064950,0,0,1.05263157894737
10065100,0,0,1.05263157894737
10065250,0,0,1.05263157894737
10065400,0,0,1.05263157894737
10065550,0,0,1.05263157894737
10065700,0,0,1.05263157894737
10065850,0,0,1.05263157894737
10066000,0,0,1.05263157894737
10066150,0,0,1.05263157894737
10066300,0,0,1.05263157894737
10066450,0,0,1.05263157894737
10066600,0,0,1.05263157894737
10066750,0,0,1.05263157894737
10066900,0,0,1.05263157894737
10067050,0,0,1.05263157894737
10067200,0,0,1.05263157894737
10067350,0,0,1.05263157894737
10067500,0,0,1.05263157894737
10067650,0,0,1.05263157894737
10067800,0,0,1.05263157894737
10067950,0,0,1.05263157894737
10068100,0,0,1.0525789473684206
10068250,0,0,1.0525789473684206
10068400,0,0,1.0525789473684206
10068550,0,0,1.0525789473684206
10068700,0,0,1.0525789473684206
10068850,0,0,1.0525789473684206
10069000,0,0,1.0525789473684206
10069150,0,0,1.0525789473684206
10069300,0,0,1.0525789473684206
10069450,0,0,1.0525789473684206
10069600,0,0,1.0525789473684206
10069750,0,0,1.0525789473684206
10069900,0,0,1.0525789473684206
10070050,0,0,1.0525789473684206
10070200,0,0,1.0525789473684206
10070350,0,0,1.0525789473684206
10070500,0,0,1.0525789473684206
10070650,0,0,1.0525789473684206
10070800,0,0,1.0525789473684206
10070950,0,0,1.0525789473684206
10071100,0,0,1.0525789473684206
10071250,0,0,1.0525789473684206
10071400,0,0,1.0525789473684206
10071550,0,0,1.0525789473684206
10071700,0,0,1.0525789473684206
10071850,0,0,1.0525789473684206
10072000,0,0,1.0525789473684206
10072150,0,0,1.0525789473684206
10072300,0,0,1.0525789473684206
10072450,0,0,1.0525789473684206
10072600,0,0,1.0525789473684206
10072750,0,0,1.0525789473684206
10072900,0,0,1.0525789473684206
10073050,0,0,1.0525789473684206
10073200,0,0,1.0525789473684206
10073350,0,0,1.0525789473684206
10073500,0,0,1.0525789473684206
10073650,0,0,1.0525789473684206
10073800,0,0,1.0525789473684206
10073950,0,0,1.0525789473684206
10074100,0,0,1.0525789473684206
10074250,0,0,1.0525789473684206
10074400,0,0,1.0525789473684206
10074550,0,0,1.0525789473684206
10074700,0,0,1.0525789473684206
10074850,0,0,1.0525789473684206
10075000,0,0,1.0525789473684206
10075150,0,0,1.0525789473684206
10075300,0,0,1.0525789473684206
10075450,0,0,1.0525789473684206
10075600,0,0,1.0525789473684206
10075750,0,0,1.0525789473684206
10075900,0,0,1.0525789473684206
10076050,0,0,1.0525789473684206
10076200,0,0,1.0525789473684206
10076350,0,0,1.0525789473684206
10076500,0,0,1.0525789473684206
10076650,0,0,1.0525789473684206
10076800,0,0,1.0525789473684206
10076950,0,0,1.0525789473684206
10077100,0,0,1.0525789473684206
10077250,0,0,1.0525789473684206
10077400,0,0,1.0525789473684206
10077550,0,0,1.0525789473684206
10077700,0,0,1.0525789473684206
10077850,0,0,1.0525789473684206
10078000,0,0,1.0525789473684206
10078150,0,0,1.0525789473684206
10078300,0,0,1.0525789473684206
10078450,0,0,1.0525789473684206
10078600,0,0,1.0525789473684206
10078750,0,0,1.0525789473684206
10078900,0,0,1.0525789473684206
10079050,0,0,1.0525789473684206
10079200,0,0,1.0525789473684206
10079350,0,0,1.0525789473684206
10079500,0,0,1.0525789473684206
10079650,0,0,1.0525789473684206
10079800,0,0,1.0525789473684206
10079950,0,0,1.5788946842105283
10080100,0,0,1.5788946842105283
10080250,0,0,1.5788946842105283
10080400,0,0,1.510473684210524
10080550,0,0,1.510473684210524
10080700,0,0,1.510473684210524
10080850,0,0,1.510473684210524
10081000,0,0,1.510473684210524
10081150,0,0,12.959822684210508
10081300,0,0,12.959822684210508
10081450,0,0,12.959822684210508
10081600,0,0,12.959822684210508
10081750,0,0,12.959822684210508
10081900,0,0,12.959822684210508
10082050,0,0,12.959822684210508
10082200,0,0,12.959822684210508
10082350,0,0,12.959822684210508
10082500,0,0,12.959822684210508
10082650,0,0,12.959822684210508
10082800,0,0,12.959822684210508
10082950,0,0,12.959822684210508
10083100,0,0,12.959822684210508
10083250,0,0,12.959822684210508
10083400,0,0,12.959822684210508
10083550,0,0,12.959822684210508
10083700,0,0,12.959822684210508
10083850,0,0,12.959822684210508
10084000,0,0,12.959822684210508
10084150,0,0,12.959822684210508
10084300,0,0,12.959822684210508
10084450,0,0,12.959822684210508
10084600,0,0,12.959822684210508
10084750,0,0,12.959822684210508
10084900,0,0,12.959822684210508
10085050,0,0,12.959822684210508
10085200,0,0,12.959822684210508
10085350,0,0,12.959822684210508
10085500,0,0,12.959822684210508
10085650,0,0,12.959822684210508
10085800,0,0,12.959822684210508
10085950,0,0,12.959822684210508
10086100,0,0,12.959822684210508
10086250,0,0,12.959822684210508
10086400,0,0,12.959822684210508
10086550,0,0,12.959822684210508
10086700,0,0,12.959822684210508
10086850,0,0,12.959822684210508
10087000,0,0,12.959822684210508
10087150,0,0,12.959822684210508
10087300,0,0,12.959822684210508
10087450,0,0,12.959822684210508
10087600,0,0,12.959822684210508
10087750,0,0,12.959822684210508
10087900,0,0,12.959822684210508
10088050,0,0,12.959822684210508
10088200,0,0,12.959822684210508
10088350,0,0,12.959822684210508
10088500,0,0,12.959822684210508
10088650,0,0,12.959822684210508
10088800,0,0,12.959822684210508
10088950,0,0,12.959822684210508
10089100,0,0,12.959822684210508
10089250,0,0,12.959822684210508
10089400,0,0,12.959822684210508
10089550,0,0,12.959822684210508
10089700,0,0,12.959822684210508
10089850,0,0,12.959822684210508
10090000,0,0,12.959822684210508
10090150,0,0,12.959822684210508
10090300,0,0,12.959822684210508
10090450,0,0,12.959822684210508
10090600,0,0,12.959822684210508
10090750,0,0,12.959822684210508
10090900,0,0,12.959822684210508
10091050,0,0,539.2228989473679
10091200,0,0,539.2228989473679
10091350,0,0,539.2228989473679
10091500,0,0,541.9190761052632
10091650,0,0,539.3466046315771
10091800,0,0,534.7903321578942
10091950,0,0,540.1270498947379
10092100,0,0,547.6829315789473
10092250,0,0,546.3157222105274
10092400,0,0,551.7978949999997
10092550,0,0,717.0827229999995
10092700,0,0,715.8985124736828
10092850,0,0,717.7913471052616
10093000,0,0,717.7913471052616
10093150,0,0,720.9412577368421
10093300,0,0,726.7665939473682
10093450,0,0,988.7630085789497
10093600,0,0,988.51254368421
10093750,0,0,988.51254368421
10093900,0,0,1006.4722716315773
10094050,0,0,1011.2993951578937
10094200,0,0,1011.6678162105236
10094350,0,0,1011.9396724736835
10094500,0,0,1011.9396724736835
10094650,0,0,1011.9396724736835
10094800,0,0,1011.9396724736835
10094950,0,0,1017.121760684211
10095100,0,0,1018.3329265263164
10095250,0,0,1012.9397275263145
10095400,0,0,1012.9397275263145
10095550,0,0,1014.8626498947378
10095700,0,0,1017.378712789472
10095850,0,0,1012.2492789999997
10096000,0,0,1435.9818628947396
10096150,0,0,1436.3669265789504
10096300,0,0,1436.1997109473668
10096450,0,0,1436.1997109473668
10096600,0,0,1441.4628688421035
10096750,0,0,1439.4165706315762
10096900,0,0,1436.820684105267
10097050,0,0,1456.6682757894778
10097200,0,0,1456.556989315788
10097350,0,0,1620.0333458421046
10097500,0,0,1617.3522799999992
10097650,0,0,1616.4201311052602
10097800,0,0,1619.587856473685
10097950,0,0,1622.3275010526304
10098100,0,0,1639.1834975789425
10098250,0,0,1386.9488371052612
10098400,0,0,1386.459166315788
10098550,0,0,1394.0330470526314
10098700,0,0,1537.5334644736831
10098850,0,0,1536.4171098947372
10099000,0,0,2597.7602737368434
10099150,0,0,2597.7602737368434
10099300,0,0,2597.7602737368434
10099450,0,0,2600.114603736838
10099600,0,0,2596.635120052626
10099750,0,0,2599.6533502105303
10099900,0,0,2603.878620894742
10100050,0,0,2598.0941831052623
10100200,0,0,2598.0941831052623
10100350,0,0,2603.353551526321
10100500,0,0,2603.353551526321
10100650,0,0,2655.985130421046
10100800,0,0,2655.985130421046
10100950,0,0,2655.7744232631594
10101100,0,0,2233.6043882631566
10101250,0,0,2232.015319578946
10101400,0,0,2232.015319578946
10101550,0,0,2232.015319578946
10101700,0,0,2221.8683555789394
10101850,0,0,2234.8304774210483
10102000,0,0,2234.3056389473713
10102150,0,0,2231.3212541052635
10102300,0,0,2231.4331426315766
10102450,0,0,2245.564179631576
10102600,0,0,2245.564179631576
10102750,0,0,2245.564179631576
10102900,0,0,2247.776887631582
10103050,0,0,2258.366662473687
10103200,0,0,2256.827349894731
10103350,0,0,2247.2656972631594
10103500,0,0,2246.15584347368
10103650,0,0,2247.589793263156
10103800,0,0,2247.589793263156
10103950,0,0,2248.47155694737
10104100,0,0,2248.5079899473712
10104250,0,0,2253.603116421051
10104400,0,0,2253.603116421051
10104550,0,0,2253.603116421051
10104700,0,0,2242.1831892105256
10104850,0,0,2294.814768105265
10105000,0,0,2293.7029682105276
10105150,0,0,2293.7029682105276
10105300,0,0,2819.827094789478
10105450,0,0,2824.9805886315808
10105600,0,0,2824.3046281578936
10105750,0,0,2822.9763058947356
10105900,0,0,2822.9763058947356
10106050,0,0,2822.9763058947356
10106200,0,0,2822.9763058947356
10106350,0,0,2821.322103052633
10106500,0,0,2836.552854526315
10106650,0,0,2826.001093263156
10106800,0,0,2818.948719894739
10106950,0,0,2820.052464842105
10107100,0,0,2820.8419385263114
10107250,0,0,2821.1030371052693
10107400,0,0,2821.1030371052693
10107550,0,0,2821.1030371052693
10107700,0,0,2874.140265421054
10107850,0,0,2868.8244759473673
10108000,0,0,2861.430137578951
10108150,0,0,2867.5110811052655
10108300,0,0,2862.790876578947
10108450,0,0,2862.8991163684186
10108600,0,0,2864.583851368421
10108750,0,0,2866.487428526314
10108900,0,0,2874.254191684209
10109050,0,0,2874.254191684209
10109200,0,0,2877.5202287894717
10109350,0,0,2877.5202287894717
10109500,0,0,2872.29158289473
10109650,0,0,2872.29158289473
10109800,0,0,2866.959568789476
10109950,0,0,2866.959568789476
10110100,0,0,2866.959568789476
10110250,0,0,2862.2094932105247
10110400,0,0,2858.5237224210578
10110550,0,0,2858.5237224210578
10110700,0,0,2858.5237224210578
10110850,0,0,2858.2501072631567
10111000,0,0,2868.0932292631624
10111150,0,0,2867.9909703684243
10111300,0,0,2867.077852473689
10111450,0,0,2867.077852473689
10111600,0,0,2867.077852473689
10111750,0,0,2867.465959368419
10111900,0,0,2860.2166533157942
10112050,0,0,2860.2166533157942
10112200,0,0,2862.407533894744
10112350,0,0,2862.407533894744
10112500,0,0,2862.407533894744
10112650,0,0,2862.407533894744
10112800,0,0,2874.040831421058
10112950,0,0,2869.8493906842123
10113100,0,0,2872.1848683157878
10113250,0,0,2865.232515842101
10113400,0,0,2867.774784210531
10113550,0,0,2867.774784210531
10113700,0,0,2867.774784210531
10113850,0,0,2868.5080923157875
10114000,0,0,2870.1550306315767
10114150,0,0,2870.2596949473664
10114300,0,0,2870.2596949473664
10114450,0,0,2870.2596949473664
10114600,0,0,2870.2596949473664
10114750,0,0,2870.2596949473664
10114900,0,0,2874.821899210525
10115050,0,0,2874.821899210525
10115200,0,0,2874.821899210525
10115350,0,0,2876.636245526315
10115500,0,0,2876.6051069473688
10115650,0,0,2876.6051069473688
10115800,0,0,2873.794748526314
10115950,0,0,2865.3319537894713
10116100,0,0,2865.3319537894713
10116250,0,0,2865.3319537894713
10116400,0,0,2856.189676421054
10116550,0,0,2865.39164015789
10116700,0,0,2865.39164015789
10116850,0,0,2865.932736894727
10117000,0,0,2865.801157947375
10117150,0,0,2868.405707263162
10117300,0,0,2867.100287578949
10117450,0,0,2867.100287578949
10117600,0,0,2861.816631789472
10117750,0,0,2869.945475421053
10117900,0,0,2869.945475421053
10118050,0,0,2868.6268851578934
10118200,0,0,2866.44105773684
10118350,0,0,2866.44105773684
10118500,0,0,2866.44105773684
10118650,0,0,2866.44105773684
10118800,0,0,2866.158507842105
10118950,0,0,2866.158507842105
10119100,0,0,2866.5295059473647
10119250,0,0,2866.5092225789485
10119400,0,0,2860.8738153684244
10119550,0,0,2861.4553288947354
10119700,0,0,2865.239563894742
10119850,0,0,2865.239563894742
10120000,0,0,2920.583838736842
10120150,0,0,2947.066894315787
10120300,0,0,2947.066894315787
10120450,0,0,2947.066894315787
10120600,0,0,3327.0142626842135
10120750,0,0,3349.578910421049
10120900,0,0,3349.578910421049
10121050,0,0,3349.578910421049
10121200,0,0,3349.578910421049
10121350,0,0,3352.677472947369
10121500,0,0,3349.9802397894746
10121650,0,0,3349.9802397894746
10121800,0,0,3349.4539240000086
10121950,0,0,3357.3688767368367
10122100,0,0,3353.4632273684256
10122250,0,0,3355.687265473687
10122400,0,0,3352.5105038421098
10122550,0,0,3352.5105038421098
10122700,0,0,3352.5105038421098
10122850,0,0,3352.5105038421098
10123000,0,0,3352.1947143684156
10123150,0,0,2972.847052157893
10123300,0,0,2971.88730594737
10123450,0,0,2971.88730594737
10123600,0,0,2966.5689045263207
10123750,0,0,2968.6245951578894
10123900,0,0,2970.234833578943
10124050,0,0,2970.234833578943
10124200,0,0,2972.716211947365
10124350,0,0,2972.979946842097
10124500,0,0,2975.0662523157807
10124650,0,0,2975.0662523157807
10124800,0,0,2975.0662523157807
10124950,0,0,2974.522443421054
10125100,0,0,2974.0849433684198
10125250,0,0,2975.4505500000014
10125400,0,0,2976.8042134736897
10125550,0,0,2978.248611368428
10125700,0,0,2978.248611368428
10125850,0,0,2978.090716631581
10126000,0,0,2978.090716631581
10126150,0,0,2972.8384502631598
10126300,0,0,2972.8384502631598
10126450,0,0,2972.8384502631598
10126600,0,0,2972.8384502631598
10126750,0,0,2972.8384502631598
10126900,0,0,2972.8384502631598
10127050,0,0,2974.6391978421016
10127200,0,0,2974.6391978421016
10127350,0,0,2974.6391978421016
10127500,0,0,2977.8111411578866
10127650,0,0,2977.8111411578866
10127800,0,0,2961.3374080000067
10127950,0,0,2961.3374080000067
10128100,0,0,2961.576801631578
10128250,0,0,2964.481786105265
10128400,0,0,2964.481786105265
10128550,0,0,2964.481786105265
10128700,0,0,2964.481786105265
10128850,0,0,2963.665787157901
10129000,0,0,2963.665787157901
10129150,0,0,2974.467820947364
10129300,0,0,2974.467820947364
10129450,0,0,2963.9308311578934
10129600,0,0,2966.646148263164
10129750,0,0,2953.488253526324
10129900,0,0,2958.8424922631602
10130050,0,0,3043.5114678947357
10130200,0,0,3042.440229
10130350,0,0,3035.3543121578914
10130500,0,0,3036.1446874210524
10130650,0,0,3036.302391105266
10130800,0,0,3034.011662052624
10130950,0,0,3034.011662052624
10131100,0,0,3034.011662052624
10131250,0,0,3030.872065894735
10131400,0,0,3030.872065894735
10131550,0,0,3039.7728709473668
10131700,0,0,3066.269533473678
10131850,0,0,3060.995187105269
10132000,0,0,3060.995187105269
10132150,0,0,3060.995187105269
10132300,0,0,3058.6067028947364
10132450,0,0,3058.6067028947364
10132600,0,0,3186.143952999999
10132750,0,0,3186.143952999999
10132900,0,0,3189.2065986842135
10133050,0,0,3189.2065986842135
10133200,0,0,3194.3644934210533
10133350,0,0,3193.0442519999997
10133500,0,0,3192.5164321052653
10133650,0,0,3188.2671418421014
10133800,0,0,3188.2671418421014
10133950,0,0,3186.9513523684145
10134100,0,0,3186.9513523684145
10134250,0,0,3186.656881157891
10134400,0,0,3186.656881157891
10134550,0,0,3186.656881157891
10134700,0,0,3186.656881157891
10134850,0,0,3186.656881157891
10135000,0,0,3189.0467063684264
10135150,0,0,3189.0467063684264
10135300,0,0,3191.5903253157812
10135450,0,0,3181.3005073157838
10135600,0,0,3189.3117441052673
10135750,0,0,3189.846151684207
10135900,0,0,3189.740788421055
10136050,0,0,3190.906102315792
10136200,0,0,3188.3406268947365
10136350,0,0,3182.8798355789477
10136500,0,0,3176.877615684214
10136650,0,0,3177.4529886842065
10136800,0,0,3179.3038983157894
10136950,0,0,3181.827619315787
10137100,0,0,3183.166385894736
10137250,0,0,3183.886643631573
10137400,0,0,3183.886643631573
10137550,0,0,3189.1445948947367
10137700,0,0,3185.988201157903
10137850,0,0,3184.4123508421035
10138000,0,0,3184.9518443157867
10138150,0,0,3184.4361377894747
10138300,0,0,3184.4361377894747
10138450,0,0,3186.5742564736865
10138600,0,0,3234.7503077368383
10138750,0,0,3236.410277421055
10138900,0,0,3227.947106473679
10139050,0,0,3237.0799297894773
10139200,0,0,3237.0799297894773
10139350,0,0,3234.496382526311
10139500,0,0,3238.0890783684154
10139650,0,0,3238.0890783684154
10139800,0,0,3226.603059052628
10139950,0,0,3210.347535105262
10140100,0,0,3210.347535105262
10140250,0,0,3210.347535105262
10140400,0,0,3206.5426670000015
10140550,0,0,3207.7261897894787
10140700,0,0,3209.1503027894796
10140850,0,0,3210.5174732105297
10141000,0,0,3210.5174732105297
10141150,0,0,3210.5174732105297
10141300,0,0,3210.5174732105297
10141450,0,0,3214.3317250526306
10141600,0,0,3214.3317250526306
10141750,0,0,3214.3317250526306
10141900,0,0,3203.3422597894605
10142050,0,0,3219.3940568421094
10142200,0,0,3219.3940568421094
10142350,0,0,3219.3940568421094
10142500,0,0,3213.6640009999974
10142650,0,0,3206.567208578941
10142800,0,0,3206.5777326842217
10142950,0,0,3206.9117991578896
10143100,0,0,3202.1199852631544
10143250,0,0,3206.001356157889
10143400,0,0,3206.001356157889
10143550,0,0,3214.1947554736835
10143700,0,0,3212.6977163157935
10143850,0,0,3216.641649736841
10144000,0,0,3216.641649736841
10144150,0,0,3216.641649736841
10144300,0,0,3219.2732286842147
10144450,0,0,3219.2732286842147
10144600,0,0,3219.2732286842147
10144750,0,0,3219.2732286842147
10144900,0,0,3219.2732286842147
10145050,0,0,3217.7237001052563
10145200,0,0,3217.3673514736874
10145350,0,0,3217.01171010526
10145500,0,0,3221.5492874210468
10145650,0,0,3213.4255661052593
10145800,0,0,3213.4255661052593
10145950,0,0,3213.4255661052593
10146100,0,0,3213.4255661052593
10146250,0,0,3213.4255661052593
10146400,0,0,3213.4255661052593
10146550,0,0,3213.4255661052593
10146700,0,0,3210.1962335789503
10146850,0,0,3210.1962335789503
10147000,0,0,3210.0772720526293
10147150,0,0,3208.202375315792
10147300,0,0,3208.202375315792
10147450,0,0,3208.202375315792
10147600,0,0,3206.1005042105244
10147750,0,0,3206.1005042105244
10147900,0,0,3208.2095700526334
10148050,0,0,3208.2095700526334
10148200,0,0,3208.2095700526334
10148350,0,0,3208.2095700526334
10148500,0,0,3208.2095700526334
10148650,0,0,3209.326353684206
10148800,0,0,3212.1749238421035
10148950,0,0,3212.1749238421035
10149100,0,0,3212.1749238421035
10149250,0,0,3200.5410576842187
10149400,0,0,3208.435794526318
10149550,0,0,3203.13161221052
10149700,0,0,3200.5130784736903
10149850,0,0,3200.5130784736903
10150000,0,0,3203.80038189474
10150150,0,0,3203.57940078948
10150300,0,0,3200.4368139473736
10150450,0,0,3200.4368139473736
10150600,0,0,3205.7322231052676
