blocknumber,volume BAT for 5% slippage
10030150,0
10030300,0
10030450,0
10030600,0
10030750,0
10030900,0
10031050,0
10031200,0
10031350,0
10031500,0
10031650,0
10031800,0
10031950,0
10032100,0
10032250,0
10032400,0
10032550,0
10032700,0
10032850,0
10033000,0
10033150,0
10033300,0
10033450,0
10033600,0
10033750,0
10033900,0
10034050,0
10034200,0
10034350,0
10034500,0
10034650,0
10034800,0
10034950,0
10035100,0
10035250,0
10035400,0
10035550,0
10035700,0
10035850,0
10036000,0
10036150,0
10036300,0
10036450,0
10036600,0
10036750,0
10036900,0
10037050,0
10037200,0
10037350,0
10037500,0
10037650,0
10037800,0
10037950,0
10038100,0
10038250,0
10038400,0
10038550,0
10038700,0
10038850,0
10039000,0
10039150,0
10039300,0
10039450,0
10039600,0
10039750,0
10039900,0
10040050,0
10040200,0
10040350,0
10040500,0
10040650,0
10040800,0
10040950,0
10041100,0
10041250,0
10041400,0
10041550,0
10041700,0
10041850,0
10042000,0
10042150,0
10042300,0
10042450,0
10042600,0
10042750,0
10042900,0
10043050,0
10043200,0
10043350,0
10043500,0
10043650,0
10043800,0
10043950,0
10044100,0
10044250,0
10044400,0
10044550,0
10044700,0
10044850,0
10045000,0
10045150,0
10045300,0
10045450,0
10045600,0
10045750,0
10045900,0
10046050,0
10046200,0
10046350,0
10046500,0
10046650,0
10046800,0
10046950,0
10047100,0
10047250,0
10047400,0
10047550,0
10047700,0
10047850,0
10048000,0
10048150,0
10048300,0
10048450,0
10048600,0
10048750,0
10048900,0
10049050,0
10049200,0
10049350,0
10049500,0
10049650,0
10049800,0
10049950,0
10050100,0
10050250,0
10050400,0
10050550,0
10050700,0
10050850,0
10051000,0
10051150,0
10051300,0
10051450,0
10051600,0
10051750,0
10051900,0
10052050,0
10052200,0
10052350,0
10052500,0
10052650,0
10052800,0
10052950,0
10053100,0
10053250,0
10053400,0
10053550,0
10053700,0
10053850,0
10054000,0
10054150,0
10054300,0
10054450,0
10054600,0
10054750,0
10054900,0
10055050,0
10055200,0
10055350,0
10055500,0
10055650,0
10055800,0
10055950,0
10056100,0
10056250,0
10056400,0
10056550,0
10056700,0
10056850,0
10057000,0
10057150,0
10057300,0
10057450,0
10057600,0
10057750,0
10057900,0
10058050,0
10058200,0
10058350,0
10058500,0
10058650,0
10058800,0
10058950,0
10059100,0
10059250,0
10059400,0
10059550,0
10059700,0
10059850,0
10060000,0
10060150,0
10060300,0
10060450,0
10060600,0
10060750,0
10060900,0
10061050,0
10061200,0
10061350,0
10061500,0
10061650,0
10061800,0
10061950,0.05263157894736836
10062100,0.05263157894736836
10062250,0.05263157894736836
10062400,0.05263157894736836
10062550,0.05263157894736836
10062700,0.05263157894736836
10062850,0.05263157894736836
10063000,0.05263157894736836
10063150,0.05263157894736836
10063300,0.05263157894736836
10063450,0.05263157894736836
10063600,0.05263157894736836
10063750,0.05263157894736836
10063900,0.05263157894736836
10064050,0.05263157894736836
10064200,0.05263157894736836
10064350,0.05263157894736836
10064500,0.05263157894736836
10064650,0.05263157894736836
10064800,0.05263157894736836
10064950,0.05263157894736836
10065100,0.05263157894736836
10065250,0.05263157894736836
10065400,0.05263157894736836
10065550,0.05263157894736836
10065700,0.05263157894736836
10065850,0.05263157894736836
10066000,0.05263157894736836
10066150,0.05263157894736836
10066300,0.05263157894736836
10066450,0.05263157894736836
10066600,0.05263157894736836
10066750,0.05263157894736836
10066900,0.05263157894736836
10067050,0.05263157894736836
10067200,0.05263157894736836
10067350,0.05263157894736836
10067500,0.05263157894736836
10067650,0.05263157894736836
10067800,0.05263157894736836
10067950,0.05263157894736836
10068100,0.05263157894736836
10068250,0.05263157894736836
10068400,0.05263157894736836
10068550,0.05263157894736836
10068700,0.05263157894736836
10068850,0.05263157894736836
10069000,0.05263157894736836
10069150,0.05263157894736836
10069300,0.05263157894736836
10069450,0.05263157894736836
10069600,0.05263157894736836
10069750,0.05263157894736836
10069900,0.05263157894736836
10070050,0.05263157894736836
10070200,0.05263157894736836
10070350,0.05263157894736836
10070500,0.05263157894736836
10070650,0.05263157894736836
10070800,0.05263157894736836
10070950,0.05263157894736836
10071100,0.05263157894736836
10071250,0.05263157894736836
10071400,0.05263157894736836
10071550,0.05263157894736836
10071700,0.05263157894736836
10071850,0.05263157894736836
10072000,0.05263157894736836
10072150,0.05263157894736836
10072300,0.05263157894736836
10072450,0.05263157894736836
10072600,0.05263157894736836
10072750,0.05263157894736836
10072900,0.05263157894736836
10073050,0.05263157894736836
10073200,0.05263157894736836
10073350,0.05263157894736836
10073500,0.05263157894736836
10073650,0.05263157894736836
10073800,0.05263157894736836
10073950,0.05263157894736836
10074100,0.05263157894736836
10074250,0.05263157894736836
10074400,0.05263157894736836
10074550,0.05263157894736836
10074700,0.05263157894736836
10074850,0.05263157894736836
10075000,0.05263157894736836
10075150,0.05263157894736836
10075300,0.05263157894736836
10075450,0.05263157894736836
10075600,0.05263157894736836
10075750,0.05263157894736836
10075900,0.05263157894736836
10076050,0.05263157894736836
10076200,0.05263157894736836
10076350,0.05263157894736836
10076500,0.05263157894736836
10076650,0.05263157894736836
10076800,0.05263157894736836
10076950,0.05263157894736836
10077100,0.05263157894736836
10077250,0.05263157894736836
10077400,0.05263157894736836
10077550,0.05263157894736836
10077700,0.05263157894736836
10077850,0.05263157894736836
10078000,0.05263157894736836
10078150,0.05263157894736836
10078300,0.05263157894736836
10078450,0.05263157894736836
10078600,0.05263157894736836
10078750,0.05263157894736836
10078900,0.05263157894736836
10079050,0.05263157894736836
10079200,0.05263157894736836
10079350,0.05263157894736836
10079500,0.05263157894736836
10079650,0.05263157894736836
10079800,0.05263157894736836
10079950,0.05263157894736836
10080100,0.05263157894736836
10080250,0.05263157894736836
10080400,0.05263157894736836
10080550,0.05263157894736836
10080700,0.05263157894736836
10080850,0.05263157894736836
10081000,0.05263157894736836
10081150,0.05263157894736836
10081300,0.05263157894736836
10081450,0.05263157894736836
10081600,0.05263157894736836
10081750,0.05263157894736836
10081900,0.05263157894736836
10082050,0.05263157894736836
10082200,0.05263157894736836
10082350,0.05263157894736836
10082500,0.05263157894736836
10082650,0.05263157894736836
10082800,0.05263157894736836
10082950,0.05263157894736836
10083100,0.05263157894736836
10083250,0.05263157894736836
10083400,0.05263157894736836
10083550,0.05263157894736836
10083700,0.05263157894736836
10083850,0.05263157894736836
10084000,0.05263157894736836
10084150,0.05263157894736836
10084300,0.05263157894736836
10084450,0.05263157894736836
10084600,0.05263157894736836
10084750,0.05263157894736836
10084900,0.05263157894736836
10085050,0.05263157894736836
10085200,0.05263157894736836
10085350,0.05263157894736836
10085500,0.05263157894736836
10085650,0.05263157894736836
10085800,0.05263157894736836
10085950,0.05263157894736836
10086100,0.05263157894736836
10086250,0.05263157894736836
10086400,0.05263157894736836
10086550,0.05263157894736836
10086700,0.05263157894736836
10086850,0.05263157894736836
10087000,0.05263157894736836
10087150,0.05263157894736836
10087300,0.05263157894736836
10087450,0.05263157894736836
10087600,0.05263157894736836
10087750,0.05263157894736836
10087900,0.05263157894736836
10088050,0.05263157894736836
10088200,0.05263157894736836
10088350,0.05263157894736836
10088500,0.05263157894736836
10088650,0.05263157894736836
10088800,0.05263157894736836
10088950,0.05263157894736836
10089100,0.05263157894736836
10089250,0.05263157894736836
10089400,0.05263157894736836
10089550,0.05263157894736836
10089700,0.05263157894736836
10089850,0.05263157894736836
10090000,0.05263157894736836
10090150,0.05263157894736836
10090300,0.05263157894736836
10090450,0.05263157894736836
10090600,0.05263157894736836
10090750,0.05263157894736836
10090900,0.05263157894736836
10091050,0.05263157894736836
10091200,0.05263157894736836
10091350,0.05263157894736836
10091500,0.05263157894736836
10091650,0.05263157894736836
10091800,0.05263157894736836
10091950,48.378500398559254
10092100,61.40574687158687
10092250,232.69555758003116
10092400,232.69555758003116
10092550,274.4392023071802
10092700,1152.2940783829633
10092850,1157.5572362777
10093000,2926.007045681153
10093150,2933.6891489651985
10093300,2933.6891489651985
10093450,2932.297165592319
10093600,2929.3035486526946
10093750,2929.3035486526946
10093900,2929.3035486526946
10094050,3146.25255842069
10094200,3146.25255842069
10094350,16304.147295262805
10094500,16304.147295262805
10094650,16304.147295262805
10094800,16303.079314440804
10094950,16386.395385731266
10095100,16388.61291501159
10095250,16388.61291501159
10095400,16388.61291501159
10095550,16388.61291501159
10095700,16388.61291501159
10095850,16383.543922552313
10096000,16276.43186621426
10096150,16282.943459764238
10096300,16282.943459764238
10096450,16282.943459764238
10096600,16282.943459764238
10096750,16308.306752711766
10096900,16329.968421631258
10097050,16324.70526373654
10097200,16312.956004451318
10097350,16312.956004451318
10097500,16395.402161483536
10097650,16395.402161483536
10097800,16528.08531561971
10097950,16541.9835575014
10098100,16515.773031185614
10098250,16528.194083817187
10098400,16550.013289960567
10098550,16550.013289960567
10098700,16551.883077933744
10098850,16791.94458878151
10099000,16788.074465548747
10099150,16830.595002234633
10099300,16831.986215967056
10099450,16846.86516333553
10099600,16846.86516333553
10099750,17019.864086681988
10099900,17047.38129521797
10100050,17046.566429802286
10100200,17046.566429802344
10100350,16928.457274451048
10100500,16928.457274451048
10100650,16996.87617998094
10100800,17155.239269109163
10100950,17153.981400472763
10101100,17058.41865146138
10101250,17058.701160303503
10101400,17057.045725961692
10101550,17057.045725961692
10101700,17057.045725961692
10101850,17057.045725961692
10102000,17057.045725961692
10102150,17159.422968735696
10102300,17129.540138961293
10102450,17129.540138961293
10102600,17095.14711378312
10102750,17097.381889400815
10102900,17097.381889400815
10103050,17097.381889400815
10103200,17097.381889400815
10103350,17097.381889400815
10103500,17097.381889400815
10103650,17097.381889400815
10103800,17097.381889400815
10103950,17100.013468348174
10104100,17100.013468348174
10104250,17230.13238462164
10104400,17230.13238462164
10104550,17230.13238462164
10104700,17230.13238462164
10104850,17283.307394252086
10105000,17283.307394252086
10105150,17283.307394252086
10105300,17283.307394252028
10105450,17293.833710041523
10105600,17220.136117207105
10105750,17220.136117207105
10105900,17220.136117207105
10106050,17220.136117207105
10106200,17220.136117207105
10106350,17220.136117207105
10106500,17220.136117207105
10106650,17220.136117207105
10106800,17207.47389004902
10106950,17182.177838907446
10107100,17182.177838907446
10107250,17182.177838907446
10107400,17182.177838907446
10107550,17182.177838907446
10107700,17182.177838907446
10107850,17266.24342761193
10108000,17266.24342761193
10108150,17266.24342761193
10108300,17266.24342761193
10108450,17552.619301311483
10108600,17552.619301311483
10108750,17558.704748432545
10108900,17558.704748432487
10109050,17558.704748432487
10109200,17558.704748432487
10109350,17558.704748432487
10109500,17558.704748432487
10109650,17558.704748432487
10109800,17558.54348573483
10109950,17558.54348573483
10110100,17562.08736464799
10110250,17562.08736464799
10110400,17562.08736464799
10110550,17562.08736464799
10110700,17562.08736464799
10110850,17562.08736464799
10111000,17562.08736464799
10111150,17562.08736464799
10111300,17562.08736464799
10111450,17640.08736464799
10111600,17629.179517899058
10111750,17629.179517899058
10111900,17688.698901864525
10112050,17688.698901864525
10112200,17631.521850457648
10112350,17577.428217613313
10112500,17577.428217613313
10112650,17577.428217613313
10112800,17577.428217613313
10112950,17577.428217613313
10113100,17585.22247173841
10113250,17585.22247173841
10113400,17701.656282909273
10113550,17701.656282909273
10113700,17701.656282909273
10113850,17701.656282909273
10114000,17702.974569829996
10114150,17702.974569829996
10114300,17702.974569829996
10114450,17702.974569829996
10114600,17592.86798870092
10114750,17592.86798870092
10114900,17592.86798870092
10115050,17592.86798870092
10115200,17592.86798870092
10115350,17592.86798870092
10115500,17582.12975546578
10115650,17582.12975546578
10115800,17582.12975546578
10115950,17582.12975546578
10116100,17582.12975546578
10116250,17582.12975546578
10116400,17582.12975546578
10116550,17582.12975546578
10116700,17644.69933055353
10116850,17644.69933055353
10117000,17644.69933055353
10117150,17644.69933055353
10117300,17644.69933055353
10117450,17614.710603905784
10117600,17614.710603905784
10117750,17602.695678811113
10117900,17868.456785371178
10118050,17868.456785371178
10118200,17881.614254803397
10118350,17881.614254803397
10118500,17891.24236288137
10118650,17747.89549634111
10118800,17747.89549634111
10118950,17747.89549634111
10119100,17819.89291195938
10119250,17814.310438066605
10119400,17823.58471515565
10119550,17942.964852694946
10119700,17945.466840116715
10119850,17945.466840116715
10120000,17957.72733890632
10120150,17962.565738906327
10120300,17962.777159477235
10120450,17962.777159477235
10120600,17977.87455761555
10120750,17979.40226536349
10120900,17960.441279011604
10121050,17960.441279011604
10121200,17960.441279011604
10121350,18496.830869804602
10121500,18496.830869804602
10121650,18590.748976024275
10121800,18590.748976024275
10121950,18592.030577117344
10122100,18592.030577117344
10122250,18592.030577117344
10122400,18580.88717708108
10122550,18580.88717708108
10122700,18633.51875602844
10122850,18633.25302182813
10123000,18713.729278766376
10123150,18695.73610386817
10123300,18683.81802729395
10123450,18699.39697466232
10123600,18684.879095073848
10123750,18684.879095073848
10123900,18684.879095073848
10124050,18684.879095073848
10124200,18684.879095073848
10124350,18684.879095073848
10124500,18652.877226006356
10124650,18666.19474019081
10124800,18666.19474019081
10124950,18666.19474019081
10125100,18666.19474019081
10125250,18666.19474019081
10125400,18666.19474019081
10125550,18666.19474019081
10125700,18669.32631913817
10125850,18669.32631913817
10126000,18669.32631913817
10126150,18642.163197694987
10126300,18691.735941905412
10126450,18793.481180202332
10126600,18793.481180202332
10126750,18766.056296551367
10126900,18766.056296551367
10127050,18661.957154203206
10127200,18661.957154203206
10127350,18661.957154203206
10127500,18661.957154203206
10127650,18603.716318518505
10127800,18620.318223046954
10127950,18620.318223046954
10128100,18620.318223046954
10128250,18671.40485304687
10128400,18740.90852330468
10128550,18740.90852330468
10128700,18740.90852330468
10128850,18740.90852330468
10129000,18732.35621694452
10129150,18732.35621694452
10129300,18732.35621694452
10129450,18732.35621694452
10129600,18596.725552531134
10129750,18721.112476191134
10129900,18721.112476191134
10130050,18721.112476191134
10130200,18180.825586769904
10130350,18134.4653406461
10130500,18205.57246980816
10130650,18202.32865767018
10130800,18209.788774412067
10130950,18737.33402555238
10131100,18737.33402555238
10131250,18715.895870418753
10131400,18740.251825965825
10131550,18742.935065496247
10131700,18696.432959797094
10131850,18808.59517149761
10132000,18903.40249261842
10132150,18903.40249261842
10132300,18895.829641840653
10132450,18887.970219498733
10132600,18887.970219498733
10132750,18888.089887919778
10132900,18888.089887919778
10133050,18888.089887919778
10133200,18888.089887919778
10133350,18888.089887919778
10133500,18888.089887919778
10133650,18888.089887919778
10133800,18888.089887919778
10133950,18882.65084164485
10134100,18882.65084164485
10134250,18882.65084164485
10134400,18882.65084164485
10134550,18882.65084164479
10134700,18882.65084164479
10134850,18882.65084164479
10135000,18882.65084164479
10135150,18882.65084164479
10135300,18873.752125647326
10135450,18873.752125647326
10135600,18873.752125647326
10135750,18741.10434678418
10135900,18741.10434678418
10136050,18741.10434678418
10136200,18741.10434977879
10136350,18741.76425034646
10136500,18742.961539820186
10136650,18742.961539820186
10136800,18742.961539820186
10136950,18742.314761652204
10137100,18742.314761652204
10137250,18742.314761652204
10137400,18742.314761652204
10137550,18674.537702467816
10137700,18674.537702467816
10137850,18674.537702467816
10138000,18653.47425561864
10138150,18651.92218176747
10138300,18651.92218176747
10138450,18651.92218176747
10138600,18650.633898622356
10138750,18595.710889536538
10138900,18595.710889536538
10139050,18595.710889536538
10139200,18595.710889536538
10139350,18595.710889536538
10139500,18595.710889536538
10139650,18595.710889536538
10139800,18595.710889536538
10139950,18595.710889536538
10140100,18595.710889536538
10140250,18595.710889536538
10140400,18595.710889536538
10140550,18595.710889536538
10140700,18595.710889536538
10140850,18593.139457961486
10141000,18593.139457961486
10141150,18619.455247435137
10141300,18619.455247435137
10141450,18516.96097253915
10141600,18516.96097253915
10141750,18516.96097253915
10141900,18516.96097253915
10142050,18516.96097253915
10142200,18546.03266253916
10142350,18546.03266253916
10142500,18558.98003096023
10142650,18558.98003096023
10142800,18585.822136223316
10142950,18585.822136223316
10143100,18679.14070770284
10143250,18679.14070770284
10143400,18679.180181387055
10143550,18673.45698422339
10143700,18673.45698422339
10143850,18696.099261773925
10144000,18741.68154050014
10144150,18741.68154050014
10144300,18794.071934783948
10144450,18811.112285662268
10144600,18831.288806714525
10144750,18831.288806714525
10144900,18707.84480181639
10145050,18803.79552642029
10145200,18803.79552642035
10145350,18824.274339744647
10145500,18824.274339744647
10145650,18831.394811238162
10145800,18831.394811238162
10145950,18810.740587285953
10146100,18881.808515804878
10146250,18784.4516967698
10146400,18783.410334065906
10146550,18935.915182329016
10146700,18935.915182329016
10146850,18935.915182329016
10147000,18935.915182329016
10147150,18935.915182329016
10147300,19054.53608188138
10147450,19049.16029465018
10147600,19023.86876413296
10147750,19023.86876413296
10147900,19023.86876413296
10148050,19003.350596127973
10148200,19002.30246864562
10148350,19002.30246864562
10148500,19002.30246864562
10148650,19002.30246864562
10148800,19022.61825811927
10148950,19022.61825811927
10149100,19043.008363382367
10149250,19042.482113360777
10149400,19042.482113360777
10149550,19157.951386070752
10149700,18935.938946968876
10149850,18960.850587607536
10150000,18960.850587607536
10150150,18960.850587607536
10150300,18963.4659030147
10150450,18963.4659030147
10150600,18963.4659030147
10150750,18963.4659030147
10150900,19030.089670399786
10151050,18972.100937311654
10151200,18972.100937311654
10151350,18972.100937311654
10151500,18983.592620033887
10151650,18983.592620033887
10151800,18983.592620033887
10151950,18983.592620033887
10152100,18983.592620033887
10152250,18983.592620033887
10152400,18983.592620033887
10152550,18989.16027928918
10152700,18989.173437184305
10152850,18989.173437184305
10153000,18991.195023565437
10153150,18991.195023565437
10153300,18991.195023565437
10153450,18991.195023565437
10153600,18991.195023565437
10153750,18873.053243194823
10153900,18873.053243194823
10154050,18873.053243194823
10154200,18873.053243194823
10154350,18875.518920865026
10154500,18878.661625770677
10154650,18857.776625569502
10154800,18857.776625569502
10154950,18923.410102580092
10155100,18923.410102580092
10155250,18923.410102580092
10155400,18921.63017908507
10155550,18947.991349371383
10155700,19037.533952138154
10155850,19171.485468911298
10156000,19027.89687149407
10156150,19027.89687149407
10156300,19027.89687149407
10156450,19167.53409031732
10156600,19167.53059367492
10156750,19184.14473566966
10156900,19184.14473566966
10157050,19184.14473566966
10157200,19184.14473566966
10157350,19337.68961179757
10157500,19337.68961179757
10157650,19241.885513816786
10157800,19241.885513816786
10157950,27911.924613498675
10158100,27992.001334710803
10158250,27992.001334710803
10158400,27901.656755006697
10158550,27901.656755006697
10158700,27901.656755006697
10158850,27866.313864759344
10159000,27870.513453466527
10159150,27870.513453466643
10159300,27996.59399766667
10159450,27996.59399766667
10159600,27998.0373180139
10159750,27998.0373180139
10159900,27992.584670153272
10160050,27984.394430333923
10160200,27978.644660718448
10160350,27978.644660718448
10160500,27978.644660718448
10160650,28709.82904651895
10160800,28709.82904651895
10160950,28843.199046518945
10161100,28747.007841854975
10161250,28755.270999749693
10161400,28755.270999749693
10161550,28763.326911986725
10161700,28887.28856483059
10161850,29125.891881604948
10162000,29100.642307072565
10162150,29100.642307072565
10162300,29079.573638796493
10162450,29079.573638796493
10162600,29079.573638796493
10162750,28874.637232823334
10162900,28874.637232823217
10163050,28860.884536310135
10163200,28914.53549475925
10163350,28982.97620333863
10163500,28982.97620333863
10163650,28982.97620333863
10163800,28984.113703338466
10163950,28984.113703338466
10164100,28984.113703338466
10164250,29038.3671582217
10164400,29038.824178400253
10164550,29046.390660748504
10164700,29012.458523558373
10164850,29022.98483934781
10165000,29115.42869649808
10165150,29437.07709239625
10165300,29410.76130292254
10165450,29410.76130292254
10165600,29410.76130292254
10165750,29410.76130292254
10165900,29410.76130292254
10166050,31960.70078190967
10166200,31960.70078190967
10166350,31934.38499243596
10166500,31933.253262269347
10166650,31933.253262269347
10166800,31923.308206753725
10166950,31911.74315217921
10167100,31915.806911906264
10167250,31915.806911906264
10167400,31921.48989844023
10167550,31921.48989844023
10167700,31738.995492900176
10167850,31738.995492900176
10168000,31783.679703426507
10168150,31713.37109309319
10168300,31704.435515546593
10168450,31675.21352630016
10168600,31601.836425807564
10168750,31630.030997652564
10168900,31568.024619703767
10169050,31552.324154253354
10169200,31701.780305708413
10169350,31701.780305708413
10169500,31735.34039854026
10169650,31727.13430912537
10169800,31984.92495639413
10169950,31984.92495639413
10170100,31983.559353187335
10170250,31971.646930473627
10170400,31963.152720085232
10170550,31962.391239604567
10170700,32048.89588343783
10170850,32575.21167291154
10171000,32575.21167291154
10171150,32272.70230168873
10171300,32272.70230168873
10171450,32272.70230168873
10171600,32279.41929092631
10171750,32279.41929092631
10171900,32279.41929092631
10172050,32279.41929092631
10172200,32314.29882909125
10172350,32189.914565428513
10172500,32179.538330724234
10172650,32190.062818328737
10172800,32190.062818328854
10172950,32190.062818328854
10173100,32229.360458305808
10173250,32229.360458305808
10173400,31882.486143880527
10173550,31816.303135533937
10173700,31694.537788159218
10173850,31694.537788159218
10174000,31577.865983820757
10174150,31476.93589881517
10174300,31476.93589881517
10174450,31476.93589881517
10174600,31616.70225107775
10174750,31628.772798446127
10174900,31592.942305500157
10175050,31649.99197298021
10175200,31649.99197298021
10175350,31786.71240127215
10175500,31786.71240127215
10175650,31786.71240127215
10175800,31786.71240127215
10175950,31778.52394472645
10176100,31899.887198015236
10176250,31899.887198015236
10176400,32109.39584873163
10176550,32271.635244274516
10176700,32271.635244274516
10176850,32271.635244274516
10177000,32271.635244274516
10177150,32289.82710743242
10177300,32289.82710743242
10177450,32289.82710743242
10177600,32289.82710743242
10177750,32289.827107432535
10177900,32475.05834356975
10178050,32475.05834356975
10178200,32323.49110960332
10178350,32271.5687945782
10178500,32271.5687945782
10178650,32153.662208026395
10178800,32153.66220802651
10178950,32153.66220802651
10179100,32122.440661341305
10179250,32108.144534638388
10179400,32108.144534638388
10179550,32108.144534638388
10179700,32093.861147629334
10179850,32093.861147629334
10180000,32049.098405061177
10180150,32057.67228820606
10180300,32068.21965099883
10180450,32068.79855698627
10180600,32068.79855698627
10180750,31973.075425988998
10180900,32072.879128284174
10181050,31988.36855260772
10181200,31901.808327744835
10181350,31802.895894495658
10181500,31803.18537315354
10181650,31830.32819460717
10181800,31848.59726619581
10181950,31848.59726619581
10182100,31777.723341319015
10182250,31818.323604988986
10182400,31881.481499725724
10182550,31784.267596637485
10182700,31920.7835447765
10182850,32087.21207828855
10183000,32148.88515185018
10183150,32028.13322023454
10183300,32102.024834948596
10183450,32088.868533107805
10183600,32208.79255754536
10183750,32043.7460245163
10183900,31941.172403927663
10184050,31844.549710442432
10184200,31844.549710442432
10184350,31972.661731764096
10184500,31972.661731764096
10184650,31972.661731764096
10184800,31977.91753022932
10184950,31978.549076471365
10185100,31978.549076471365
10185250,31978.549076471365
10185400,31983.736313689853
10185550,32072.586062308987
10185700,32072.586062308987
10185850,32074.631310308938
10186000,32074.631310308938
10186150,32069.36815241422
10186300,32069.36815241422
10186450,32069.36815241422
10186600,32069.368152414103
10186750,32240.420783993093
10186900,32240.420783993093
10187050,32023.524348241863
10187200,32083.2051599687
10187350,32061.62393386837
10187500,32061.62393386837
10187650,32061.62393386837
10187800,32061.62393386837
10187950,31969.439180068675
10188100,31969.439180068675
10188250,31877.461467742574
10188400,31877.461467742574
10188550,32013.97391309601
10188700,32160.770872733443
10188850,32160.770872733443
10189000,32067.72709679243
10189150,32112.458043619645
10189300,32026.540429057906
10189450,32427.919788028
10189600,32427.919788028
10189750,32427.919788028
10189900,32428.73969937186
10190050,32550.164032108038
10190200,32550.16356776166
10190350,32550.16263966938
10190500,32550.170861404575
10190650,32550.223492983565
10190800,32550.223492983565
10190950,32550.223492983565
10191100,32550.223492983565
10191250,32544.960335088846
10191400,32456.229480096208
10191550,32466.402869348716
10191700,32466.350237769726
10191850,32466.350237769726
10192000,32466.297606190852
10192150,32466.297606190852
10192300,32466.297606190852
10192450,32593.633237693644
10192600,32593.633237693644
10192750,32620.58060611477
10192900,32462.84377483984
10193050,32461.207944531878
10193200,32485.050049794907
10193350,32485.050049794907
10193500,32485.050049794907
10193650,32398.17625839305
10193800,32239.178895837464
10193950,32265.791509211715
10194100,32399.561810750933
10194250,32313.824991946545
10194400,32313.824991946545
10194550,32315.501366251352
10194700,32315.501366251352
10194850,32311.25651701758
10195000,32311.25651701758
10195150,32311.25651701758
10195300,32361.783938070148
10195450,32361.783938070148
10195600,32361.783938070148
10195750,32361.783938070148
10195900,32361.783938070148
10196050,32361.783938070264
10196200,32361.783938070264
10196350,32330.27254196172
10196500,32330.27254196172
10196650,32327.90412090902
10196800,32327.90412090902
10196950,32232.274281479622
10197100,31931.71846166611
10197250,31935.792802515178
10197400,31631.169928797957
10197550,31631.208206166368
10197700,31748.035322507
10197850,31748.035322507
10198000,31748.035322507
10198150,31748.035322507
10198300,31853.240740436224
10198450,31853.240740436224
10198600,31851.859026117927
10198750,31851.859026117927
10198900,31740.390604656866
10199050,31740.28067245635
10199200,31841.10927302714
10199350,31841.685536879442
10199500,31814.05142958262
10199650,31825.50879800364
10199800,31822.511840195722
10199950,31881.220203407785
10200100,31878.582260769886
10200250,31902.322746723636
10200400,31820.078401215935
10200550,31399.01993933213
10200700,31399.01993933213
10200850,31320.271940772982
10201000,31583.08398848444
10201150,31584.758597120737
10201300,31231.835154374807
10201450,31189.11580989368
10201600,31262.90550535589
10201750,31264.1803098053
10201900,31236.751322937525
10202050,31284.83578686542
10202200,31495.064204465576
10202350,31343.10108979929
10202500,31407.283051635466
10202650,31409.526435845975
10202800,31409.526435845975
