blocknumber,reserve ZRX,reserve WETH,volume ZRX for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,0
10061050,0,0,0
10061200,0,0,0
10061350,0,0,0
10061500,0,0,0
10061650,0,0,0
10061800,0,0,0
10061950,0,0,0
10062100,0,0,0
10062250,0,0,0
10062400,0,0,0
10062550,0,0,0
10062700,0,0,0
10062850,0,0,0
10063000,0,0,0
10063150,0,0,0
10063300,0,0,0
10063450,0,0,0
10063600,0,0,0
10063750,0,0,0
10063900,0,0,0
10064050,0,0,0
10064200,0,0,0
10064350,0,0,0
10064500,0,0,0
10064650,0,0,0
10064800,0,0,0
10064950,0,0,0
10065100,0,0,0
10065250,0,0,0
10065400,0,0,0
10065550,0,0,0
10065700,0,0,0
10065850,0,0,0
10066000,0,0,0
10066150,0,0,0
10066300,0,0,0
10066450,0,0,0
10066600,0,0,0
10066750,0,0,0
10066900,0,0,0
10067050,0,0,0
10067200,0,0,0
10067350,0,0,0
10067500,0,0,0
10067650,0,0,0
10067800,0,0,0
10067950,0,0,0
10068100,0,0,0
10068250,0,0,0
10068400,0,0,0
10068550,0,0,0
10068700,0,0,0
10068850,0,0,0
10069000,0,0,0
10069150,0,0,0
10069300,0,0,0
10069450,0,0,0
10069600,0,0,0
10069750,0,0,0
10069900,0,0,0
10070050,0,0,0
10070200,0,0,0
10070350,0,0,0
10070500,0,0,0
10070650,0,0,0
10070800,0,0,0
10070950,0,0,0
10071100,0,0,0
10071250,0,0,0
10071400,0,0,0
10071550,0,0,0
10071700,0,0,0
10071850,0,0,0
10072000,0,0,0
10072150,0,0,0
10072300,0,0,0
10072450,0,0,0
10072600,0,0,0
10072750,0,0,0
10072900,0,0,0
10073050,0,0,0
10073200,0,0,0
10073350,0,0,0
10073500,0,0,0
10073650,0,0,0
10073800,0,0,0
10073950,0,0,0
10074100,0,0,0
10074250,0,0,0
10074400,0,0,0
10074550,0,0,0
10074700,0,0,0
10074850,0,0,0
10075000,0,0,0
10075150,0,0,0
10075300,0,0,0
10075450,0,0,0
10075600,0,0,0
10075750,0,0,0
10075900,0,0,0
10076050,0,0,0
10076200,0,0,0
10076350,0,0,0
10076500,0,0,0
10076650,0,0,0
10076800,0,0,0
10076950,0,0,0
10077100,0,0,0
10077250,0,0,0
10077400,0,0,0
10077550,0,0,0
10077700,0,0,0
10077850,0,0,0
10078000,0,0,0
10078150,0,0,0
10078300,0,0,0
10078450,0,0,0
10078600,0,0,0
10078750,0,0,0
10078900,0,0,0
10079050,0,0,0
10079200,0,0,0
10079350,0,0,0
10079500,0,0,0
10079650,0,0,0
10079800,0,0,0
10079950,0,0,0
10080100,0,0,0
10080250,0,0,0
10080400,0,0,0
10080550,0,0,0
10080700,0,0,0
10080850,0,0,0
10081000,0,0,0
10081150,0,0,0
10081300,0,0,0
10081450,0,0,0
10081600,0,0,0
10081750,0,0,0
10081900,0,0,0
10082050,0,0,0
10082200,0,0,0
10082350,0,0,0
10082500,0,0,0
10082650,0,0,0
10082800,0,0,0
10082950,0,0,0
10083100,0,0,0
10083250,0,0,0
10083400,0,0,0
10083550,0,0,0
10083700,0,0,0
10083850,0,0,0
10084000,0,0,0
10084150,0,0,0
10084300,0,0,0
10084450,0,0,0
10084600,0,0,0
10084750,0,0,0
10084900,0,0,0
10085050,0,0,0
10085200,0,0,0
10085350,0,0,0
10085500,0,0,0
10085650,0,0,0
10085800,0,0,0
10085950,0,0,0
10086100,0,0,0
10086250,0,0,0
10086400,0,0,0
10086550,0,0,0
10086700,0,0,0
10086850,0,0,0
10087000,0,0,0
10087150,0,0,0
10087300,0,0,0
10087450,0,0,0
10087600,0,0,0
10087750,0,0,0
10087900,0,0,0
10088050,0,0,0
10088200,0,0,0
10088350,0,0,0
10088500,0,0,0
10088650,0,0,0
10088800,0,0,0
10088950,0,0,0
10089100,0,0,0
10089250,0,0,0
10089400,0,0,0
10089550,0,0,0
10089700,0,0,0
10089850,0,0,0
10090000,0,0,0
10090150,0,0,0
10090300,0,0,0
10090450,0,0,0
10090600,0,0,0
10090750,0,0,0
10090900,0,0,0
10091050,0,0,0
10091200,0,0,0
10091350,0,0,0
10091500,0,0,0
10091650,0,0,5.26315789473685
10091800,0,0,68.84344908685284
10091950,0,0,166.3126779334325
10092100,0,0,166.3126779334325
10092250,0,0,360.16801138358005
10092400,0,0,360.16801138358005
10092550,0,0,360.16801138358005
10092700,0,0,360.16801138358005
10092850,0,0,370.2109768677883
10093000,0,0,421.2873964736964
10093150,0,0,421.2873964736964
10093300,0,0,436.6107935572745
10093450,0,0,476.5047820990203
10093600,0,0,483.9690580129027
10093750,0,0,483.9414650565959
10093900,0,0,483.9414650565959
10094050,0,0,483.9414650565959
10094200,0,0,483.9414650565959
10094350,0,0,483.9414650565959
10094500,0,0,483.9414650565959
10094650,0,0,493.68908371064754
10094800,0,0,493.68908371064754
10094950,0,0,493.68908371064754
10095100,0,0,504.21539950012084
10095250,0,0,504.21539950012084
10095400,0,0,504.21539950012084
10095550,0,0,517.4600249553005
10095700,0,0,517.4600249553005
10095850,0,0,517.4600249553005
10096000,0,0,517.4600249553005
10096150,0,0,514.8252512034505
10096300,0,0,514.8252512034505
10096450,0,0,514.8252512034505
10096600,0,0,514.8252512034505
10096750,0,0,514.8252512034505
10096900,0,0,769.7680897087812
10097050,0,0,769.7680897087812
10097200,0,0,769.7680897087812
10097350,0,0,769.7680897087812
10097500,0,0,764.340531487278
10097650,0,0,765.2973299736368
10097800,0,0,765.2973299736368
10097950,0,0,2505.0719371001906
10098100,0,0,2505.0719371001906
10098250,0,0,2505.0719371001906
10098400,0,0,2505.0719371001906
10098550,0,0,2504.755479517313
10098700,0,0,2680.538419825687
10098850,0,0,2577.4646919443185
10099000,0,0,2673.3748868845287
10099150,0,0,2673.3748868845287
10099300,0,0,2658.5978873504864
10099450,0,0,2690.2008856155007
10099600,0,0,2692.832464562882
10099750,0,0,2686.922708266691
10099900,0,0,2660.048080838169
10100050,0,0,2660.048080838169
10100200,0,0,2660.048080838169
10100350,0,0,2662.153343996062
10100500,0,0,2662.153343996062
10100650,0,0,2662.153343996062
10100800,0,0,2662.153343996062
10100950,0,0,2674.571358014997
10101100,0,0,2659.8549387594467
10101250,0,0,2667.3876270812107
10101400,0,0,2683.7439256943107
10101550,0,0,2682.164978325898
10101700,0,0,2682.164978325898
10101850,0,0,1998.639971847806
10102000,0,0,1977.1111130326826
10102150,0,0,1977.1111130326826
10102300,0,0,1947.5232819595985
10102450,0,0,1947.5232819595985
10102600,0,0,1974.3906762952465
10102750,0,0,1974.3906762952465
10102900,0,0,1974.3906762952465
10103050,0,0,1974.3906762952465
10103200,0,0,961.5428756801521
10103350,0,0,961.5428756801521
10103500,0,0,961.5428756801521
10103650,0,0,961.5428756801521
10103800,0,0,978.5414250164649
10103950,0,0,978.5414250164649
10104100,0,0,978.5414250164649
10104250,0,0,980.3561606111871
10104400,0,0,980.3561606111871
10104550,0,0,990.350538922743
10104700,0,0,990.350538922743
10104850,0,0,990.350538922743
10105000,0,0,990.350538922743
10105150,0,0,990.350538922743
10105300,0,0,990.350538922743
10105450,0,0,990.350538922743
10105600,0,0,990.350538922743
10105750,0,0,990.350538922743
10105900,0,0,990.350538922743
10106050,0,0,990.350538922743
10106200,0,0,990.350538922743
10106350,0,0,990.350538922743
10106500,0,0,990.350538922743
10106650,0,0,990.350538922743
10106800,0,0,990.350538922743
10106950,0,0,950.7334615596737
10107100,0,0,950.7334615596737
10107250,0,0,950.7334615596737
10107400,0,0,950.7334615596737
10107550,0,0,950.7334615596737
10107700,0,0,950.7334615596737
10107850,0,0,950.7334615596737
10108000,0,0,950.7334615596737
10108150,0,0,962.2520996984167
10108300,0,0,962.2520996984167
10108450,0,0,962.2520996984167
10108600,0,0,962.2520996984167
10108750,0,0,962.2520996984167
10108900,0,0,962.2520996984167
10109050,0,0,962.2520996984167
10109200,0,0,962.2520996984167
10109350,0,0,962.2520996984167
10109500,0,0,962.2520996984167
10109650,0,0,956.9889418036801
10109800,0,0,979.0977560507126
10109950,0,0,979.0977560507126
10110100,0,0,1117.223620474062
10110250,0,0,1117.223620474062
10110400,0,0,1119.8553406588035
10110550,0,0,1119.8553406588035
10110700,0,0,1119.8553406588035
10110850,0,0,1119.8553406588035
10111000,0,0,1126.751998994223
10111150,0,0,1126.751998994223
10111300,0,0,1122.9153824212262
10111450,0,0,1122.9153824212262
10111600,0,0,1133.966232323237
10111750,0,0,1124.3872849548134
10111900,0,0,1124.3872849548134
10112050,0,0,1124.3872849548134
10112200,0,0,1126.7377060074468
10112350,0,0,1126.7377060074468
10112500,0,0,1147.8339832727397
10112650,0,0,1133.4331980004645
10112800,0,0,1133.4331980004645
10112950,0,0,1133.4331980004645
10113100,0,0,1131.8402639437481
10113250,0,0,1131.8402639437481
10113400,0,0,1131.8402639437481
10113550,0,0,1131.8402639437481
10113700,0,0,1131.8402639437481
10113850,0,0,1131.8402639437481
10114000,0,0,1131.8402639437481
10114150,0,0,1131.8402639437481
10114300,0,0,1132.8297118006885
10114450,0,0,1132.8297118006885
10114600,0,0,1132.8297118006885
10114750,0,0,1132.8297118006885
10114900,0,0,1132.8297118006885
10115050,0,0,1132.8297118006885
10115200,0,0,1145.0345506274534
10115350,0,0,1130.764153666918
10115500,0,0,1135.1349479917335
10115650,0,0,1135.1349479917335
10115800,0,0,1154.0949003604837
10115950,0,0,1154.0949003604837
10116100,0,0,1149.9127961866543
10116250,0,0,1149.9127961866543
10116400,0,0,1142.361949885748
10116550,0,0,1161.3474340147695
10116700,0,0,1161.3474340147695
10116850,0,0,1167.651226523125
10117000,0,0,1167.651226523125
10117150,0,0,1165.4072922085943
10117300,0,0,1165.4072922085943
10117450,0,0,1165.4072922085943
10117600,0,0,1165.4072922085943
10117750,0,0,1165.4072922085943
10117900,0,0,1158.9249778131198
10118050,0,0,1158.9249778131198
10118200,0,0,1168.56416216644
10118350,0,0,1168.56416216644
10118500,0,0,1159.3628935086163
10118650,0,0,1159.3628935086163
10118800,0,0,1159.3628935086163
10118950,0,0,1159.3628935086163
10119100,0,0,1159.3628935086163
10119250,0,0,1159.3628935086163
10119400,0,0,1159.3628935086163
10119550,0,0,1159.3628935086163
10119700,0,0,1159.3628935086163
10119850,0,0,1159.3628935086163
10120000,0,0,1182.1517692512498
10120150,0,0,1201.211165467419
10120300,0,0,1200.3178630284601
10120450,0,0,1200.3178630284601
10120600,0,0,1200.3178630284601
10120750,0,0,1200.3178630284601
10120900,0,0,1200.3178630284601
10121050,0,0,1193.7254589763397
10121200,0,0,1194.7753295026523
10121350,0,0,1194.7753295026523
10121500,0,0,1194.7753295026523
10121650,0,0,1195.564803186866
10121800,0,0,1195.564803186866
10121950,0,0,1195.564803186866
10122100,0,0,1195.564803186866
10122250,0,0,1195.564803186866
10122400,0,0,1195.564803186866
10122550,0,0,1198.7230653468941
10122700,0,0,1198.7230653468941
10122850,0,0,1198.7230653468941
10123000,0,0,1198.7230653468941
10123150,0,0,1203.3543668765524
10123300,0,0,1203.3543668765524
10123450,0,0,1207.5648931923388
10123600,0,0,1207.5648931923388
10123750,0,0,1207.5648931923388
10123900,0,0,1207.5648931923388
10124050,0,0,1202.6928444875302
10124200,0,0,1202.6928444875302
10124350,0,0,1202.9564017140583
10124500,0,0,1218.5353490824855
10124650,0,0,1218.5353490824855
10124800,0,0,1218.5353490824855
10124950,0,0,1203.2170074365313
10125100,0,0,1203.2170074365313
10125250,0,0,1203.2170074365313
10125400,0,0,1195.8461760045757
10125550,0,0,1195.8461760045757
10125700,0,0,1191.0852374698043
10125850,0,0,1191.0852374698043
10126000,0,0,1191.0852374698043
10126150,0,0,1191.0852374698043
10126300,0,0,1191.0852374698043
10126450,0,0,1191.0852374698043
10126600,0,0,1191.0852374698043
10126750,0,0,1191.0852374698043
10126900,0,0,1191.0852374698043
10127050,0,0,1191.0852374698043
10127200,0,0,1191.0852374698043
10127350,0,0,1191.0852374698043
10127500,0,0,1191.0852374698043
10127650,0,0,1191.0852374698043
10127800,0,0,1197.5832834272078
10127950,0,0,1197.5832834272078
10128100,0,0,1197.5832834272078
10128250,0,0,1191.747932486389
10128400,0,0,1197.0110903811292
10128550,0,0,1191.142797100496
10128700,0,0,1191.142797100496
10128850,0,0,1191.142797100496
10129000,0,0,1191.142797100496
10129150,0,0,1191.142797100496
10129300,0,0,1191.142797100496
10129450,0,0,1191.142797100496
10129600,0,0,1207.659327847843
10129750,0,0,1207.659327847843
10129900,0,0,1207.659327847843
10130050,0,0,1207.659327847843
10130200,0,0,1224.9670254886987
10130350,0,0,1224.9670254886987
10130500,0,0,1224.9670254886987
10130650,0,0,1224.9670254886987
10130800,0,0,1224.9670254886987
10130950,0,0,1224.9670254886987
10131100,0,0,1224.9670254886987
10131250,0,0,1224.9670254886987
10131400,0,0,1224.9670254886987
10131550,0,0,1224.9670254886987
10131700,0,0,1224.9670254886987
10131850,0,0,1224.9670254886987
10132000,0,0,1226.2608711077446
10132150,0,0,1226.2608711077446
10132300,0,0,1236.260871107741
10132450,0,0,1231.449577951469
10132600,0,0,1231.449577951469
10132750,0,0,1231.1043642326295
10132900,0,0,1231.1043642326295
10133050,0,0,1231.1043642326295
10133200,0,0,1231.1043642326295
10133350,0,0,1231.1043642326295
10133500,0,0,1231.1043642326295
10133650,0,0,1231.1043642326295
10133800,0,0,1300.8000904458459
10133950,0,0,1305.5369325511092
10134100,0,0,1305.5369325511092
10134250,0,0,1305.5369325511092
10134400,0,0,1299.81109371184
10134550,0,0,1281.4425895219465
10134700,0,0,1251.036084397696
10134850,0,0,1251.3812980819057
10135000,0,0,1271.421648010768
10135150,0,0,1271.421648010768
10135300,0,0,1271.421648010768
10135450,0,0,1271.421648010768
10135600,0,0,1271.421648010768
10135750,0,0,1271.421648010768
10135900,0,0,1271.421648010768
10136050,0,0,1277.7539094390704
10136200,0,0,1277.7539094390704
10136350,0,0,1277.7539094390704
10136500,0,0,1280.385488386437
10136650,0,0,1280.385488386437
10136800,0,0,1280.385488386437
10136950,0,0,1280.385488386437
10137100,0,0,2096.7617894613213
10137250,0,0,2096.7617894613213
10137400,0,0,2105.5081747524964
10137550,0,0,2105.5081747524964
10137700,0,0,2105.5081747524964
10137850,0,0,2105.5081747524964
10138000,0,0,2105.5081747524964
10138150,0,0,2097.8170749957353
10138300,0,0,2097.8170749957353
10138450,0,0,2097.8170749957353
10138600,0,0,2097.8170749957353
10138750,0,0,2097.8170749957353
10138900,0,0,2103.1007219786334
10139050,0,0,2103.1007219786334
10139200,0,0,2095.56030179558
10139350,0,0,2074.0960154237546
10139500,0,0,2013.9933683094932
10139650,0,0,2013.9933683094932
10139800,0,0,2045.9499557279705
10139950,0,0,2014.7385508647858
10140100,0,0,2014.7385508647858
10140250,0,0,2007.2122350753125
10140400,0,0,2028.264866654259
10140550,0,0,2028.264866654259
10140700,0,0,2042.1021547735363
10140850,0,0,2042.1021547735363
10141000,0,0,2042.1021547735363
10141150,0,0,2042.1021547735363
10141300,0,0,2042.1021547735363
10141450,0,0,2046.0919067350624
10141600,0,0,2033.444455047953
10141750,0,0,2002.5000344901273
10141900,0,0,2002.5000344901273
10142050,0,0,2002.5000344901273
10142200,0,0,2003.7026844915454
10142350,0,0,2003.7026844915454
10142500,0,0,2012.2958291962568
10142650,0,0,2012.2958291962568
10142800,0,0,2012.2958291962568
10142950,0,0,1988.7580361397195
10143100,0,0,1967.252089204274
10143250,0,0,1985.5770000835473
10143400,0,0,1960.3741631027078
10143550,0,0,1966.3719287001077
10143700,0,0,1966.3719287001077
10143850,0,0,1966.3719287001077
10144000,0,0,1966.3719287001077
10144150,0,0,1966.3719287001077
10144300,0,0,1984.6893344375858
10144450,0,0,1984.6893344375858
10144600,0,0,1992.092567346539
10144750,0,0,1992.092567346539
10144900,0,0,1992.092567346539
10145050,0,0,1992.092567346539
10145200,0,0,1983.247545070073
10145350,0,0,1983.247545070073
10145500,0,0,1983.247545070073
10145650,0,0,1983.247545070073
10145800,0,0,1961.2291524720058
10145950,0,0,1961.2291524720058
10146100,0,0,1961.2291524720058
10146250,0,0,1961.2291524720058
10146400,0,0,1961.2291524720058
10146550,0,0,1966.4871524720002
10146700,0,0,1966.4871524720002
10146850,0,0,1991.3922536150858
10147000,0,0,2005.5777135793614
10147150,0,0,2008.209292526728
10147300,0,0,2008.209292526728
10147450,0,0,2027.7641159244595
10147600,0,0,2027.7641159244595
10147750,0,0,2027.7641159244595
10147900,0,0,2022.5009580297265
10148050,0,0,2022.5009580297265
10148200,0,0,2022.5009580297265
10148350,0,0,2022.5009580297265
10148500,0,0,2022.5009580297265
10148650,0,0,2022.5009580297265
10148800,0,0,2022.5009580297265
10148950,0,0,2056.5177038331094
10149100,0,0,2061.7808617278424
10149250,0,0,2077.0593224167897
10149400,0,0,2084.3977434694243
10149550,0,0,2084.3977434694243
10149700,0,0,2089.013527984658
10149850,0,0,2089.013527984658
10150000,0,0,2089.013527984658
10150150,0,0,2053.714116934665
10150300,0,0,2053.714116934665
10150450,0,0,2053.714116934665
10150600,0,0,2044.235259384077
10150750,0,0,2054.76157517355
10150900,0,0,2054.76157517355
10151050,0,0,2054.76157517355
10151200,0,0,2054.76157517355
10151350,0,0,2054.76157517355
10151500,0,0,2054.76157517355
10151650,0,0,2054.76157517355
10151800,0,0,2051.2869651292713
10151950,0,0,2051.2869651292713
10152100,0,0,2079.047130331979
10152250,0,0,2079.047130331979
10152400,0,0,2079.047130331979
10152550,0,0,2079.047130331979
10152700,0,0,2079.047130331979
10152850,0,0,2044.0997619109257
10153000,0,0,2044.0997619109257
10153150,0,0,2044.0997619109257
10153300,0,0,2044.0997619109257
10153450,0,0,2044.0997619109257
10153600,0,0,2044.0997619109257
10153750,0,0,2044.0997619109257
10153900,0,0,2044.0997619109257
10154050,0,0,2059.726867174082
10154200,0,0,2059.726867174082
10154350,0,0,2079.492846943831
10154500,0,0,2073.301464316435
10154650,0,0,2079.500587953662
10154800,0,0,2079.500587953662
10154950,0,0,2079.500587953662
10155100,0,0,2079.500587953662
10155250,0,0,2099.6912807022018
10155400,0,0,2099.6912807022018
10155550,0,0,2100.8923102252083
10155700,0,0,2100.8923102252083
10155850,0,0,2100.8923102252083
10156000,0,0,2100.8923102252083
10156150,0,0,2099.7256788418163
10156300,0,0,2099.7256788418163
10156450,0,0,2099.7256788418163
10156600,0,0,2098.409889368122
10156750,0,0,2110.6204227145354
10156900,0,0,2110.6204227145354
10157050,0,0,2110.6204227145354
10157200,0,0,2131.453079972838
10157350,0,0,2131.453079972838
10157500,0,0,2131.453079972838
10157650,0,0,2131.453079972838
10157800,0,0,2131.453079972838
10157950,0,0,2131.453079972838
10158100,0,0,2123.4860057826663
10158250,0,0,2123.4860057826663
10158400,0,0,2123.4860057826663
10158550,0,0,2144.550381533183
10158700,0,0,2144.550381533183
10158850,0,0,2130.87290588452
10159000,0,0,2130.87290588452
10159150,0,0,2130.87290588452
10159300,0,0,2130.87290588452
10159450,0,0,2130.87290588452
10159600,0,0,2130.87290588452
10159750,0,0,2130.87290588452
10159900,0,0,2130.87290588452
10160050,0,0,2131.136063779246
10160200,0,0,2131.136063779246
10160350,0,0,2145.39996887069
10160500,0,0,2145.39996887069
10160650,0,0,2145.39996887069
10160800,0,0,2145.39996887069
10160950,0,0,2145.39996887069
10161100,0,0,2152.7116867945224
10161250,0,0,2152.7116867945224
10161400,0,0,2105.4884466123767
10161550,0,0,2083.5840587049024
10161700,0,0,2083.5840587049024
10161850,0,0,2111.272458708634
10162000,0,0,2111.272458708634
10162150,0,0,2111.272458708634
10162300,0,0,2111.272458708634
10162450,0,0,2111.272458708634
10162600,0,0,2111.272458708634
