blocknumber,reserve MKR,reserve WETH,volume MKR for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,0
10061050,0,0,0
10061200,0,0,0
10061350,0,0,0
10061500,0,0,0
10061650,0,0,0
10061800,0,0,0
10061950,0,0,0
10062100,0,0,0
10062250,0,0,0
10062400,0,0,0
10062550,0,0,0
10062700,0,0,0
10062850,0,0,0
10063000,0,0,0
10063150,0,0,0
10063300,0,0,0
10063450,0,0,0
10063600,0,0,0
10063750,0,0,0
10063900,0,0,0
10064050,0,0,0
10064200,0,0,0
10064350,0,0,0
10064500,0,0,0
10064650,0,0,0
10064800,0,0,0
10064950,0,0,0
10065100,0,0,0
10065250,0,0,0
10065400,0,0,0
10065550,0,0,0
10065700,0,0,0
10065850,0,0,0
10066000,0,0,0
10066150,0,0,0
10066300,0,0,0
10066450,0,0,0
10066600,0,0,0
10066750,0,0,0
10066900,0,0,0
10067050,0,0,0
10067200,0,0,0
10067350,0,0,0
10067500,0,0,0
10067650,0,0,0
10067800,0,0,0
10067950,0,0,0
10068100,0,0,0
10068250,0,0,0
10068400,0,0,0
10068550,0,0,0
10068700,0,0,0
10068850,0,0,0
10069000,0,0,0
10069150,0,0,0
10069300,0,0,0
10069450,0,0,0
10069600,0,0,0
10069750,0,0,0
10069900,0,0,0
10070050,0,0,0
10070200,0,0,0
10070350,0,0,0
10070500,0,0,0
10070650,0,0,0
10070800,0,0,0
10070950,0,0,0
10071100,0,0,0
10071250,0,0,0
10071400,0,0,0
10071550,0,0,0
10071700,0,0,0
10071850,0,0,0
10072000,0,0,0
10072150,0,0,0
10072300,0,0,0
10072450,0,0,0
10072600,0,0,0
10072750,0,0,0
10072900,0,0,0
10073050,0,0,0
10073200,0,0,0
10073350,0,0,0
10073500,0,0,0
10073650,0,0,0
10073800,0,0,0
10073950,0,0,0
10074100,0,0,0
10074250,0,0,0
10074400,0,0,0
10074550,0,0,0
10074700,0,0,0
10074850,0,0,0
10075000,0,0,0
10075150,0,0,0
10075300,0,0,0
10075450,0,0,0
10075600,0,0,0
10075750,0,0,0
10075900,0,0,0
10076050,0,0,0
10076200,0,0,0
10076350,0,0,0
10076500,0,0,0
10076650,0,0,0
10076800,0,0,0
10076950,0,0,0
10077100,0,0,0
10077250,0,0,0
10077400,0,0,0
10077550,0,0,0
10077700,0,0,0
10077850,0,0,0
10078000,0,0,0
10078150,0,0,0
10078300,0,0,0
10078450,0,0,0
10078600,0,0,0
10078750,0,0,0
10078900,0,0,0
10079050,0,0,0
10079200,0,0,0
10079350,0,0,0
10079500,0,0,0
10079650,0,0,0
10079800,0,0,0
10079950,0,0,0
10080100,0,0,0
10080250,0,0,0
10080400,0,0,0
10080550,0,0,0
10080700,0,0,0
10080850,0,0,0
10081000,0,0,0
10081150,0,0,0
10081300,0,0,0
10081450,0,0,0
10081600,0,0,0
10081750,0,0,0
10081900,0,0,0
10082050,0,0,0
10082200,0,0,0
10082350,0,0,0
10082500,0,0,0
10082650,0,0,0
10082800,0,0,0
10082950,0,0,0
10083100,0,0,0
10083250,0,0,0
10083400,0,0,0
10083550,0,0,0
10083700,0,0,0
10083850,0,0,0
10084000,0,0,0
10084150,0,0,0
10084300,0,0,0
10084450,0,0,0
10084600,0,0,0
10084750,0,0,0
10084900,0,0,0
10085050,0,0,0
10085200,0,0,0
10085350,0,0,0
10085500,0,0,0
10085650,0,0,0
10085800,0,0,0
10085950,0,0,0
10086100,0,0,0
10086250,0,0,0
10086400,0,0,0
10086550,0,0,0
10086700,0,0,0
10086850,0,0,0
10087000,0,0,0
10087150,0,0,0
10087300,0,0,0
10087450,0,0,0
10087600,0,0,0
10087750,0,0,0
10087900,0,0,0
10088050,0,0,0
10088200,0,0,0
10088350,0,0,0
10088500,0,0,0
10088650,0,0,0
10088800,0,0,0
10088950,0,0,0
10089100,0,0,0
10089250,0,0,0
10089400,0,0,0
10089550,0,0,0
10089700,0,0,0
10089850,0,0,0
10090000,0,0,0
10090150,0,0,0
10090300,0,0,0
10090450,0,0,0
10090600,0,0,0
10090750,0,0,0
10090900,0,0,0
10091050,0,0,0
10091200,0,0,0
10091350,0,0,0
10091500,0,0,1.216644111198022
10091650,0,0,2.2513868417047505
10091800,0,0,2.2513868417047505
10091950,0,0,2.2893472228904983
10092100,0,0,2.3151380430508866
10092250,0,0,2.385468279018184
10092400,0,0,2.3963410081782186
10092550,0,0,2.3963410081782186
10092700,0,0,2.4122209285881127
10092850,0,0,2.502102672832777
10093000,0,0,2.588579796472196
10093150,0,0,2.738927924795675
10093300,0,0,2.739135271241743
10093450,0,0,3.071856659041785
10093600,0,0,3.156492472151456
10093750,0,0,3.156492472151456
10093900,0,0,3.156492472151456
10094050,0,0,3.156492472151456
10094200,0,0,12.10400885060102
10094350,0,0,12.10400885060102
10094500,0,0,12.10400885060102
10094650,0,0,12.10400885060102
10094800,0,0,12.083224597496326
10094950,0,0,12.083224597496326
10095100,0,0,12.083224597496326
10095250,0,0,12.083224597496326
10095400,0,0,12.189737303520303
10095550,0,0,12.208100943450802
10095700,0,0,12.174024595750325
10095850,0,0,12.174024595750325
10096000,0,0,12.174024595750325
10096150,0,0,12.173990615946252
10096300,0,0,12.173990615946252
10096450,0,0,12.173990615946252
10096600,0,0,10.684255381680003
10096750,0,0,11.125142948272213
10096900,0,0,11.124970326385778
10097050,0,0,11.072338747438437
10097200,0,0,11.124970326385807
10097350,0,0,11.124970326385807
10097500,0,0,11.493790023854956
10097650,0,0,11.388231113880778
10097800,0,0,11.388231113880778
10097950,0,0,11.388231113880778
10098100,0,0,11.44935592712605
10098250,0,0,11.512680641328757
10098400,0,0,11.548022791249679
10098550,0,0,11.561843911928776
10098700,0,0,11.536558695778751
10098850,0,0,11.614079328632272
10099000,0,0,23.31222642838344
10099150,0,0,23.31222642838344
10099300,0,0,23.31222642838344
10099450,0,0,23.31222642838344
10099600,0,0,23.31222642838344
10099750,0,0,23.329773738333017
10099900,0,0,23.277142159385676
10100050,0,0,23.277142159385676
10100200,0,0,23.417776131530786
10100350,0,0,23.365068824058426
10100500,0,0,23.354542508268935
10100650,0,0,23.32034631248763
10100800,0,0,23.32034631248763
10100950,0,0,25.154010755007107
10101100,0,0,25.154010755007107
10101250,0,0,25.154010755007107
10101400,0,0,25.154010755007107
10101550,0,0,25.154010755007107
10101700,0,0,25.216531458368706
10101850,0,0,25.67763618368167
10102000,0,0,25.670504239960053
10102150,0,0,25.670504239960053
10102300,0,0,25.667315552526645
10102450,0,0,25.715645473896018
10102600,0,0,25.681579117322144
10102750,0,0,25.786842275216827
10102900,0,0,25.786842275216827
10103050,0,0,25.78590273960924
10103200,0,0,25.78590273960924
10103350,0,0,25.78590273960924
10103500,0,0,25.78590273960924
10103650,0,0,25.66641727632765
10103800,0,0,25.710483744692112
10103950,0,0,27.811313824339663
10104100,0,0,27.778593657069905
10104250,0,0,27.778593657069905
10104400,0,0,27.778593657069905
10104550,0,0,27.778593657069905
10104700,0,0,27.778593657069905
10104850,0,0,27.778593657069905
10105000,0,0,27.778593657069905
10105150,0,0,27.772159717775708
10105300,0,0,28.571442851226152
10105450,0,0,28.58399103371471
10105600,0,0,28.45278974807468
10105750,0,0,28.466911793328904
10105900,0,0,28.51955232548619
10106050,0,0,28.51955232548619
10106200,0,0,28.51955232548619
10106350,0,0,28.51955232548619
10106500,0,0,28.519552325486075
10106650,0,0,28.511519613477276
10106800,0,0,28.611746006243607
10106950,0,0,28.627983098306572
10107100,0,0,28.627983098306572
10107250,0,0,28.627983098306572
10107400,0,0,28.627983098306572
10107550,0,0,28.627983098306572
10107700,0,0,28.543003186193005
10107850,0,0,28.466669100379136
10108000,0,0,28.70608034243014
10108150,0,0,28.70608034243014
10108300,0,0,28.70608034243014
10108450,0,0,28.70608034243014
10108600,0,0,28.70608034243014
10108750,0,0,28.668777510431482
10108900,0,0,28.668777510431482
10109050,0,0,28.75412561980943
10109200,0,0,28.75412561980943
10109350,0,0,28.75412561980943
10109500,0,0,28.75412561980943
10109650,0,0,28.75412561980943
10109800,0,0,28.648090003724178
10109950,0,0,28.648090003724178
10110100,0,0,28.648090003724064
10110250,0,0,28.648090003724064
10110400,0,0,28.648090003724064
10110550,0,0,28.614588421503754
10110700,0,0,28.614588421503754
10110850,0,0,28.593743632815745
10111000,0,0,28.593743632815745
10111150,0,0,28.92402564790393
10111300,0,0,28.89112020167272
10111450,0,0,28.77500955475557
10111600,0,0,28.77500955475557
10111750,0,0,28.827641133702855
10111900,0,0,28.649953205175393
10112050,0,0,28.649953205175393
10112200,0,0,28.649953205175393
10112350,0,0,28.649953205175393
10112500,0,0,28.459186582735015
10112650,0,0,28.324736552623335
10112800,0,0,28.324736552623335
10112950,0,0,28.324736552623335
10113100,0,0,28.324736552623335
10113250,0,0,28.324736552623335
10113400,0,0,28.324736552623335
10113550,0,0,28.85135376766334
10113700,0,0,28.85969587292641
10113850,0,0,28.872678464139995
10114000,0,0,28.628616595495487
10114150,0,0,28.676176175572436
10114300,0,0,28.915991377258706
10114450,0,0,28.915991377258706
10114600,0,0,28.91467558778504
10114750,0,0,28.91467558778504
10114900,0,0,28.913959066812367
10115050,0,0,29.18302037599028
10115200,0,0,29.23565195493768
10115350,0,0,29.37142513117908
10115500,0,0,29.37142513117908
10115650,0,0,29.479624264835252
10115800,0,0,29.456082319561006
10115950,0,0,29.456082319561006
10116100,0,0,29.281717735049824
10116250,0,0,29.281717735049824
10116400,0,0,29.281717735049824
10116550,0,0,29.342231892248947
10116700,0,0,29.47184166172258
10116850,0,0,29.439302831856025
10117000,0,0,29.61539820406324
10117150,0,0,29.575450661320815
10117300,0,0,29.664035722627432
10117450,0,0,29.664035722627432
10117600,0,0,29.702372100777552
10117750,0,0,29.702372100777552
10117900,0,0,29.702372100777552
10118050,0,0,29.70237210213952
10118200,0,0,29.643525275093907
10118350,0,0,29.942597493299672
10118500,0,0,29.942597493299672
10118650,0,0,29.942597493299672
10118800,0,0,29.942597493299672
10118950,0,0,37.26427255313706
10119100,0,0,37.59778800570484
10119250,0,0,37.60163429840827
10119400,0,0,37.63576422255903
10119550,0,0,37.769830503670164
10119700,0,0,37.769830503670164
10119850,0,0,37.769830503670164
10120000,0,0,37.769830503670164
10120150,0,0,37.769830503670164
10120300,0,0,37.513011861627774
10120450,0,0,37.513011861627774
10120600,0,0,37.513011861627774
10120750,0,0,38.359046905563446
10120900,0,0,38.359046905563446
10121050,0,0,38.35773599625645
10121200,0,0,38.35773599625645
10121350,0,0,38.3712778669194
10121500,0,0,38.15763531870016
10121650,0,0,38.15763531870016
10121800,0,0,38.15763531870016
10121950,0,0,38.15763531870016
10122100,0,0,38.117239714234984
10122250,0,0,38.117239714234984
10122400,0,0,38.10345121654882
10122550,0,0,38.01074598265393
10122700,0,0,38.105720542638096
10122850,0,0,38.105720542638096
10123000,0,0,38.105720542638096
10123150,0,0,38.31743809817749
10123300,0,0,38.31743809817749
10123450,0,0,38.31743809817749
10123600,0,0,38.28732767476879
10123750,0,0,38.28732767476879
10123900,0,0,38.28732767476879
10124050,0,0,38.23231281535186
10124200,0,0,39.443602306059574
10124350,0,0,39.378470731259426
10124500,0,0,39.37847073125931
10124650,0,0,39.39262928573146
10124800,0,0,39.45657745395249
10124950,0,0,39.4577621400623
10125100,0,0,39.4577621400623
10125250,0,0,39.4577621400623
10125400,0,0,39.4577621400623
10125550,0,0,39.404604245325345
10125700,0,0,39.36193712981719
10125850,0,0,39.36193712981719
10126000,0,0,39.36193712981719
10126150,0,0,39.36193712981719
10126300,0,0,39.34973617524463
10126450,0,0,39.293215454585834
10126600,0,0,39.293215454585834
10126750,0,0,39.2826891387964
10126900,0,0,39.287076607122
10127050,0,0,39.287076607122
10127200,0,0,39.287076607122
10127350,0,0,39.287076607122
10127500,0,0,39.287076607122
10127650,0,0,39.18165406874016
10127800,0,0,39.17914315115172
10127950,0,0,39.17914315115172
10128100,0,0,39.17914315115172
10128250,0,0,39.154923255701874
10128400,0,0,39.07892065624901
10128550,0,0,39.0789206562489
10128700,0,0,39.0789206562489
10128850,0,0,39.0789206562489
10129000,0,0,39.0789206562489
10129150,0,0,39.0789206562489
10129300,0,0,39.0789206562489
10129450,0,0,39.0789206562489
10129600,0,0,39.05475042908131
10129750,0,0,39.270662546731046
10129900,0,0,39.392802493365934
10130050,0,0,39.392802493365934
10130200,0,0,39.205805454304254
10130350,0,0,39.205805454304254
10130500,0,0,39.205805454304254
10130650,0,0,39.21343090662174
10130800,0,0,39.21343090662174
10130950,0,0,39.55268085518844
10131100,0,0,39.55252641413324
10131250,0,0,39.55252641413324
10131400,0,0,39.56371645936804
10131550,0,0,39.563648231045704
10131700,0,0,39.563648231045704
10131850,0,0,39.563648231045704
10132000,0,0,39.563648231045704
10132150,0,0,39.56649033630879
10132300,0,0,39.56649033630879
10132450,0,0,39.44070960048521
10132600,0,0,39.44070960048521
10132750,0,0,39.42199335451846
10132900,0,0,39.42199335451846
10133050,0,0,39.4216766091281
10133200,0,0,39.37263948350699
10133350,0,0,39.37263948350699
10133500,0,0,39.37263948350699
10133650,0,0,39.215456321610645
10133800,0,0,39.215456321610645
10133950,0,0,39.215456321610645
10134100,0,0,39.215456321610645
10134250,0,0,39.215456321610645
10134400,0,0,39.215456321610645
10134550,0,0,39.13725440168116
10134700,0,0,39.13725440168116
10134850,0,0,39.13725440168116
10135000,0,0,38.67892304187137
10135150,0,0,38.67892304187137
10135300,0,0,38.58557743812014
10135450,0,0,38.58557743812014
10135600,0,0,38.58557743812014
10135750,0,0,38.84347928625914
10135900,0,0,38.73682439841093
10136050,0,0,38.58103998653121
10136200,0,0,38.58103998653121
10136350,0,0,38.58103998653121
10136500,0,0,38.58103998653121
10136650,0,0,38.60506464940033
10136800,0,0,39.37796047582822
10136950,0,0,39.38359078657015
10137100,0,0,42.79705589098887
10137250,0,0,43.17309619838693
10137400,0,0,43.173096198386816
10137550,0,0,43.14722381063018
10137700,0,0,43.199385774027064
10137850,0,0,43.148788614390696
10138000,0,0,43.148788614390696
10138150,0,0,43.148788614390696
10138300,0,0,43.11404542511036
10138450,0,0,43.03622712805611
10138600,0,0,43.03622712805611
10138750,0,0,43.08359229748055
10138900,0,0,43.08359229748055
10139050,0,0,43.215171244848875
10139200,0,0,43.12138671583409
10139350,0,0,42.996972861455106
10139500,0,0,42.996972861455106
10139650,0,0,42.996972861455106
10139800,0,0,42.996972861455106
10139950,0,0,42.996972861455106
10140100,0,0,42.996972861455106
10140250,0,0,42.996972861455106
10140400,0,0,42.996972861455106
10140550,0,0,42.996972861455106
10140700,0,0,42.996972861455106
10140850,0,0,42.996972861455106
10141000,0,0,42.996972861455106
10141150,0,0,42.99960444040255
10141300,0,0,42.89677181639752
10141450,0,0,42.89677181639752
10141600,0,0,42.89677181639752
10141750,0,0,42.93151591510809
10141900,0,0,42.93151591510809
10142050,0,0,42.896607154223034
10142200,0,0,42.31146958170882
10142350,0,0,42.41454626206496
10142500,0,0,42.52925634170231
10142650,0,0,42.527923063302865
10142800,0,0,42.58464958533841
10142950,0,0,42.62113069907434
10143100,0,0,42.62113069907434
10143250,0,0,42.569171122856915
10143400,0,0,42.569171122856915
10143550,0,0,42.569171122856915
10143700,0,0,42.762318867681074
10143850,0,0,42.762318867681074
10144000,0,0,42.762318867681074
10144150,0,0,42.90121298482222
10144300,0,0,42.90121298482211
10144450,0,0,42.90121298482222
10144600,0,0,42.82226561640118
10144750,0,0,42.82226561640118
10144900,0,0,42.82226561640118
10145050,0,0,42.82226561640118
10145200,0,0,42.82226561640118
10145350,0,0,42.82226561640118
10145500,0,0,42.82226561640118
10145650,0,0,42.82226561640118
10145800,0,0,43.04137863782671
10145950,0,0,43.04137863782671
10146100,0,0,43.04137863782671
10146250,0,0,43.04137863782671
10146400,0,0,43.29278493677407
10146550,0,0,43.29278493677407
10146700,0,0,43.29278493677407
10146850,0,0,43.29278493677407
10147000,0,0,43.145359408137324
10147150,0,0,43.145359408137324
10147300,0,0,43.34602492207978
10147450,0,0,43.179400159176
10147600,0,0,43.54406340373555
10147750,0,0,43.54406340373555
10147900,0,0,43.54406340373555
10148050,0,0,43.49143182478815
10148200,0,0,43.50063814057751
10148350,0,0,43.50063814057762
10148500,0,0,43.61116445636708
10148650,0,0,43.61116445636708
10148800,0,0,43.611164456366964
10148950,0,0,43.611164456366964
10149100,0,0,44.34487393181064
10149250,0,0,44.482820520830956
10149400,0,0,44.482820520830956
10149550,0,0,44.49832404730296
10149700,0,0,44.561565706318106
10149850,0,0,44.736793856120016
10150000,0,0,44.736793856120016
10150150,0,0,44.48096340594634
10150300,0,0,44.53362451626492
10150450,0,0,44.53362451626492
10150600,0,0,44.53362451626492
10150750,0,0,44.53362451626492
10150900,0,0,44.53362451626492
10151050,0,0,44.57334983686553
10151200,0,0,44.57334983686553
10151350,0,0,44.57334983686553
10151500,0,0,44.35279224328269
10151650,0,0,44.35279224328269
10151800,0,0,44.35279224328269
10151950,0,0,44.35279224328269
10152100,0,0,44.35279224328269
10152250,0,0,44.35279224328269
10152400,0,0,44.35279224328269
10152550,0,0,44.35279224328269
10152700,0,0,44.35279224328269
10152850,0,0,44.35279224328269
10153000,0,0,44.35279224328269
10153150,0,0,44.35279224328269
10153300,0,0,44.35279224328269
10153450,0,0,44.21155630377859
10153600,0,0,44.21155630377859
10153750,0,0,44.21155630377859
10153900,0,0,44.21155630377859
10154050,0,0,44.21155630377859
10154200,0,0,44.37293517834371
10154350,0,0,44.541393049562544
10154500,0,0,44.541393049562544
10154650,0,0,44.541393049562544
10154800,0,0,44.541393049562544
10154950,0,0,44.541393049562544
10155100,0,0,44.80469528191486
10155250,0,0,44.80469528191486
10155400,0,0,44.29379819730559
10155550,0,0,44.29379819730559
10155700,0,0,44.29379819730559
10155850,0,0,44.431229893948625
10156000,0,0,44.431229893948625
10156150,0,0,44.58912463079059
10156300,0,0,44.61927531874119
10156450,0,0,44.49203401029774
10156600,0,0,44.49203401029774
10156750,0,0,44.57654182312058
10156900,0,0,44.57654247820096
10157050,0,0,44.57654247820096
10157200,0,0,44.80284455538947
10157350,0,0,45.21943105578066
10157500,0,0,45.21943105578066
10157650,0,0,45.38779586577709
10157800,0,0,45.38779586577709
10157950,0,0,45.24721165525068
10158100,0,0,45.36574776770408
10158250,0,0,45.22873030478786
10158400,0,0,45.22873030478786
10158550,0,0,45.332167644721494
10158700,0,0,45.332167644721494
10158850,0,0,45.332167644721494
10159000,0,0,45.332167644721494
10159150,0,0,45.58400604694589
10159300,0,0,45.58479552063022
10159450,0,0,45.58479552063022
10159600,0,0,45.58479552063022
10159750,0,0,45.713690257472194
10159900,0,0,45.50334759857867
10160050,0,0,45.50334759857867
10160200,0,0,45.50334759857867
10160350,0,0,45.50334759857867
10160500,0,0,45.30161012437884
10160650,0,0,45.92867927924851
10160800,0,0,45.9813108581958
10160950,0,0,42.110540183192484
10161100,0,0,39.55151998696158
10161250,0,0,39.25812515423809
10161400,0,0,40.21545988320247
10161550,0,0,40.670515562542846
10161700,0,0,40.67156412857457
10161850,0,0,39.75769438523855
10162000,0,0,39.11540583512647
10162150,0,0,39.01245606660814
10162300,0,0,38.565429586982646
10162450,0,0,38.1673345616631
10162600,0,0,38.87370433411843
10162750,0,0,39.552040299244595
10162900,0,0,39.539581953896345
10163050,0,0,39.134686359759485
10163200,0,0,38.93332276588035
10163350,0,0,39.14804025413093
10163500,0,0,39.290521817584704
10163650,0,0,39.48099025894169
10163800,0,0,39.48099025894169
10163950,0,0,39.519227822958555
10164100,0,0,39.436238375680205
10164250,0,0,39.38360679673292
10164400,0,0,39.70749766136157
10164550,0,0,39.52091878606086
10164700,0,0,39.545864251713624
