blocknumber,reserve LINK,reserve WETH,volume LINK for 5% slippage
10043200,0,0,0
10043350,0,0,0
10043500,0,0,0
10043650,0,0,0
10043800,0,0,0
10043950,0,0,0
10044100,0,0,0
10044250,0,0,0
10044400,0,0,0
10044550,0,0,0
10044700,0,0,0
10044850,0,0,0
10045000,0,0,0
10045150,0,0,0
10045300,0,0,0
10045450,0,0,0
10045600,0,0,0
10045750,0,0,0
10045900,0,0,0
10046050,0,0,0
10046200,0,0,0
10046350,0,0,0
10046500,0,0,0
10046650,0,0,0
10046800,0,0,0
10046950,0,0,0
10047100,0,0,0
10047250,0,0,0
10047400,0,0,0
10047550,0,0,0
10047700,0,0,0
10047850,0,0,0
10048000,0,0,0
10048150,0,0,0
10048300,0,0,0
10048450,0,0,0
10048600,0,0,0
10048750,0,0,0
10048900,0,0,0
10049050,0,0,0
10049200,0,0,0
10049350,0,0,0
10049500,0,0,0
10049650,0,0,0
10049800,0,0,0
10049950,0,0,0
10050100,0,0,0
10050250,0,0,0
10050400,0,0,0
10050550,0,0,0
10050700,0,0,0
10050850,0,0,0
10051000,0,0,0
10051150,0,0,0
10051300,0,0,0
10051450,0,0,0
10051600,0,0,0
10051750,0,0,0
10051900,0,0,0
10052050,0,0,0
10052200,0,0,0
10052350,0,0,0
10052500,0,0,0
10052650,0,0,0
10052800,0,0,0
10052950,0,0,0
10053100,0,0,0
10053250,0,0,0
10053400,0,0,0
10053550,0,0,0
10053700,0,0,0
10053850,0,0,0
10054000,0,0,0
10054150,0,0,0
10054300,0,0,0
10054450,0,0,0
10054600,0,0,0
10054750,0,0,0
10054900,0,0,0
10055050,0,0,0
10055200,0,0,0
10055350,0,0,0
10055500,0,0,0
10055650,0,0,0
10055800,0,0,0
10055950,0,0,0
10056100,0,0,0
10056250,0,0,0
10056400,0,0,0
10056550,0,0,0
10056700,0,0,0
10056850,0,0,0
10057000,0,0,0
10057150,0,0,0
10057300,0,0,0
10057450,0,0,0
10057600,0,0,0
10057750,0,0,0
10057900,0,0,0
10058050,0,0,0
10058200,0,0,0
10058350,0,0,0
10058500,0,0,0
10058650,0,0,0
10058800,0,0,0
10058950,0,0,0
10059100,0,0,0
10059250,0,0,0
10059400,0,0,0
10059550,0,0,0
10059700,0,0,0
10059850,0,0,0
10060000,0,0,0
10060150,0,0,0
10060300,0,0,0
10060450,0,0,0
10060600,0,0,0
10060750,0,0,0
10060900,0,0,0
10061050,0,0,0
10061200,0,0,0
10061350,0,0,0
10061500,0,0,0
10061650,0,0,0
10061800,0,0,0
10061950,0,0,0
10062100,0,0,0
10062250,0,0,0
10062400,0,0,0
10062550,0,0,0
10062700,0,0,0
10062850,0,0,0
10063000,0,0,0
10063150,0,0,0
10063300,0,0,0
10063450,0,0,0
10063600,0,0,0
10063750,0,0,0
10063900,0,0,0
10064050,0,0,0
10064200,0,0,0
10064350,0,0,0
10064500,0,0,0
10064650,0,0,0
10064800,0,0,0
10064950,0,0,0
10065100,0,0,0
10065250,0,0,0
10065400,0,0,0
10065550,0,0,0
10065700,0,0,0
10065850,0,0,0
10066000,0,0,0
10066150,0,0,0
10066300,0,0,0
10066450,0,0,0
10066600,0,0,0
10066750,0,0,0
10066900,0,0,0
10067050,0,0,0
10067200,0,0,0
10067350,0,0,0
10067500,0,0,0
10067650,0,0,0
10067800,0,0,0
10067950,0,0,0
10068100,0,0,0
10068250,0,0,0
10068400,0,0,0
10068550,0,0,0
10068700,0,0,0
10068850,0,0,0
10069000,0,0,0
10069150,0,0,0
10069300,0,0,0
10069450,0,0,0
10069600,0,0,0
10069750,0,0,0
10069900,0,0,0
10070050,0,0,0
10070200,0,0,0
10070350,0,0,0
10070500,0,0,0
10070650,0,0,0
10070800,0,0,0
10070950,0,0,0
10071100,0,0,0
10071250,0,0,0
10071400,0,0,0
10071550,0,0,0
10071700,0,0,0
10071850,0,0,0
10072000,0,0,0
10072150,0,0,0
10072300,0,0,0
10072450,0,0,0
10072600,0,0,0
10072750,0,0,0
10072900,0,0,0
10073050,0,0,0
10073200,0,0,0
10073350,0,0,0
10073500,0,0,0
10073650,0,0,0
10073800,0,0,0
10073950,0,0,0
10074100,0,0,0
10074250,0,0,0
10074400,0,0,0
10074550,0,0,0
10074700,0,0,0
10074850,0,0,0
10075000,0,0,0
10075150,0,0,0
10075300,0,0,0
10075450,0,0,0
10075600,0,0,0
10075750,0,0,0
10075900,0,0,0
10076050,0,0,0
10076200,0,0,0
10076350,0,0,0
10076500,0,0,0
10076650,0,0,0
10076800,0,0,0
10076950,0,0,0
10077100,0,0,0
10077250,0,0,0
10077400,0,0,0
10077550,0,0,0
10077700,0,0,0
10077850,0,0,0
10078000,0,0,0
10078150,0,0,0
10078300,0,0,0
10078450,0,0,0
10078600,0,0,0
10078750,0,0,0
10078900,0,0,0
10079050,0,0,0
10079200,0,0,0
10079350,0,0,0
10079500,0,0,0
10079650,0,0,0
10079800,0,0,0
10079950,0,0,0
10080100,0,0,0
10080250,0,0,0
10080400,0,0,0
10080550,0,0,0
10080700,0,0,0
10080850,0,0,0
10081000,0,0,0
10081150,0,0,0
10081300,0,0,0
10081450,0,0,0
10081600,0,0,0
10081750,0,0,0
10081900,0,0,0
10082050,0,0,0
10082200,0,0,0
10082350,0,0,0
10082500,0,0,0
10082650,0,0,0
10082800,0,0,0
10082950,0,0,0
10083100,0,0,0
10083250,0,0,0
10083400,0,0,0
10083550,0,0,0
10083700,0,0,0
10083850,0,0,0
10084000,0,0,0
10084150,0,0,0
10084300,0,0,0
10084450,0,0,0
10084600,0,0,0
10084750,0,0,0
10084900,0,0,0
10085050,0,0,0
10085200,0,0,0
10085350,0,0,0
10085500,0,0,0
10085650,0,0,0
10085800,0,0,0
10085950,0,0,0
10086100,0,0,0
10086250,0,0,0
10086400,0,0,0
10086550,0,0,0
10086700,0,0,0
10086850,0,0,0
10087000,0,0,0
10087150,0,0,0
10087300,0,0,0
10087450,0,0,0
10087600,0,0,0
10087750,0,0,0
10087900,0,0,0
10088050,0,0,0
10088200,0,0,0
10088350,0,0,0
10088500,0,0,0
10088650,0,0,0
10088800,0,0,0
10088950,0,0,0
10089100,0,0,0
10089250,0,0,0
10089400,0,0,0
10089550,0,0,0
10089700,0,0,0
10089850,0,0,0
10090000,0,0,0
10090150,0,0,0
10090300,0,0,0
10090450,0,0,0
10090600,0,0,0
10090750,0,0,0
10090900,0,0,0
10091050,0,0,0
10091200,0,0,0
10091350,0,0,0
10091500,0,0,56.35679607998418
10091650,0,0,60.03697747128672
10091800,0,0,62.16971062568905
10091950,0,0,73.16496242845437
10092100,0,0,87.36189948016113
10092250,0,0,162.1952676980386
10092400,0,0,162.64504236617995
10092550,0,0,179.97481544562834
10092700,0,0,183.20036676695827
10092850,0,0,238.7033825564322
10093000,0,0,236.88704257233803
10093150,0,0,242.0336162374797
10093300,0,0,242.0336162374797
10093450,0,0,321.166908299062
10093600,0,0,321.166908299062
10093750,0,0,345.0742310659007
10093900,0,0,367.37556023998786
10094050,0,0,367.37556023998786
10094200,0,0,367.37556023998786
10094350,0,0,367.37556023998786
10094500,0,0,366.7373325924518
10094650,0,0,366.7373325924518
10094800,0,0,366.7373325924518
10094950,0,0,366.7373325924518
10095100,0,0,381.5770944179094
10095250,0,0,381.5770944179094
10095400,0,0,381.72262594395033
10095550,0,0,382.4068364702671
10095700,0,0,511.65178643471336
10095850,0,0,511.65178643471336
10096000,0,0,514.3275256494235
10096150,0,0,514.3272344593661
10096300,0,0,514.3272344593661
10096450,0,0,514.3272344593661
10096600,0,0,514.5643659275065
10096750,0,0,515.3512864098502
10096900,0,0,518.2603352030928
10097050,0,0,518.9513349632743
10097200,0,0,518.8051481150542
10097350,0,0,518.8051481150542
10097500,0,0,517.9141835534701
10097650,0,0,517.9141835534701
10097800,0,0,519.2299730271552
10097950,0,0,522.1247098692602
10098100,0,0,525.0409529954068
10098250,0,0,516.5577458408115
10098400,0,0,620.6122641102011
10098550,0,0,625.8121276126949
10098700,0,0,669.1036179553157
10098850,0,0,682.8025548283913
10099000,0,0,687.8720859485347
10099150,0,0,690.0731712490615
10099300,0,0,690.3115885726384
10099450,0,0,690.3115885726384
10099600,0,0,683.7193605776993
10099750,0,0,683.1402285120512
10099900,0,0,679.8669772903413
10100050,0,0,678.3587802280981
10100200,0,0,689.4049377333959
10100350,0,0,692.5981786878783
10100500,0,0,692.3176901410679
10100650,0,0,706.176835637767
10100800,0,0,704.9595958628342
10100950,0,0,706.3404019391292
10101100,0,0,706.3404019391292
10101250,0,0,710.9935523307431
10101400,0,0,723.8268834195624
10101550,0,0,723.9701062606964
10101700,0,0,720.5600038874345
10101850,0,0,720.5600038874345
10102000,0,0,720.5600038874345
10102150,0,0,720.7916126365617
10102300,0,0,720.7916126365617
10102450,0,0,720.236718481352
10102600,0,0,721.09130748608
10102750,0,0,720.0779370476903
10102900,0,0,719.5516212582152
10103050,0,0,719.5516212582152
10103200,0,0,719.5516212582152
10103350,0,0,718.9399079645573
10103500,0,0,712.1804271206529
10103650,0,0,716.3817191307389
10103800,0,0,729.0047465976622
10103950,0,0,723.8623980845314
10104100,0,0,722.585345499263
10104250,0,0,731.2428834628226
10104400,0,0,730.3397255762848
10104550,0,0,730.3397255762848
10104700,0,0,727.4458503083006
10104850,0,0,727.1494707665552
10105000,0,0,727.1494707665552
10105150,0,0,727.1494707665552
10105300,0,0,727.149470766557
10105450,0,0,724.8590875424925
10105600,0,0,725.4349479040866
10105750,0,0,725.4349479040866
10105900,0,0,725.4349479040866
10106050,0,0,725.4349479040866
10106200,0,0,725.8281376904015
10106350,0,0,725.8328974878568
10106500,0,0,725.8328974878568
10106650,0,0,724.1361858459568
10106800,0,0,724.0292913729427
10106950,0,0,776.4748223576898
10107100,0,0,776.4748223576898
10107250,0,0,776.5690328840028
10107400,0,0,776.7269276208481
10107550,0,0,776.7269276208481
10107700,0,0,776.2490709381073
10107850,0,0,776.2490709381073
10108000,0,0,786.5178836613632
10108150,0,0,786.5178836613632
10108300,0,0,786.4907383810223
10108450,0,0,787.0170541704956
10108600,0,0,794.9717868824318
10108750,0,0,791.7147754006
10108900,0,0,791.6879961342202
10109050,0,0,791.3939517501058
10109200,0,0,789.8130194885925
10109350,0,0,789.8130194885925
10109500,0,0,789.518281022174
10109650,0,0,789.518281022174
10109800,0,0,793.5336069639543
10109950,0,0,795.5862385429027
10110100,0,0,795.5862385429027
10110250,0,0,794.3654336093678
10110400,0,0,788.5592583498637
10110550,0,0,790.6655192279868
10110700,0,0,793.3419831843257
10110850,0,0,795.8169913289021
10111000,0,0,803.2553760156188
10111150,0,0,802.5145295132515
10111300,0,0,797.067518210064
10111450,0,0,794.7058677787791
10111600,0,0,792.4602924884493
10111750,0,0,796.4145890665677
10111900,0,0,797.1534985287853
10112050,0,0,797.2246854799778
10112200,0,0,796.5551070147158
10112350,0,0,798.8087531927031
10112500,0,0,798.8087531927031
10112650,0,0,798.8087531927031
10112800,0,0,799.289649897968
10112950,0,0,799.289649897968
10113100,0,0,799.289649897968
10113250,0,0,799.0797589220383
10113400,0,0,799.0797589220383
10113550,0,0,893.6162017484894
10113700,0,0,891.0400349602714
10113850,0,0,891.0400349602714
10114000,0,0,899.475403381326
10114150,0,0,894.1240649522479
10114300,0,0,894.1240649522479
10114450,0,0,907.7114704534542
10114600,0,0,907.7114704534542
10114750,0,0,907.3049295907404
10114900,0,0,907.7182357328275
10115050,0,0,907.7182357328275
10115200,0,0,901.4815319653426
10115350,0,0,909.7020628154642
10115500,0,0,909.7020628154642
10115650,0,0,909.7020628154642
10115800,0,0,913.5621964335769
10115950,0,0,912.5019710257147
10116100,0,0,915.1061015325686
10116250,0,0,920.3692634807885
10116400,0,0,920.3692634807885
10116550,0,0,917.7631505979152
10116700,0,0,920.4665254087377
10116850,0,0,919.9402096192644
10117000,0,0,918.204315573239
10117150,0,0,918.204315573239
10117300,0,0,959.5785611192732
10117450,0,0,964.6355526598163
10117600,0,0,964.0817341660768
10117750,0,0,970.3539681037837
10117900,0,0,963.8686098377766
10118050,0,0,971.4580772563531
10118200,0,0,971.0915436873074
10118350,0,0,976.9669558990026
10118500,0,0,975.7607290623346
10118650,0,0,977.4126868564999
10118800,0,0,977.2136915346346
10118950,0,0,979.5651701820389
10119100,0,0,980.2644036752718
10119250,0,0,998.8256055331112
10119400,0,0,1008.2547473013838
10119550,0,0,1005.0692929008474
10119700,0,0,1005.0692929008474
10119850,0,0,1005.3324507955876
10120000,0,0,1004.279819216641
10120150,0,0,1005.9572755957743
10120300,0,0,1005.141260930508
10120450,0,0,1003.982644845797
10120600,0,0,1003.748289032199
10120750,0,0,1006.457119196788
10120900,0,0,1040.4743321462884
10121050,0,0,1039.453017783013
10121200,0,0,1039.453017783013
10121350,0,0,1039.453017783013
10121500,0,0,1041.6333553037803
10121650,0,0,1041.6333553037803
10121800,0,0,1041.6333553037803
10121950,0,0,1042.011106365473
10122100,0,0,1043.3924131314634
10122250,0,0,1046.6694283951074
10122400,0,0,1048.0558970494349
10122550,0,0,1048.0558970494349
10122700,0,0,1062.522805849232
10122850,0,0,1062.522805849232
10123000,0,0,1064.9798511653935
10123150,0,0,1064.9798511653935
10123300,0,0,1067.61143011276
10123450,0,0,1059.2759174458697
10123600,0,0,1062.2973047619562
10123750,0,0,1062.2973047619562
10123900,0,0,1059.9096067116297
10124050,0,0,1059.7316561549633
10124200,0,0,1058.402562008021
10124350,0,0,2347.995889605445
10124500,0,0,2347.995889605445
10124650,0,0,2345.237056339589
10124800,0,0,2345.763372129062
10124950,0,0,2361.552845813276
10125100,0,0,2361.552845813276
10125250,0,0,2367.980999183026
10125400,0,0,2354.040637015336
10125550,0,0,2354.3037949100835
10125700,0,0,2354.3037949100835
10125850,0,0,2364.003649255821
10126000,0,0,2364.003649255821
10126150,0,0,2364.003649255821
10126300,0,0,2365.0562808347604
10126450,0,0,2362.461552208879
10126600,0,0,2362.461552208879
10126750,0,0,2362.461552208879
10126900,0,0,2357.224783047488
10127050,0,0,2357.224783047488
10127200,0,0,2357.224783047488
10127350,0,0,2357.224783047488
10127500,0,0,2357.224783047488
10127650,0,0,2357.3300462053885
10127800,0,0,2357.5932041001215
10127950,0,0,2346.924650242574
10128100,0,0,2373.0517980919394
10128250,0,0,2376.1234719938584
10128400,0,0,2376.1234719938584
10128550,0,0,2373.4674370173743
10128700,0,0,2372.6779633331535
10128850,0,0,2377.582112820892
10129000,0,0,2377.582112820892
10129150,0,0,2377.582112820892
10129300,0,0,2376.5534569357624
10129450,0,0,2376.5534569357624
10129600,0,0,2376.111119991954
10129750,0,0,2376.7953831498453
10129900,0,0,2376.7953831498453
10130050,0,0,2376.7953831498453
10130200,0,0,2376.7953831498453
10130350,0,0,2376.242375925278
10130500,0,0,2374.059945341738
10130650,0,0,2391.3734050503917
10130800,0,0,2399.835104776721
10130950,0,0,2407.2031200545825
10131100,0,0,2400.9215413732527
10131250,0,0,2400.9215413732527
10131400,0,0,2484.2407069666806
10131550,0,0,2470.832887440236
10131700,0,0,2476.0058298745644
10131850,0,0,2481.6900404008848
10132000,0,0,2470.7824339768194
10132150,0,0,2470.7824339768194
10132300,0,0,2468.3797925946783
10132450,0,0,2468.3797925946783
10132600,0,0,2470.612532430816
10132750,0,0,2470.612532430816
10132900,0,0,2475.988884410639
10133050,0,0,2480.93821884309
10133200,0,0,2479.365858900761
10133350,0,0,2462.6823811003924
10133500,0,0,2462.6823811003924
10133650,0,0,2462.6549234705235
10133800,0,0,2465.28650241789
10133950,0,0,2465.28650241789
10134100,0,0,2465.28650241789
10134250,0,0,2465.28650241789
10134400,0,0,2460.902904429655
10134550,0,0,2460.902904429655
10134700,0,0,2460.902904429655
10134850,0,0,2467.0301198441593
10135000,0,0,2486.6142464876903
10135150,0,0,2482.7794216292314
10135300,0,0,2482.7794216292314
10135450,0,0,2482.7794216292314
10135600,0,0,2475.8567950979414
10135750,0,0,2475.800250172375
10135900,0,0,2475.800250172375
10136050,0,0,2469.1587391953435
10136200,0,0,2469.1587391953435
10136350,0,0,2478.093237886751
10136500,0,0,2476.6023267404016
10136650,0,0,2476.193185163451
10136800,0,0,2473.931768611641
10136950,0,0,2473.931768611641
10137100,0,0,2587.4287639468603
10137250,0,0,2596.7828792988366
10137400,0,0,2598.12908007815
10137550,0,0,2595.9011401185853
10137700,0,0,2595.9011401185853
10137850,0,0,2595.623450644911
10138000,0,0,2592.8600785410017
10138150,0,0,2594.1220807804493
10138300,0,0,2594.1220807804493
10138450,0,0,2594.1220807804493
10138600,0,0,2593.73623714126
10138750,0,0,2593.723079246527
10138900,0,0,2593.3088095089697
10139050,0,0,2593.170749046767
10139200,0,0,2593.5565940791057
10139350,0,0,2593.5565940791057
10139500,0,0,2596.8231122796788
10139650,0,0,2598.8084317630055
10139800,0,0,2592.22466836479
10139950,0,0,2592.22466836479
10140100,0,0,2588.3678318901366
10140250,0,0,2587.6496196068983
10140400,0,0,2587.099887739547
10140550,0,0,2587.099887739547
10140700,0,0,2587.099887739547
10140850,0,0,2586.275728278808
10141000,0,0,2586.057713913913
10141150,0,0,2586.057713913913
10141300,0,0,2600.3422422035
10141450,0,0,2598.782869466115
10141600,0,0,2598.612374795237
10141750,0,0,2598.782869466122
10141900,0,0,2598.782869466122
10142050,0,0,2596.2426628929243
10142200,0,0,2596.2426628929243
10142350,0,0,2606.9805225852324
10142500,0,0,2606.6345020768567
10142650,0,0,2606.7943524584407
10142800,0,0,2611.577966385288
10142950,0,0,2595.555380206046
10143100,0,0,2593.637218823402
10143250,0,0,2593.637218823402
10143400,0,0,2593.637218823402
10143550,0,0,2589.3571311186242
10143700,0,0,2589.3571311186242
10143850,0,0,2604.7255521712505
10144000,0,0,2594.975285761262
10144150,0,0,2598.268370730795
10144300,0,0,2597.356146907063
10144450,0,0,2598.4973754021776
10144600,0,0,2598.4973754021776
10144750,0,0,2598.4973754021776
10144900,0,0,2599.424561750806
10145050,0,0,2601.943281114065
10145200,0,0,2605.7544149595997
10145350,0,0,2660.6912433126927
10145500,0,0,2660.6912433126854
10145650,0,0,2660.834208608525
10145800,0,0,2660.834208608525
10145950,0,0,2661.7310493011682
10146100,0,0,2661.733314254794
10146250,0,0,2662.569842429053
10146400,0,0,2662.7139266395825
10146550,0,0,2666.6612950606286
10146700,0,0,2666.6612950606286
10146850,0,0,2664.4088127289288
10147000,0,0,2664.4088127289288
10147150,0,0,2642.115515898535
10147300,0,0,2655.3447424750702
10147450,0,0,2655.3447424750702
10147600,0,0,2674.996900369799
10147750,0,0,2674.996900369799
10147900,0,0,2674.996900369799
10148050,0,0,2672.6242202024587
10148200,0,0,2672.6242202024587
10148350,0,0,2672.6242202024587
10148500,0,0,2672.6242202024587
10148650,0,0,2670.8824343722954
10148800,0,0,2670.4441991152125
10148950,0,0,2670.233672799419
10149100,0,0,2574.0233647694986
10149250,0,0,2586.34414755286
10149400,0,0,2586.34414755286
10149550,0,0,2595.710157125606
10149700,0,0,2595.8784872881006
10149850,0,0,2595.8784872881006
10150000,0,0,2595.8784872881006
10150150,0,0,2610.258169709079
10150300,0,0,2610.5737771831773
10150450,0,0,2610.1999171011994
10150600,0,0,2609.419741491867
10150750,0,0,2609.419817449554
10150900,0,0,2609.419817449554
10151050,0,0,2609.419817449554
10151200,0,0,2603.2670880518053
10151350,0,0,2602.617406696794
10151500,0,0,2610.1236982726477
10151650,0,0,2610.1236982726477
10151800,0,0,2610.356298769264
10151950,0,0,2605.978038279558
10152100,0,0,2608.1601175723117
10152250,0,0,2603.4504843463
10152400,0,0,2603.232958030516
10152550,0,0,2603.232958030516
10152700,0,0,2605.871263817302
10152850,0,0,2597.4141264775462
10153000,0,0,2597.4141264775462
10153150,0,0,2597.4141264775462
10153300,0,0,2596.013007994341
10153450,0,0,2593.7310660614457
10153600,0,0,2601.7286071283525
10153750,0,0,2604.9059678021513
10153900,0,0,2613.629203662211
10154050,0,0,2619.878264495339
10154200,0,0,2619.8416510126335
10154350,0,0,2600.9348337137417
10154500,0,0,2599.619044240055
10154650,0,0,2609.7553514780375
10154800,0,0,2609.7553514780375
10154950,0,0,2609.7553514780375
10155100,0,0,2607.3076589126285
10155250,0,0,2619.2076788053455
10155400,0,0,2620.3129419632533
10155550,0,0,2813.4799722635944
10155700,0,0,2813.4799722635944
10155850,0,0,2819.8125309883108
10156000,0,0,2819.8125309883108
10156150,0,0,2819.8125309883108
10156300,0,0,2812.736181517219
10156450,0,0,2809.0519709908986
10156600,0,0,2805.562292647628
10156750,0,0,2803.870950700395
10156900,0,0,2803.870950700395
10157050,0,0,2822.5409840314605
10157200,0,0,2803.0117394424888
10157350,0,0,2803.0117394424888
10157500,0,0,2806.435359826406
10157650,0,0,2802.3097878945264
10157800,0,0,2803.377838925997
10157950,0,0,2803.21994418915
10158100,0,0,2803.21994418915
10158250,0,0,2803.21994418915
10158400,0,0,2805.8515231365236
10158550,0,0,2807.2837472980973
10158700,0,0,2817.598378595896
10158850,0,0,2812.496418090923
10159000,0,0,2812.9011584912005
10159150,0,0,2806.389118559877
10159300,0,0,2805.5156682162487
10159450,0,0,2805.5156682162487
10159600,0,0,2802.831457689943
10159750,0,0,2798.60644334228
10159900,0,0,2798.60644334228
10160050,0,0,2798.60644334228
10160200,0,0,2798.60644334228
10160350,0,0,2805.185390710707
10160500,0,0,2805.185390710707
10160650,0,0,2842.60859504142
10160800,0,0,2842.60859504142
10160950,0,0,2842.60859504142
10161100,0,0,2852.042473200425
10161250,0,0,2844.5991348357566
10161400,0,0,2844.7255802345026
10161550,0,0,2859.357291258566
10161700,0,0,2860.9380731285637
10161850,0,0,2870.4600863324813
10162000,0,0,2878.2350379015843
10162150,0,0,2881.460330997106
10162300,0,0,3157.9404754579955
10162450,0,0,3211.893816736265
10162600,0,0,3213.7233927546695
10162750,0,0,3214.242329417837
10162900,0,0,3213.1795437463734
10163050,0,0,3205.074615976948
10163200,0,0,3205.721670271094
10163350,0,0,3203.281604330936
10163500,0,0,3209.096434778621
