block,reserve LINK,reserve DAI,price,volume for slippage 5%
10092435,50,193.5,3.87,2.631578947368425
10093959,50.258397932816536,194.5,3.87,2.6451788385692936
10095634,49.70961854262446,196.6536831469275,3.956048928001792,2.6162957127697126
10096280,127.49748195423851,504.3862768079931,3.9560489280017923,6.710393787065186
10098004,129.7671409842385,495.5904414744401,3.819074980889303,6.829849525486225
10099340,129.61714098423852,496.165691417572,3.8279326920033356,6.8219547886441205
10099622,124.6171409842385,516.1331960276632,4.141751222594197,6.558796893907285
10100033,224.61714098423852,930.3083182870828,4.141751222594196,11.821954788644149
10100410,227.63360096091344,918.0169416529541,4.032870972377163,11.980715840048077
10100523,227.05688948476214,920.3556682103822,4.053414412127528,11.950362604461162
10102087,226.53508899670618,922.4819926587714,4.072137330884684,11.922899420879304
10104403,231.53508899670618,942.8426793131948,4.072137330884684,12.186057315616125
10106803,256.5350889967062,1044.6461125853118,4.072137330884684,13.501846789300316
10110310,263.9837018192931,1015.2561251488771,3.845904569683846,13.893879043120648
10111245,289.9853870374525,1115.2561251488771,3.8459045696838454,15.262388791444891
10115353,289.96964267362983,1115.3168619678368,3.84632284843404,15.261560140717393
10116092,285.3370639613905,1133.4790316513834,3.972421303825978,15.017740208494217
10116747,283.3370639613905,1141.5040297568805,4.028784705386902,14.912477050599534
10117301,258.2009797539482,1040.2361581486196,4.028784705386902,13.589525250207771
10117846,255.66687439875108,1050.577740433416,4.109166441307846,13.456151284144767
10120550,273.91875128698183,1125.577740433416,4.1091664413078455,14.41677638352536
10120655,278.91875128698183,1105.4596709912912,3.963375233434465,14.679934278262238
10128126,201.1847999726935,797.3708535552404,3.9633752334344656,10.588673682773361
10130247,202.1847999726935,793.438854032524,3.924324944999246,10.641305261720731
10136004,202.18481451142966,793.4387971489672,3.9243243814639377,10.641306026917363
10136406,152.51940009791875,598.5356004505159,3.9243243814639377,8.027336847258908
10137373,152.51940009997273,598.5356004424796,3.9243243813583986,8.027336847366996
10139419,154.51940009997273,590.8114808094244,3.823542418797733,8.132600005261736
10145500,155.51940009997273,587.02384782674,3.774602058967452,8.185231584209106
10146270,155.42140009997274,587.3951058476698,3.779370829691637,8.180073689472266
10146433,154.891147967535,589.4120366130713,3.8053306747820823,8.152165682501845
10146570,154.79314796753502,589.7863179615241,3.8101577860876685,8.147007787765006
10152435,154.2565182547648,591.8442485671488,3.8367535794479624,8.118764118671834
10153939,154.51838198733202,590.8442485671488,3.823779675712553,8.132546420385893
10153962,154.78113496383347,589.8442485671488,3.8108277775904233,8.146375524412292
10153980,155.04478171926732,588.8442485671488,3.797897884969408,8.160251669435127
10157656,144.5489967381881,631.7292197455424,4.370346622949941,7.6078419335888725
10160676,145.47931206913668,627.7014615101976,4.314712879669741,7.656805898375637
10161174,151.1406048089568,604.2574697647544,3.997982345833152,7.954768674155616
10162078,153.32187872488137,595.6862664669317,3.8852006733874083,8.06957256446745
10163244,52.09841053990395,202.41277971204852,3.885200673387409,2.7420216073633625
10163256,50.032625474904414,194.38679018643865,3.8852006733874087,2.6332960776265466
10163909,49.47820865860242,196.57150129569794,3.9728904223682213,2.6041162451895943
10165592,48.47820865860242,200.63854493699617,4.138736774494926,2.5514846662422386
10174139,48.721769244142905,199.63854493699617,4.097522483976621,2.564303644428577
10174198,48.47966057914208,200.63854493699617,4.138612823195364,2.5515610831127447
10174209,48.4772516791005,200.64854493699616,4.13902475877154,2.551434298900027
10177570,47.91079608990065,203.027977142717,4.237624788403678,2.521620846836882
10179580,46.824028977925906,207.75435497388088,4.436917529497981,2.4644225777855766
10188366,65.27492287152093,289.6194495252799,4.436917529497981,3.435522256395842
10220975,176.9371177492846,785.0553993606492,4.436917529497981,9.312479881541293
10224949,177.89934596922717,780.8218342007045,4.389121443626725,9.363123472064586
10230869,176.89934596922717,785.2490486935251,4.438959592479921,9.310491893117216
10235893,159.3314942391029,707.266064736825,4.43895959247992,8.385868117847536
10244588,47.69313652970335,211.70790589398118,4.43895959247992,2.51016508051071
10246730,50.72373631554688,199.09464330359296,3.9250784300479507,2.669670332397203
10248621,50.14147109428462,201.41357627723187,4.01690600378476,2.6390247944360326
10250816,48.93869807473639,206.37864024860585,4.217084809518965,2.5757209513019106
10253791,50.33869807473639,200.6556606406382,3.986111447354689,2.649405161828234
10257707,50.08850764988712,201.66094482458053,4.026092097496041,2.636237244730907
10260235,49.509016169410565,204.02844161304347,4.121036073811211,2.6057376931268763
10271228,51.26432637785057,197.06267197854206,3.8440507444897505,2.698122440939507
10271355,51.28652861641551,196.97761821216372,3.840728228759788,2.6992909798113445
10276084,50.46442594698392,200.19618439988253,3.9670754327058293,2.6560224182623173
10281145,50.793421173351426,201.50133327988252,3.967075432705829,2.6733379564921833
10281189,25.173019886088976,99.86326875711886,3.967075432705829,1.3248957834783681
10286805,25.12922057307543,100.03785052998869,3.9809372614275875,1.3225905564776532
10289839,24.778121483223362,101.45962436988485,4.09472624624028,1.3041116570117595
